NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Map7	NA	48	1.2656562328338623	0.033921033	No	
row_1	Tmprss2	NA	78	1.1401785612106323	0.064994395	No	
row_2	Lifr	NA	154	0.9829172492027283	0.08997281	No	
row_3	Slc26a2	NA	326	0.7786102294921875	0.105721734	No	
row_4	Mak	NA	382	0.7422438263893127	0.124643214	No	
row_5	Sord	NA	426	0.713963508605957	0.14320213	No	
row_6	Iqgap2	NA	435	0.7103096842765808	0.16292447	No	
row_7	Ank	NA	444	0.7043460607528687	0.1824788	No	
row_8	Abcc4	NA	462	0.6887531876564026	0.20126818	No	
row_9	Ell2	NA	846	0.5569708943367004	0.20310219	No	
row_10	Azgp1	NA	1563	0.4397156834602356	0.18958409	No	
row_11	Krt19	NA	1730	0.4223580062389374	0.1954771	No	
row_12	Gpd1l	NA	1812	0.41562318801879883	0.20425585	No	
row_13	Tpd52	NA	1860	0.40950366854667664	0.21409239	No	
row_14	Nkx3-1	NA	2573	0.35794344544410706	0.19841522	No	
row_15	Ncoa4	NA	2686	0.3499027192592621	0.20422076	No	
row_16	Krt8	NA	2791	0.34308651089668274	0.21012372	No	
row_17	Ndrg1	NA	2833	0.3404048979282379	0.21823059	No	
row_18	Gsr	NA	4466	0.26648083329200745	0.16668911	No	
row_19	Xrcc6	NA	4542	0.26302871108055115	0.17138585	No	
row_20	Bmpr1b	NA	5101	0.2388215959072113	0.15792467	No	
row_21	H1f0	NA	5216	0.23434914648532867	0.16040231	No	
row_22	Herc3	NA	5289	0.2311597466468811	0.16430975	No	
row_23	Akap12	NA	7639	0.168171688914299	0.08405603	No	
row_24	Zbtb10	NA	8094	0.16302534937858582	0.072222345	No	
row_25	Dbi	NA	8658	0.15457475185394287	0.056206726	No	
row_26	Adrm1	NA	9441	0.1303226351737976	0.031583972	No	
row_27	Dnajb9	NA	9454	0.12969434261322021	0.03480371	No	
row_28	Maf	NA	9793	0.11972889304161072	0.025947336	No	
row_29	Fkbp5	NA	10346	0.10557210445404053	0.008949155	No	
row_30	Abhd2	NA	10898	0.09066400676965714	-0.008432856	No	
row_31	Pgm3	NA	10916	0.08990781009197235	-0.006514947	No	
row_32	Appbp2	NA	11042	0.08604151755571365	-0.008613628	No	
row_33	Cdk6	NA	11254	0.08028130233287811	-0.013986251	No	
row_34	Acsl3	NA	11256	0.08023539185523987	-0.011761934	No	
row_35	Ccnd1	NA	11295	0.07901347428560257	-0.010910778	No	
row_36	Itgav	NA	11933	0.061030879616737366	-0.03223931	No	
row_37	Insig1	NA	12144	0.054387640208005905	-0.038305264	No	
row_38	Cdc14b	NA	12589	0.04202744737267494	-0.053186048	No	
row_39	Pias1	NA	12853	0.034511055797338486	-0.06172964	No	
row_40	Pdlim5	NA	13971	0.008096770383417606	-0.101916894	No	
row_41	Rrp12	NA	14978	-0.013853617943823338	-0.13792576	No	
row_42	Pa2g4	NA	15377	-0.02319066785275936	-0.15167286	No	
row_43	Sat1	NA	15445	-0.02493184432387352	-0.15339464	No	
row_44	Hmgcr	NA	15897	-0.037436388432979584	-0.16865805	No	
row_45	Slc38a2	NA	15995	-0.04089294373989105	-0.17101562	No	
row_46	Mertk	NA	16767	-0.06552078574895859	-0.19706605	No	
row_47	Xrcc5	NA	16973	-0.0720239207148552	-0.20245422	No	
row_48	Gnai3	NA	17396	-0.0841791108250618	-0.21535145	No	
row_49	Ccnd3	NA	17598	-0.08967681974172592	-0.22009754	No	
row_50	Elk4	NA	17832	-0.09652769565582275	-0.22580846	No	
row_51	Hpgd	NA	18183	-0.10725567489862442	-0.23545043	No	
row_52	Rab4a	NA	18741	-0.12451298534870148	-0.2520959	No	
row_53	Cenpn	NA	19100	-0.1359405368566513	-0.26121917	No	
row_54	Arid5b	NA	19102	-0.13601988554000854	-0.25742322	No	
row_55	Hsd17b14	NA	19118	-0.13674402236938477	-0.2541134	No	
row_56	Srp19	NA	19251	-0.14130015671253204	-0.25490856	No	
row_57	Fads1	NA	19568	-0.15243025124073029	-0.26204762	No	
row_58	Ptpn21	NA	19572	-0.15270717442035675	-0.2578539	No	
row_59	Ngly1	NA	19593	-0.153346985578537	-0.25425723	No	
row_60	B2m	NA	19622	-0.15439201891422272	-0.2509206	No	
row_61	Vapa	NA	20488	-0.16978669166564941	-0.27743462	No	
row_62	Lman1	NA	20827	-0.1732318252325058	-0.28478363	No	
row_63	Ptk2b	NA	21202	-0.1781875193119049	-0.2932956	No	
row_64	Tnfaip8	NA	21305	-0.17876549065113068	-0.29194975	No	
row_65	Tmem50a	NA	21548	-0.1850346177816391	-0.29549277	No	
row_66	Idi1	NA	21907	-0.20082616806030273	-0.302788	No	
row_67	Spdef	NA	22032	-0.20500296354293823	-0.30149895	No	
row_68	Homer2	NA	22312	-0.21526212990283966	-0.3055291	No	
row_69	Uap1	NA	22552	-0.22432942688465118	-0.3078565	No	
row_70	Elovl5	NA	23075	-0.2506708800792694	-0.3196813	No	
row_71	Ube2i	NA	24305	-0.31047338247299194	-0.355402	No	
row_72	Akt1	NA	24598	-0.33261722326278687	-0.3565962	Yes	
row_73	Hmgcs1	NA	24759	-0.3469855785369873	-0.3526096	Yes	
row_74	Rps6ka3	NA	24799	-0.3502728044986725	-0.34415233	Yes	
row_75	Dhcr24	NA	24926	-0.3622370660305023	-0.33850583	Yes	
row_76	Inpp4b	NA	25032	-0.3716399073600769	-0.3318346	Yes	
row_77	Zmiz1	NA	25201	-0.3837270140647888	-0.32710233	Yes	
row_78	Steap4	NA	25328	-0.39458101987838745	-0.3205446	Yes	
row_79	B4galt1	NA	25551	-0.4236873388290405	-0.31664035	Yes	
row_80	Pmepa1	NA	25823	-0.4603561460971832	-0.3134759	Yes	
row_81	Sgk1	NA	26227	-0.5227662324905396	-0.3133292	Yes	
row_82	Ube2j1	NA	26378	-0.5544059872627258	-0.30313703	Yes	
row_83	Arxes2	NA	26588	-0.6144221425056458	-0.29338875	Yes	
row_84	Actn1	NA	26604	-0.6201497316360474	-0.2764598	Yes	
row_85	Sec24d	NA	26688	-0.6518600583076477	-0.26109785	Yes	
row_86	Tsc22d1	NA	26821	-0.7017521262168884	-0.24610317	Yes	
row_87	Srf	NA	26824	-0.703103244304657	-0.22636676	Yes	
row_88	Camkk2	NA	27310	-1.1633251905441284	-0.21114029	Yes	
row_89	Stk39	NA	27517	-1.808663249015808	-0.1676377	Yes	
row_90	Adamts1	NA	27554	-2.021787643432617	-0.11197974	Yes	
row_91	Aldh1a3	NA	27712	-4.198131561279297	6.150904E-4	Yes	
