NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Slco2a1	NA	33	1.3639799356460571	0.071882375	No	
row_1	Pglyrp1	NA	229	0.8746461272239685	0.11169972	No	
row_2	Vcan	NA	734	0.5857618451118469	0.12488312	No	
row_3	Msx1	NA	1236	0.4823898673057556	0.1326368	No	
row_4	S100a4	NA	2355	0.373420774936676	0.112274155	No	
row_5	Olr1	NA	2473	0.36428728699684143	0.12756592	No	
row_6	Vav2	NA	2947	0.3329976201057434	0.12832704	No	
row_7	Vegfa	NA	3505	0.3006531894207001	0.124322325	No	
row_8	Tnfrsf21	NA	3616	0.29642292857170105	0.13623106	No	
row_9	Spp1	NA	3640	0.295415461063385	0.15122719	No	
row_10	Thbd	NA	3876	0.2863590121269226	0.15808332	No	
row_11	Stc1	NA	6878	0.17978204786777496	0.059356052	No	
row_12	Cxcl5	NA	7454	0.17154201865196228	0.04778438	No	
row_13	Pf4	NA	8910	0.14711302518844604	0.00312926	No	
row_14	Serpina5	NA	10180	0.10971476882696152	-0.036813423	No	
row_15	Itgav	NA	11933	0.061030879616737366	-0.09680427	No	
row_16	Timp1	NA	13942	0.00871244166046381	-0.16884157	No	
row_17	Ptk2	NA	14004	0.007222144864499569	-0.17065722	No	
row_18	App	NA	14199	0.0025691010523587465	-0.17752446	No	
row_19	Kcnj8	NA	15049	-0.015561115927994251	-0.20734614	No	
row_20	Prg2	NA	15492	-0.026023129001259804	-0.22191153	No	
row_21	Lum	NA	21102	-0.17707429826259613	-0.4149525	No	
row_22	Apoh	NA	21201	-0.17818063497543335	-0.40894517	No	
row_23	Col5a2	NA	24216	-0.30511146783828735	-0.5014274	Yes	
row_24	Lrpap1	NA	24720	-0.3441397249698639	-0.5011526	Yes	
row_25	Jag1	NA	24791	-0.3496992290019989	-0.48494533	Yes	
row_26	Jag2	NA	25333	-0.39528653025627136	-0.48330244	Yes	
row_27	Col3a1	NA	25842	-0.46327295899391174	-0.47682568	Yes	
row_28	Pdgfa	NA	26850	-0.7179978489875793	-0.47472	Yes	
row_29	Ccnd2	NA	27010	-0.8174146413803101	-0.4366689	Yes	
row_30	Nrp1	NA	27144	-0.9348236918449402	-0.39138892	Yes	
row_31	Postn	NA	27397	-1.3501179218292236	-0.32815674	Yes	
row_32	Fstl1	NA	27473	-1.623837947845459	-0.24386925	Yes	
row_33	Lpl	NA	27582	-2.1432833671569824	-0.13294451	Yes	
row_34	Fgfr1	NA	27635	-2.5799083709716797	0.003394036	Yes	
