NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ephx2	NA	61	1.2137548923492432	0.029181136	Yes	
row_1	Ar	NA	65	1.2077206373214722	0.060305763	Yes	
row_2	Amacr	NA	120	1.0350159406661987	0.08511787	Yes	
row_3	Aldh1a1	NA	149	0.9927573800086975	0.10977829	Yes	
row_4	Apoa1	NA	283	0.8085752129554749	0.12587462	Yes	
row_5	Abcd1	NA	440	0.7066174149513245	0.1385016	Yes	
row_6	Nr3c2	NA	482	0.6767706274986267	0.15451962	Yes	
row_7	Pfkm	NA	560	0.641599178314209	0.16832487	Yes	
row_8	Abca4	NA	627	0.6162466406822205	0.18187267	Yes	
row_9	Crot	NA	635	0.6148678660392761	0.19752055	Yes	
row_10	Nr1h4	NA	743	0.583692193031311	0.20874229	Yes	
row_11	Sod1	NA	747	0.5820501446723938	0.22368626	Yes	
row_12	Abca8b	NA	877	0.5515770316123962	0.23328109	Yes	
row_13	Acsl1	NA	926	0.5384770631790161	0.24546924	Yes	
row_14	Pex11a	NA	956	0.5315621495246887	0.25816637	Yes	
row_15	Aqp9	NA	981	0.527852475643158	0.27094853	Yes	
row_16	Hsd17b11	NA	1128	0.5011736750602722	0.27862448	Yes	
row_17	Abca6	NA	1197	0.48922446370124817	0.2888149	Yes	
row_18	Cyp8b1	NA	1211	0.4862130582332611	0.30091843	Yes	
row_19	Efhc1	NA	1447	0.4532759487628937	0.30413395	Yes	
row_20	Pex16	NA	1515	0.44407010078430176	0.31319284	Yes	
row_21	Gclm	NA	1543	0.4413330554962158	0.3236289	Yes	
row_22	Pex7	NA	1654	0.42981910705566406	0.33076268	Yes	
row_23	Prdx5	NA	1776	0.4187251329421997	0.33721137	Yes	
row_24	Pex11g	NA	2039	0.3923604488372803	0.33787417	Yes	
row_25	Cat	NA	2475	0.36394697427749634	0.3315397	Yes	
row_26	Abca2	NA	2479	0.3636605739593506	0.34083584	Yes	
row_27	Ttr	NA	2515	0.3614136576652527	0.3489155	Yes	
row_28	Slc22a18	NA	2570	0.3581050932407379	0.3562218	Yes	
row_29	Dio1	NA	2790	0.34313738346099854	0.3571682	Yes	
row_30	Pxmp2	NA	2922	0.33467477560043335	0.36108124	Yes	
row_31	Abcg8	NA	2961	0.3316633105278015	0.3682829	Yes	
row_32	Sult1b1	NA	3072	0.3233409821987152	0.37266302	Yes	
row_33	Nr0b2	NA	3371	0.30683887004852295	0.36981094	Yes	
row_34	Phyh	NA	3495	0.3009163737297058	0.37314054	Yes	
row_35	Retsat	NA	3523	0.2999468445777893	0.37992018	Yes	
row_36	Paox	NA	3568	0.29817378520965576	0.3860386	Yes	
row_37	Optn	NA	3626	0.29578012228012085	0.3916245	Yes	
row_38	Pex12	NA	3989	0.2826710343360901	0.38583067	Yes	
row_39	Mlycd	NA	4014	0.2815544307231903	0.39224327	Yes	
row_40	Pex13	NA	4038	0.2808600664138794	0.39867407	Yes	
row_41	Bcar3	NA	4394	0.26958927512168884	0.39279532	Yes	
row_42	Pecr	NA	4503	0.26489031314849854	0.39573625	Yes	
row_43	Npc1	NA	4798	0.2513783574104309	0.39159468	Yes	
row_44	Akr1d1	NA	4810	0.25068601965904236	0.39767954	Yes	
row_45	Abca3	NA	4824	0.25020933151245117	0.4036797	Yes	
row_46	Slc23a1	NA	4827	0.2501559257507324	0.41007665	Yes	
row_47	Pex19	NA	5096	0.2390439510345459	0.4065573	No	
row_48	Gstk1	NA	5689	0.21687470376491547	0.3907361	No	
row_49	Cyp27a1	NA	6062	0.2056906670331955	0.38258946	No	
row_50	Lipe	NA	6097	0.2045254111289978	0.38664797	No	
row_51	Rxra	NA	6228	0.19993163645267487	0.3871126	No	
row_52	Cyp46a1	NA	6476	0.19126743078231812	0.38311782	No	
row_53	Agxt	NA	7469	0.17117442190647125	0.35163513	No	
row_54	Idh1	NA	7654	0.1675976663827896	0.3493088	No	
row_55	Pex1	NA	8523	0.15923458337783813	0.322006	No	
row_56	Pex26	NA	8663	0.15448831021785736	0.32096958	No	
row_57	Pipox	NA	8986	0.14469142258167267	0.3130554	No	
row_58	Scp2	NA	9248	0.1358734518289566	0.30712128	No	
row_59	Hsd17b4	NA	10120	0.1110244169831276	0.27846313	No	
row_60	Abcd3	NA	10379	0.10476918518543243	0.2718332	No	
row_61	Slc35b2	NA	10508	0.10108722746372223	0.26981398	No	
row_62	Aldh9a1	NA	10594	0.09863674640655518	0.26928794	No	
row_63	Acsl5	NA	10697	0.09598702192306519	0.26807797	No	
row_64	Fdxr	NA	10701	0.09588072448968887	0.27044898	No	
row_65	Tfcp2l1	NA	10860	0.09179142862558365	0.26710337	No	
row_66	Pex6	NA	10934	0.08945109695196152	0.26677415	No	
row_67	Slc23a2	NA	11137	0.0835847556591034	0.26162353	No	
row_68	Nedd4	NA	11149	0.08314907550811768	0.2633757	No	
row_69	Bmp6	NA	11150	0.0831427350640297	0.26552588	No	
row_70	Ch25h	NA	11813	0.0646849051117897	0.24323492	No	
row_71	Abca5	NA	12065	0.05693422630429268	0.23562133	No	
row_72	Abca9	NA	12099	0.05560876801609993	0.23586488	No	
row_73	Abcg4	NA	12622	0.04117327183485031	0.21803375	No	
row_74	Hacl1	NA	13252	0.024828564375638962	0.19590661	No	
row_75	Idh2	NA	14155	0.003460128325968981	0.16334452	No	
row_76	Lonp2	NA	14629	-0.0062154014594852924	0.14638308	No	
row_77	Dio2	NA	14869	-0.011390292085707188	0.13802607	No	
row_78	Pnpla8	NA	15520	-0.02684052847325802	0.11519079	No	
row_79	Cyp7a1	NA	15722	-0.03216690197587013	0.10874665	No	
row_80	Nudt12	NA	16647	-0.061399731785058975	0.076886564	No	
row_81	Klf1	NA	17763	-0.09442640095949173	0.038966563	No	
row_82	Slc27a5	NA	17938	-0.1002177745103836	0.035259683	No	
row_83	Fads2	NA	19461	-0.14918707311153412	-0.015977165	No	
row_84	Gc	NA	19531	-0.1513482928276062	-0.014560838	No	
row_85	Fads1	NA	19568	-0.15243025124073029	-0.011921961	No	
row_86	Bbox1	NA	19694	-0.15613681077957153	-0.012408947	No	
row_87	Idi1	NA	21907	-0.20082616806030273	-0.08728772	No	
row_88	Abca1	NA	22505	-0.22214247286319733	-0.10315368	No	
row_89	Atxn1	NA	22833	-0.2378823310136795	-0.10883884	No	
row_90	Gnpat	NA	23271	-0.26197606325149536	-0.1178828	No	
row_91	Sult2b1	NA	23378	-0.2684984505176544	-0.11477619	No	
row_92	Hsd17b6	NA	23886	-0.28784698247909546	-0.12568502	No	
row_93	Aldh8a1	NA	24297	-0.30980756878852844	-0.13251463	No	
row_94	Dhcr24	NA	24926	-0.3622370660305023	-0.14587975	No	
row_95	Gnmt	NA	25833	-0.4620005786418915	-0.16672818	No	
row_96	Soat2	NA	25905	-0.4723431169986725	-0.15708292	No	
row_97	Slc29a1	NA	26033	-0.48751574754714966	-0.14907241	No	
row_98	Isoc1	NA	26217	-0.5202007293701172	-0.14224377	No	
row_99	Cyp39a1	NA	26322	-0.5412904024124146	-0.13201	No	
