NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Igfbp2	NA	1	2.4043259620666504	0.02751335	No	
row_1	Fas	NA	41	1.2942394018173218	0.040927358	No	
row_2	Col12a1	NA	91	1.1137555837631226	0.051910274	No	
row_3	Ecm1	NA	248	0.8542376160621643	0.056034986	No	
row_4	Dab2	NA	348	0.7634319067001343	0.06118855	No	
row_5	Lama3	NA	585	0.6326675415039062	0.05987009	No	
row_6	Vcan	NA	734	0.5857618451118469	0.06120894	No	
row_7	Igfbp4	NA	915	0.5404919981956482	0.060867336	No	
row_8	Itgb3	NA	983	0.5277303457260132	0.064481884	No	
row_9	Dst	NA	1072	0.5103664398193359	0.06713507	No	
row_10	Lrp1	NA	1092	0.5080585479736328	0.07226682	No	
row_11	Fbln1	NA	1114	0.5037409663200378	0.077276476	No	
row_12	Mylk	NA	1135	0.49900615215301514	0.08226819	No	
row_13	Msx1	NA	1236	0.4823898673057556	0.08416517	No	
row_14	Tpm2	NA	1577	0.4385223686695099	0.07684648	No	
row_15	Notch2	NA	1949	0.4004424214363098	0.06796603	No	
row_16	Matn2	NA	2415	0.3689519464969635	0.05531215	No	
row_17	Mmp3	NA	2613	0.3548033535480499	0.052225683	No	
row_18	Pmp22	NA	2632	0.353365957736969	0.055621207	No	
row_19	Itga2	NA	3123	0.32038962841033936	0.041503277	No	
row_20	Pfn2	NA	3286	0.3106231093406677	0.039181225	No	
row_21	Cap2	NA	3372	0.3067981004714966	0.03961077	No	
row_22	Vegfa	NA	3505	0.3006531894207001	0.038263608	No	
row_23	Lrrc15	NA	3594	0.29719358682632446	0.038474187	No	
row_24	Spp1	NA	3640	0.295415461063385	0.040225476	No	
row_25	Slit2	NA	3648	0.2950904965400696	0.043352604	No	
row_26	Col5a3	NA	3758	0.29106560349464417	0.04273058	No	
row_27	Sgcd	NA	3780	0.2900996506214142	0.04529226	No	
row_28	Mest	NA	4137	0.2778612971305847	0.03555179	No	
row_29	Slc6a8	NA	4276	0.27325162291526794	0.033672825	No	
row_30	Sntb1	NA	4324	0.27208107709884644	0.035084132	No	
