NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Car12	NA	9	1.7762391567230225	0.023136651	No	
row_1	Ar	NA	65	1.2077206373214722	0.037093412	No	
row_2	Slc26a2	NA	326	0.7786102294921875	0.037939433	No	
row_3	Muc1	NA	353	0.7590022683143616	0.04702163	No	
row_4	Deptor	NA	472	0.6807390451431274	0.051730014	No	
row_5	Gla	NA	553	0.6453354358673096	0.05735029	No	
row_6	Rab17	NA	665	0.6034165024757385	0.061291404	No	
row_7	Asb13	NA	744	0.5835893750190735	0.06616865	No	
row_8	Il17rb	NA	775	0.5759055018424988	0.072687	No	
row_9	Adcy9	NA	824	0.5638777613639832	0.07839299	No	
row_10	Slc7a2	NA	850	0.5562759637832642	0.084833555	No	
row_11	Add3	NA	851	0.5562046766281128	0.092180796	No	
row_12	Mlph	NA	885	0.5496242046356201	0.098243065	No	
row_13	Igfbp4	NA	915	0.5404919981956482	0.104329914	No	
row_14	Pex11a	NA	956	0.5315621495246887	0.10989947	No	
row_15	Reep1	NA	1080	0.5094819664955139	0.112164095	No	
row_16	Anxa9	NA	1104	0.505817711353302	0.11801074	No	
row_17	Celsr1	NA	1106	0.5054137706756592	0.12465074	No	
row_18	Tsku	NA	1164	0.4950018525123596	0.12912017	No	
row_19	Ttc39a	NA	1232	0.4828800857067108	0.13306643	No	
row_20	Myof	NA	1337	0.4699133336544037	0.13549815	No	
row_21	Kcnk5	NA	1414	0.4582231342792511	0.13879198	No	
row_22	Krt19	NA	1730	0.4223580062389374	0.13293532	No	
row_23	Tiparp	NA	1805	0.4165012836456299	0.13575062	No	
row_24	Fam102a	NA	1913	0.4041687846183777	0.13720497	No	
row_25	Krt18	NA	1967	0.39935755729675293	0.14055619	No	
row_26	Lrig1	NA	2248	0.3803408741950989	0.13541515	No	
row_27	Aldh3b1	NA	2389	0.37073463201522827	0.13522981	No	
row_28	Mreg	NA	2560	0.3590434193611145	0.13380091	No	
row_29	Slc9a3r1	NA	2747	0.3460947573184967	0.1316201	No	
row_30	Krt8	NA	2791	0.34308651089668274	0.13459104	No	
row_31	Npy1r	NA	2852	0.33952048420906067	0.13689771	No	
row_32	Tubb2b	NA	3005	0.32749277353286743	0.13570552	No	
row_33	Olfml3	NA	3018	0.3267320990562439	0.13958587	No	
row_34	Blvrb	NA	3085	0.32270437479019165	0.14145258	No	
row_35	Slc16a1	NA	3092	0.32226213812828064	0.1454917	No	
row_36	Mast4	NA	3251	0.3126181662082672	0.1438852	No	
row_37	Dynlt3	NA	3381	0.30617910623550415	0.14324644	No	
row_38	Klf4	NA	3605	0.2966681122779846	0.13906947	No	
