NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Chst8	NA	7	1.8370442390441895	0.024916695	No	
row_1	Car12	NA	9	1.7762391567230225	0.04921803	No	
row_2	St14	NA	25	1.4818472862243652	0.06897753	No	
row_3	Dcxr	NA	277	0.8164421319961548	0.071053855	No	
row_4	Car2	NA	321	0.7819241285324097	0.08020686	No	
row_5	Slc26a2	NA	326	0.7786102294921875	0.09073002	No	
row_6	Sord	NA	426	0.713963508605957	0.09691925	No	
row_7	Gla	NA	553	0.6453354358673096	0.10118816	No	
row_8	Aldh3a2	NA	732	0.5859650373458862	0.10275617	No	
row_9	Il17rb	NA	775	0.5759055018424988	0.10912266	No	
row_10	Add3	NA	851	0.5562046766281128	0.11402143	No	
row_11	Igfbp4	NA	915	0.5404919981956482	0.11914046	No	
row_12	Llgl2	NA	950	0.5326883792877197	0.12520516	No	
row_13	Acox2	NA	955	0.5317757725715637	0.13234624	No	
row_14	S100a9	NA	987	0.5273776650428772	0.13844708	No	
row_15	Mapk13	NA	1095	0.5073573589324951	0.14151506	No	
row_16	Anxa9	NA	1104	0.505817711353302	0.1481553	No	
row_17	Ptpn6	NA	1132	0.4998881220817566	0.15402465	No	
row_18	Fabp5	NA	1149	0.4969959557056427	0.16025363	No	
row_19	Cxcl14	NA	1209	0.4865979254245758	0.16477941	No	
row_20	Hprt	NA	1219	0.48432397842407227	0.17108884	No	
row_21	Myof	NA	1337	0.4699133336544037	0.17328082	No	
row_22	Kcnk5	NA	1414	0.4582231342792511	0.17680077	No	
row_23	Tst	NA	1620	0.43398648500442505	0.17530641	No	
row_24	Cox6c	NA	1655	0.42976000905036926	0.1799608	No	
row_25	Krt19	NA	1730	0.4223580062389374	0.18306194	No	
row_26	Slc2a8	NA	1876	0.4081842601299286	0.18339182	No	
row_27	Fam102a	NA	1913	0.4041687846183777	0.18762298	No	
row_28	Ugdh	NA	2038	0.39243149757385254	0.18849924	No	
row_29	Aldh3b1	NA	2389	0.37073463201522827	0.18087526	No	
row_30	Hspa4l	NA	2646	0.35211512446403503	0.17640801	No	
row_31	Slc9a3r1	NA	2747	0.3460947573184967	0.17752048	No	
row_32	Npy1r	NA	2852	0.33952048420906067	0.1783977	No	
