NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Car12	NA	9	1.7762391567230225	0.024307635	No	
row_1	Selenbp1	NA	360	0.756397008895874	0.022091048	No	
row_2	Nedd4l	NA	411	0.724000096321106	0.030316815	No	
row_3	Pklr	NA	511	0.6645560264587402	0.03593919	No	
row_4	Gck	NA	535	0.6531057357788086	0.044161987	No	
row_5	Cdkn1c	NA	576	0.6347806453704834	0.051513437	No	
row_6	Ugp2	NA	677	0.6000787615776062	0.05620528	No	
row_7	Ampd3	NA	788	0.5716702938079834	0.060140077	No	
row_8	Gbe1	NA	883	0.5502336621284485	0.06435846	No	
row_9	Btg1	NA	925	0.5386162400245667	0.07033992	No	
row_10	Ppargc1a	NA	1061	0.5125967860221863	0.07254779	No	
row_11	Pam	NA	1100	0.5061067342758179	0.0781873	No	
row_12	Phkg1	NA	1150	0.49697011709213257	0.08330073	No	
row_13	Egfr	NA	1362	0.46625852584838867	0.082106724	No	
row_14	Plac8	NA	1485	0.4483064115047455	0.083894946	No	
row_15	Atp7a	NA	1521	0.4433393180370331	0.088772856	No	
row_16	Pgam2	NA	1630	0.43306657671928406	0.09085799	No	
row_17	Lxn	NA	1748	0.4207161068916321	0.09244508	No	
row_18	Rora	NA	1756	0.4204061031341553	0.09802149	No	
row_19	Glrx	NA	1775	0.41876232624053955	0.103175744	No	
row_20	Prdx5	NA	1776	0.4187251329421997	0.10898298	No	
row_21	Angptl4	NA	1779	0.4184500277042389	0.11471379	No	
row_22	Tiparp	NA	1805	0.4165012836456299	0.11958254	No	
row_23	Tpd52	NA	1860	0.40950366854667664	0.12330138	No	
row_24	Gapdhs	NA	1879	0.40793707966804504	0.1283055	No	
row_25	Gcnt2	NA	2059	0.39082255959510803	0.12722707	No	
row_26	Klhl24	NA	2075	0.3898446261882782	0.13208917	No	
row_27	Tktl1	NA	2142	0.3860298693180084	0.1350468	No	
row_28	Hmox1	NA	2185	0.3841279149055481	0.13884938	No	
row_29	S100a4	NA	2355	0.373420774936676	0.13789265	No	
row_30	Cp	NA	2467	0.36462676525115967	0.13891968	No	
row_31	Ndrg1	NA	2833	0.3404048979282379	0.13038918	No	
row_32	Casp6	NA	2854	0.3392504155635834	0.13436809	No	
row_33	Cdkn1a	NA	2898	0.3360929489135742	0.13746817	No	
row_34	Gaa	NA	3022	0.32652339339256287	0.13753109	No	
row_35	Ilvbl	NA	3075	0.32304224371910095	0.14012343	No	
row_36	Tpst2	NA	3130	0.3198740482330322	0.14259921	No	
row_37	Vegfa	NA	3505	0.3006531894207001	0.13319065	No	
row_38	Ankzf1	NA	3892	0.2858506739139557	0.12314112	No	
row_39	Ddit3	NA	4250	0.2742248475551605	0.11398322	No	
row_40	Hk1	NA	4575	0.26173433661460876	0.105850175	No	
row_41	Ackr3	NA	4583	0.261494517326355	0.109222665	No	
row_42	Isg20	NA	4940	0.24516545236110687	0.09969805	No	
row_43	Foxo3	NA	5284	0.23135697841644287	0.0904539	No	
row_44	Myh9	NA	5292	0.23106138408184052	0.093404315	No	
row_45	Pck1	NA	6467	0.19164055585861206	0.05343944	No	
row_46	Stc1	NA	6878	0.17978204786777496	0.041047532	No	
row_47	Csrp2	NA	7143	0.17584161460399628	0.03390159	No	
row_48	Fam162a	NA	7169	0.1749774068593979	0.035420686	No	
row_49	Pygm	NA	7359	0.1721610277891159	0.03094661	No	
row_50	Dcn	NA	7613	0.1690107136964798	0.024105292	No	
row_51	Nagk	NA	7623	0.16879691183567047	0.02611956	No	
row_52	Akap12	NA	7639	0.168171688914299	0.027907323	No	
row_53	Tgm2	NA	8689	0.1536904126405716	-0.008045688	No	
row_54	Slc25a1	NA	8721	0.15295693278312683	-0.0070498236	No	
row_55	Anxa2	NA	8967	0.1454014629125595	-0.013928133	No	
row_56	Hdlbp	NA	9544	0.12686283886432648	-0.033080686	No	
row_57	Pgk1	NA	9768	0.12035232037305832	-0.039507676	No	
row_58	Mif	NA	10123	0.11092113703489304	-0.050821494	No	
row_59	Kif5a	NA	10229	0.1085110679268837	-0.053128652	No	
row_60	Zfp36	NA	10278	0.10703945904970169	-0.053386804	No	
row_61	Adora2b	NA	10289	0.10674609243869781	-0.052269414	No	
row_62	Plin2	NA	10414	0.10406267642974854	-0.055328075	No	
row_63	Prkca	NA	10500	0.10133786499500275	-0.057008605	No	
row_64	Vhl	NA	10892	0.09077654033899307	-0.06994511	No	
row_65	Kdm3a	NA	11216	0.08139429986476898	-0.08054296	No	
row_66	Aldoa	NA	11475	0.07383286952972412	-0.088885814	No	
row_67	F3	NA	11615	0.0702112689614296	-0.09295853	No	
row_68	Irs2	NA	11634	0.06960906833410263	-0.092646636	No	
row_69	Ppp1r15a	NA	11716	0.067512646317482	-0.094651066	No	
row_70	Aldoc	NA	12190	0.0527573823928833	-0.111091904	No	
row_71	Ndst1	NA	12389	0.046543750911951065	-0.11763489	No	
row_72	Gpi1	NA	12629	0.04106546938419342	-0.12574239	No	
row_73	Chst3	NA	12630	0.041021548211574554	-0.12517346	No	
row_74	Ids	NA	12782	0.036529503762722015	-0.13014898	No	
row_75	Jmjd6	NA	12840	0.034778714179992676	-0.13173606	No	
row_76	Plaur	NA	12972	0.03131359443068504	-0.13605781	No	
row_77	Efna1	NA	12975	0.031280286610126495	-0.13569659	No	
