NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Usp18	NA	266	0.8341509103775024	0.025312234	Yes	
row_1	Mx2	NA	547	0.6478195786476135	0.04231382	Yes	
row_2	Tap1	NA	548	0.6474789381027222	0.06943212	Yes	
row_3	Cnp	NA	879	0.550969660282135	0.08056825	Yes	
row_4	Oas1a	NA	920	0.539702296257019	0.101725265	Yes	
row_5	Procr	NA	1319	0.472404807806015	0.10711049	Yes	
row_6	Il4ra	NA	1551	0.4406202733516693	0.11720689	Yes	
row_7	Trim25	NA	1642	0.4316246211528778	0.13202819	Yes	
row_8	Lgals3bp	NA	1649	0.43043407797813416	0.14983894	Yes	
row_9	Epsti1	NA	1692	0.42615777254104614	0.16616802	Yes	
row_10	Ifi30	NA	1900	0.4064141511917114	0.17570013	Yes	
row_11	Txnip	NA	2007	0.3948448896408081	0.18840209	Yes	
row_12	Tmem140	NA	2008	0.394697904586792	0.20493318	Yes	
row_13	Mov10	NA	2123	0.38728779554367065	0.21702915	Yes	
row_14	C1s1	NA	2157	0.3853818476200104	0.23197606	Yes	
row_15	Stat2	NA	3248	0.31271880865097046	0.20563519	No	
row_16	Ncoa7	NA	3406	0.30504846572875977	0.21273091	No	
row_17	Ly6e	NA	4555	0.2626035511493683	0.1821925	No	
row_18	Ogfr	NA	4658	0.257604718208313	0.18929116	No	
row_19	Isg20	NA	4940	0.24516545236110687	0.18939224	No	
row_20	Irf7	NA	5256	0.23250938951969147	0.18773307	No	
row_21	Ifi35	NA	5416	0.22532831132411957	0.19141752	No	
row_22	Ifit3	NA	5529	0.22169950604438782	0.19665055	No	
row_23	Cd47	NA	5533	0.22140517830848694	0.20581509	No	
row_24	Csf1	NA	5728	0.21513783931732178	0.20780636	No	
row_25	Il15	NA	6152	0.20252344012260437	0.20098363	No	
row_26	Cd74	NA	6487	0.19088701903820038	0.19689372	No	
row_27	Casp8	NA	7619	0.16888763010501862	0.1630453	No	
