NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Map7	NA	48	1.2656562328338623	0.015390465	No	
row_1	Slpi	NA	156	0.9798718094825745	0.024770344	No	
row_2	Rbp4	NA	188	0.9298370480537415	0.03623203	No	
row_3	Car2	NA	321	0.7819241285324097	0.0420247	No	
row_4	Eng	NA	413	0.7235010862350464	0.04851498	No	
row_5	Itgb2	NA	418	0.7207686901092529	0.05812674	No	
row_6	Ank	NA	444	0.7043460607528687	0.066753805	No	
row_7	Ephb2	NA	461	0.6893243789672852	0.07550425	No	
row_8	Hkdc1	NA	469	0.6834608316421509	0.08450206	No	
row_9	Tmem176a	NA	516	0.6615051031112671	0.0917868	No	
row_10	Cfb	NA	567	0.6392928957939148	0.09862564	No	
row_11	Snap25	NA	599	0.6287872195243835	0.10601204	No	
row_12	Crot	NA	635	0.6148678660392761	0.1130648	No	
row_13	Cfh	NA	660	0.6052233576774597	0.12038635	No	
row_14	Nr1h4	NA	743	0.583692193031311	0.1253108	No	
row_15	Aldh1a2	NA	746	0.5835299491882324	0.13313738	No	
row_16	Tfpi	NA	832	0.5614802837371826	0.13765222	No	
row_17	Reln	NA	1076	0.5101565718650818	0.13573623	No	
row_18	Mafb	NA	1376	0.46425876021385193	0.13116589	No	
row_19	Lcp1	NA	1405	0.4588918387889862	0.13636135	No	
row_20	Abcb1a	NA	1444	0.45377662777900696	0.14112452	No	
row_21	Tmem176b	NA	1535	0.4420054256916046	0.14384052	No	
row_22	Ppbp	NA	1667	0.4283681809902191	0.14488344	No	
row_23	Glrx	NA	1775	0.41876232624053955	0.14666764	No	
row_24	Angptl4	NA	1779	0.4184500277042389	0.15222324	No	
row_25	Pigr	NA	1830	0.41375938057899475	0.15600905	No	
row_26	Rgs16	NA	1896	0.4066431224346161	0.15915397	No	
row_27	Gprc5b	NA	2262	0.379599392414093	0.15104152	No	
row_28	Pcsk1n	NA	2283	0.37835222482681274	0.15543716	No	
row_29	Dock2	NA	2291	0.3779160678386688	0.16029884	No	
row_30	Mmp9	NA	2372	0.3722585439682007	0.16243373	No	
row_31	Ngf	NA	2493	0.3626870810985565	0.16298689	No	
row_32	Tspan1	NA	2498	0.3624607026576996	0.16774826	No	
row_33	Itga2	NA	3123	0.32038962841033936	0.14943151	No	
row_34	Hsd11b1	NA	3252	0.31251487135887146	0.14901505	No	
row_35	Nr0b2	NA	3371	0.30683887004852295	0.1488848	No	
row_36	Peg3	NA	3504	0.300686776638031	0.148163	No	
row_37	Map4k1	NA	3592	0.2972458600997925	0.14902833	No	
row_38	Klf4	NA	3605	0.2966681122779846	0.15260865	No	
row_39	Spp1	NA	3640	0.295415461063385	0.15537332	No	
row_40	Pdcd1lg2	NA	4013	0.2815553545951843	0.14567953	No	
row_41	Fbxo4	NA	4402	0.26924535632133484	0.13523823	No	
row_42	Retn	NA	4493	0.26516643166542053	0.1355604	No	
row_43	Gfpt2	NA	4527	0.263718843460083	0.13793229	No	
row_44	Ly96	NA	4550	0.2627643644809723	0.14069061	No	
row_45	Il2rg	NA	4587	0.26133018732070923	0.14292125	No	
row_46	Usp12	NA	4733	0.25439146161079407	0.14110082	No	
row_47	Cpe	NA	4738	0.2542244493961334	0.14439702	No	
row_48	Adgra2	NA	5191	0.23528960347175598	0.1311726	No	
row_49	Tspan7	NA	5247	0.23300935328006744	0.13233009	No	
row_50	Adam8	NA	5262	0.23227547109127045	0.13496612	No	
row_51	Bpgm	NA	6008	0.20729830861091614	0.11072564	No	
row_52	Ptprr	NA	6260	0.19864517450332642	0.104302324	No	
row_53	Snap91	NA	6336	0.19638778269290924	0.10423799	No	
row_54	Fuca1	NA	6419	0.1933927685022354	0.10387898	No	
row_55	Ptcd2	NA	6576	0.18737243115901947	0.100751966	No	
row_56	Dcbld2	NA	6705	0.1834556609392166	0.098588444	No	
row_57	Birc3	NA	6842	0.18116770684719086	0.09610352	No	
row_58	Tmem158	NA	6866	0.18014848232269287	0.097707175	No	
row_59	Adgrl4	NA	6989	0.17856644093990326	0.095695294	No	
row_60	Akap12	NA	7639	0.168171688914299	0.07441037	No	
row_61	Lat2	NA	7956	0.16419488191604614	0.06516092	No	
row_62	Trib1	NA	8632	0.15542779862880707	0.042759582	No	
row_63	Arg1	NA	8645	0.1551159769296646	0.04442372	No	
row_64	Cbr4	NA	8767	0.15157939493656158	0.042082824	No	
row_65	Sdccag8	NA	8798	0.1507740020751953	0.04303471	No	
row_66	Atg10	NA	8977	0.1450204998254776	0.038535684	No	
row_67	Avl9	NA	9113	0.14070148766040802	0.035539277	No	
row_68	Tor1aip2	NA	9494	0.12819214165210724	0.023478994	No	
row_69	Nap1l2	NA	9575	0.1259818971157074	0.022280062	No	
row_70	Evi5	NA	9690	0.12270643562078476	0.019802444	No	
row_71	Igf2	NA	9935	0.11628711223602295	0.012518379	No	
row_72	Prdm1	NA	10041	0.11319269984960556	0.010238714	No	
row_73	Galnt3	NA	10072	0.11242485046386719	0.010671471	No	
row_74	Fgf9	NA	10778	0.0938464030623436	-0.013652622	No	
row_75	Jup	NA	11015	0.08674484491348267	-0.021046164	No	
row_76	Scg5	NA	11019	0.08663760870695114	-0.01998227	No	
row_77	Ppp1r15a	NA	11716	0.067512646317482	-0.044336103	No	
row_78	Csf2	NA	12306	0.04934428259730339	-0.065051325	No	
row_79	Prkg2	NA	12411	0.04601573571562767	-0.06820405	No	
row_80	Vwa5a	NA	12518	0.04361971467733383	-0.07146183	No	
row_81	Il33	NA	12605	0.04152393341064453	-0.07402189	No	
row_82	Mall	NA	12624	0.04114856943488121	-0.07411834	No	
row_83	Plaur	NA	12972	0.03131359443068504	-0.08629202	No	
row_84	Pecam1	NA	12977	0.031162286177277565	-0.086015396	No	
row_85	Itgbl1	NA	13267	0.02434663102030754	-0.09617774	No	
row_86	Cbx8	NA	13344	0.022327428683638573	-0.098634616	No	
row_87	Adamdec1	NA	14096	0.0048798732459545135	-0.12583303	No	
row_88	Akt2	NA	14196	0.002599962754175067	-0.12939195	No	
row_89	Flt4	NA	14586	-0.005426617339253426	-0.14344084	No	
