NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Notch1	NA	196	0.917606770992279	0.05887502	No	
row_1	Fzd7	NA	688	0.5954892635345459	0.08394831	No	
row_2	Notch3	NA	730	0.5863544344902039	0.12461112	No	
row_3	Arrb1	NA	833	0.5610540509223938	0.16125327	No	
row_4	Notch2	NA	1949	0.4004424214363098	0.14978008	No	
row_5	Rbx1	NA	3285	0.3107014298439026	0.12391442	No	
row_6	Aph1a	NA	3816	0.28845176100730896	0.12551203	No	
row_7	Psenen	NA	6573	0.18754059076309204	0.039492946	No	
row_8	Fzd5	NA	9588	0.12578290700912476	-0.060279254	No	
row_9	Dll1	NA	9869	0.11783945560455322	-0.061918456	No	
row_10	Prkca	NA	10500	0.10133786499500275	-0.07737951	No	
row_11	Ccnd1	NA	11295	0.07901347428560257	-0.10036587	No	
row_12	Cul1	NA	12908	0.03294019028544426	-0.1561954	No	
row_13	Kat2a	NA	13014	0.03060423955321312	-0.15778655	No	
row_14	Psen2	NA	13662	0.01470750942826271	-0.18008772	No	
row_15	Tcf7l2	NA	14994	-0.014358327724039555	-0.22710802	No	
row_16	Fbxw11	NA	15669	-0.0310837272554636	-0.24920695	No	
row_17	Dtx4	NA	17703	-0.09264423698186874	-0.3159445	No	
row_18	Ppard	NA	18347	-0.1122385710477829	-0.3310914	No	
row_19	Dtx2	NA	18503	-0.1170455738902092	-0.32827485	No	
row_20	Heyl	NA	20862	-0.17415323853492737	-0.40088737	No	
row_21	Sap30	NA	23407	-0.2694595456123352	-0.473365	No	
row_22	Jag1	NA	24791	-0.3496992290019989	-0.4981607	Yes	
row_23	Hes1	NA	25054	-0.37316176295280457	-0.4807993	Yes	
row_24	Dtx1	NA	25687	-0.4405185282230377	-0.47195464	Yes	
row_25	Wnt2	NA	26080	-0.49425843358039856	-0.45058298	Yes	
row_26	Maml2	NA	26698	-0.6557393670082092	-0.42572823	Yes	
row_27	Lfng	NA	27353	-1.2535099983215332	-0.35924575	Yes	
row_28	Wnt5a	NA	27368	-1.2802584171295166	-0.26773527	Yes	
row_29	Fzd1	NA	27545	-1.9475916624069214	-0.13411018	Yes	
row_30	St3gal6	NA	27548	-1.9578547477722168	0.006534361	Yes	
