NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	St14	NA	25	1.4818472862243652	0.021999562	Yes	
row_1	Fas	NA	41	1.2942394018173218	0.04146209	Yes	
row_2	Cebpa	NA	57	1.2204498052597046	0.059783924	Yes	
row_3	Cdkn2a	NA	71	1.1863402128219604	0.0776511	Yes	
row_4	Notch1	NA	196	0.917606770992279	0.08733322	Yes	
row_5	Dcxr	NA	277	0.8164421319961548	0.09704926	Yes	
row_6	Ephx1	NA	290	0.8061034679412842	0.10907479	Yes	
row_7	Itgb4	NA	293	0.8048891425132751	0.12144468	Yes	
row_8	Cdkn2b	NA	302	0.7995283603668213	0.13351382	Yes	
row_9	Mdm2	NA	312	0.7882840633392334	0.14537284	Yes	
row_10	Vamp8	NA	393	0.7344219088554382	0.15382095	Yes	
row_11	Gpx2	NA	438	0.7074124217033386	0.16315882	Yes	
row_12	Tap1	NA	548	0.6474789381027222	0.16920981	Yes	
row_13	Gm2a	NA	760	0.5793514847755432	0.17050368	Yes	
row_14	Ercc5	NA	860	0.5551678538322449	0.17549081	Yes	
row_15	Eps8l2	NA	867	0.5537517666816711	0.1838332	Yes	
row_16	Btg1	NA	925	0.5386162400245667	0.19008963	Yes	
row_17	Phlda3	NA	938	0.536012589931488	0.1979399	Yes	
row_18	Ctsd	NA	942	0.5344787240028381	0.2060933	Yes	
row_19	Mknk2	NA	1079	0.5096315145492554	0.20903291	Yes	
row_20	Pmm1	NA	1204	0.48717358708381653	0.21206109	Yes	
row_21	Steap3	NA	1207	0.48674455285072327	0.2195129	Yes	
row_22	Mxd1	NA	1226	0.48350080847740173	0.22633353	Yes	
row_23	Ralgds	NA	1238	0.4817378520965576	0.2333811	Yes	
row_24	Def6	NA	1315	0.47303542494773865	0.23793378	Yes	
row_25	Procr	NA	1319	0.472404807806015	0.2451276	Yes	
row_26	Plxnb2	NA	1342	0.46909400820732117	0.25158027	Yes	
row_27	Zfp365	NA	1384	0.4633901119232178	0.25725484	Yes	
row_28	Btg2	NA	1457	0.45154961943626404	0.2616206	Yes	
row_29	Ccng1	NA	1580	0.4381665885448456	0.26396385	Yes	
row_30	Baiap2	NA	1603	0.4359123110771179	0.26990357	Yes	
row_31	Ptpn14	NA	1619	0.43418675661087036	0.27607083	Yes	
row_32	Abcc5	NA	1629	0.4330670237541199	0.28243867	Yes	
row_33	Slc3a2	NA	1825	0.41415584087371826	0.28175983	Yes	
row_34	Ninj1	NA	1832	0.41317984461784363	0.28792918	Yes	
row_35	Pvt1	NA	1834	0.41301146149635315	0.29427746	Yes	
row_36	Acvr1b	NA	1865	0.4090119004249573	0.29951084	Yes	
row_37	Rgs16	NA	1896	0.4066431224346161	0.3047076	Yes	
row_38	Ifi30	NA	1900	0.4064141511917114	0.3108813	Yes	
row_39	Ldhb	NA	1976	0.39870283007621765	0.3143212	Yes	
row_40	Txnip	NA	2007	0.3948448896408081	0.31933558	Yes	
row_41	Hmox1	NA	2185	0.3841279149055481	0.3188462	Yes	
row_42	Ppm1d	NA	2238	0.3808479607105255	0.3228453	Yes	
row_43	Kif13b	NA	2320	0.37581995129585266	0.3257136	Yes	
row_44	S100a4	NA	2355	0.373420774936676	0.33025151	Yes	
row_45	Vdr	NA	2620	0.35457614064216614	0.32614604	Yes	
row_46	Tgfa	NA	2626	0.35413071513175964	0.33143887	Yes	
row_47	Hspa4l	NA	2646	0.35211512446403503	0.33619216	Yes	
row_48	Il1a	NA	2688	0.349571168422699	0.3401072	Yes	
row_49	Ndrg1	NA	2833	0.3404048979282379	0.34014028	Yes	
row_50	Cd82	NA	2881	0.33697906136512756	0.3436428	Yes	
row_51	Cdkn1a	NA	2898	0.3360929489135742	0.34825733	Yes	
row_52	Gls2	NA	3220	0.3135971128940582	0.34144852	Yes	
row_53	Ptpre	NA	3223	0.31343507766723633	0.34622118	Yes	
row_54	Tprkb	NA	3416	0.30437129735946655	0.34395418	Yes	
row_55	Rps27l	NA	3451	0.3023478388786316	0.34739342	Yes	
row_56	Hint1	NA	3456	0.3021324872970581	0.35191873	Yes	
row_57	Retsat	NA	3523	0.2999468445777893	0.35415882	Yes	
row_58	Tnfsf9	NA	3555	0.2986315190792084	0.35764953	Yes	
row_59	Ctsf	NA	3560	0.29846498370170593	0.36211815	Yes	
row_60	Klf4	NA	3605	0.2966681122779846	0.36510646	Yes	
row_61	Prmt2	NA	3932	0.2845819294452667	0.35766754	No	
row_62	Serpinb5	NA	3975	0.2829369008541107	0.36051622	No	
row_63	Ddit3	NA	4250	0.2742248475551605	0.35480547	No	
row_64	Slc19a2	NA	4403	0.2691189646720886	0.35344607	No	
row_65	Bax	NA	4725	0.25479409098625183	0.34572822	No	
row_66	Tm4sf1	NA	4818	0.2505520284175873	0.34626058	No	
row_67	Stom	NA	4856	0.2488834261894226	0.3487644	No	
row_68	Abhd4	NA	4960	0.2445138543844223	0.34880397	No	
row_69	S100a10	NA	5147	0.23716244101524353	0.34571588	No	
row_70	Foxo3	NA	5284	0.23135697841644287	0.34435374	No	
row_71	Rhbdf2	NA	5346	0.22893190383911133	0.34567758	No	
row_72	Mapkapk3	NA	5912	0.20971563458442688	0.3284024	No	
row_73	Rxra	NA	6228	0.19993163645267487	0.32005435	No	
row_74	Tcn2	NA	6270	0.19844622910022736	0.32163322	No	
row_75	Prkab1	NA	6286	0.19803740084171295	0.3241499	No	
row_76	Fuca1	NA	6419	0.1933927685022354	0.32234612	No	
row_77	Slc35d1	NA	6447	0.1923767775297165	0.32433954	No	
row_78	Pitpnc1	NA	6486	0.1909153312444687	0.32591093	No	
row_79	Pidd1	NA	6514	0.1898161768913269	0.3278648	No	
row_80	Blcap	NA	6581	0.18720054626464844	0.32836196	No	
row_81	Csrnp2	NA	6701	0.18348605930805206	0.32687712	No	
row_82	Rap2b	NA	6835	0.18154670298099518	0.3248539	No	
row_83	Fam162a	NA	7169	0.1749774068593979	0.31546643	No	
row_84	Aen	NA	7289	0.17409668862819672	0.31383646	No	
row_85	Ier5	NA	7676	0.16701126098632812	0.3024012	No	
row_86	Trafd1	NA	7687	0.1666909158229828	0.3046149	No	
row_87	Zmat3	NA	7961	0.16408905386924744	0.29723793	No	
