NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ephx2	NA	61	1.2137548923492432	0.036187537	Yes	
row_1	Abcb4	NA	66	1.202319622039795	0.074076094	Yes	
row_2	Alb	NA	68	1.1958770751953125	0.11186941	Yes	
row_3	Aldh1a1	NA	149	0.9927573800086975	0.14037849	Yes	
row_4	Cacna1b	NA	284	0.8085210919380188	0.16110538	Yes	
row_5	Abcd1	NA	440	0.7066174149513245	0.17784877	Yes	
row_6	Abcb9	NA	532	0.6545437574386597	0.19526097	Yes	
row_7	Acsl4	NA	538	0.652182400226593	0.21571068	Yes	
row_8	Sod1	NA	747	0.5820501446723938	0.22659561	Yes	
row_9	Acsl1	NA	926	0.5384770631790161	0.23718783	Yes	
row_10	Pex11a	NA	956	0.5315621495246887	0.2529534	Yes	
row_11	Hsd17b11	NA	1128	0.5011736750602722	0.26261893	Yes	
row_12	Abcb1a	NA	1444	0.45377662777900696	0.26557395	Yes	
row_13	Slc25a17	NA	1628	0.4331742823123932	0.27265415	Yes	
row_14	Abcc5	NA	1629	0.4330670237541199	0.28635347	Yes	
row_15	Pex5	NA	1699	0.42513883113861084	0.297305	Yes	
row_16	Cln6	NA	1714	0.4236438274383545	0.3101996	Yes	
row_17	Eci2	NA	1746	0.4208793044090271	0.32239154	Yes	
row_18	Prdx5	NA	1776	0.4187251329421997	0.33458772	Yes	
row_19	Nudt19	NA	1869	0.4088631868362427	0.34419206	Yes	
row_20	Dlg4	NA	2020	0.393724262714386	0.35121855	Yes	
row_21	Ech1	NA	2209	0.38253161311149597	0.35651582	Yes	
row_22	Cat	NA	2475	0.36394697427749634	0.35843867	Yes	
row_23	Ttr	NA	2515	0.3614136576652527	0.36846	Yes	
row_24	Fabp6	NA	2540	0.36014288663864136	0.37898397	Yes	
row_25	Tspo	NA	2571	0.357995867729187	0.38922292	Yes	
row_26	Mvp	NA	2656	0.3517991900444031	0.39731163	Yes	
row_27	Dio1	NA	2790	0.34313738346099854	0.4033531	Yes	
row_28	Abcc8	NA	2805	0.34220951795578003	0.41367167	Yes	
row_29	Acot8	NA	3205	0.31467339396476746	0.40918654	Yes	
row_30	Slc25a19	NA	3400	0.3052257299423218	0.41182125	Yes	
row_31	Retsat	NA	3523	0.2999468445777893	0.41689456	Yes	
row_32	Acox1	NA	3982	0.2827621102333069	0.40926483	Yes	
row_33	Mlycd	NA	4014	0.2815544307231903	0.4170495	Yes	
row_34	Pex13	NA	4038	0.2808600664138794	0.42510167	Yes	
row_35	Acaa1a	NA	4699	0.25555336475372314	0.4093012	No	
row_36	Pex2	NA	5040	0.2409515678882599	0.40461913	No	
row_37	Gstk1	NA	5689	0.21687470376491547	0.38802937	No	
row_38	Crat	NA	5880	0.2106950432062149	0.38781852	No	
row_39	Ide	NA	6366	0.19515575468540192	0.37644044	No	
row_40	Dhrs3	NA	6688	0.1840144842863083	0.37064487	No	
