NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Igf2r	NA	26	1.4720227718353271	0.0680976	Yes	
row_1	Gla	NA	553	0.6453354358673096	0.0793316	Yes	
row_2	Sod1	NA	747	0.5820501446723938	0.09964655	Yes	
row_3	Sgms1	NA	967	0.5296626091003418	0.11656375	Yes	
row_4	Dst	NA	1072	0.5103664398193359	0.13673705	Yes	
row_5	Pam	NA	1100	0.5061067342758179	0.15949668	Yes	
row_6	Cltc	NA	1183	0.49150750041007996	0.17958151	Yes	
row_7	Cd63	NA	1212	0.4858129024505615	0.20135316	Yes	
row_8	Egfr	NA	1362	0.46625852584838867	0.21782953	Yes	
row_9	Atp7a	NA	1521	0.4433393180370331	0.23290531	Yes	
row_10	Atp1a1	NA	1686	0.4271596670150757	0.24700518	Yes	
row_11	Tpd52	NA	1860	0.40950366854667664	0.25995132	Yes	
row_12	Arfgef2	NA	1872	0.40850192308425903	0.27871218	Yes	
row_13	Krt18	NA	1967	0.39935755729675293	0.29404095	Yes	
row_14	Scamp3	NA	2518	0.3612341284751892	0.29108208	Yes	
row_15	Ocrl	NA	2617	0.3546404242515564	0.30416888	Yes	
row_16	Vps45	NA	2660	0.35159027576446533	0.31913888	Yes	
row_17	Ergic3	NA	2726	0.34715139865875244	0.3330685	Yes	
row_18	Atp6v1h	NA	2795	0.34277936816215515	0.3466845	Yes	
row_19	Ica1	NA	3156	0.3179103434085846	0.34856856	Yes	
row_20	Scamp1	NA	3529	0.29968738555908203	0.3491638	Yes	
row_21	Arfgap3	NA	3701	0.29344642162323	0.35673916	Yes	
row_22	Vamp4	NA	3795	0.2894052565097809	0.36694732	Yes	
row_23	Ap3b1	NA	3806	0.28885534405708313	0.3801329	Yes	
row_24	Rab9	NA	5076	0.23958896100521088	0.345453	No	
row_25	Tspan8	NA	5177	0.23607845604419708	0.35290682	No	
row_26	Scrn1	NA	5355	0.22852173447608948	0.3572201	No	
row_27	Ap2m1	NA	5356	0.2281390130519867	0.36791992	No	
row_28	Arfgef1	NA	6400	0.19391502439975739	0.33927533	No	
row_29	Golga4	NA	6552	0.18827974796295166	0.34264204	No	
row_30	Mon2	NA	7172	0.17481489479541779	0.3284434	No	
row_31	Lamp2	NA	7324	0.17315296828746796	0.33110064	No	
row_32	Ctsc	NA	8511	0.15957753360271454	0.2956714	No	
row_33	Stx7	NA	8756	0.15196195244789124	0.29396972	No	
row_34	Rab14	NA	9055	0.14282377064228058	0.28988555	No	
row_35	Kif1b	NA	9082	0.1416742503643036	0.29558936	No	
