NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Eng	NA	413	0.7235010862350464	0.03064425	No	
row_1	Cdkn1c	NA	576	0.6347806453704834	0.06476975	No	
row_2	Sptbn1	NA	931	0.5377495288848877	0.08584703	No	
row_3	Ifngr2	NA	1054	0.5142395496368408	0.113826044	No	
row_4	Id1	NA	2705	0.34842097759246826	0.07615345	No	
row_5	Bcar3	NA	4394	0.26958927512168884	0.032143015	No	
row_6	Ctnnb1	NA	4615	0.2597396969795227	0.040552687	No	
row_7	Fkbp1a	NA	6495	0.19053062796592712	-0.015337926	No	
row_8	Tjp1	NA	8518	0.15948110818862915	-0.0783508	No	
row_9	Wwtr1	NA	10340	0.10562816262245178	-0.137493	No	
row_10	Ncor2	NA	10606	0.09839906543493271	-0.14087053	No	
row_11	Klf10	NA	10681	0.09656944870948792	-0.13746224	No	
row_12	Arid4b	NA	11241	0.08067004382610321	-0.15257889	No	
row_13	Trim33	NA	11356	0.07721628993749619	-0.15183471	No	
row_14	Ppp1r15a	NA	11716	0.067512646317482	-0.1605538	No	
row_15	Bmpr2	NA	12472	0.04475726559758186	-0.18501395	No	
row_16	Apc	NA	12802	0.03574463725090027	-0.19464986	No	
row_17	Ppp1ca	NA	13063	0.029223058372735977	-0.20220347	No	
row_18	Xiap	NA	13274	0.024193843826651573	-0.20826726	No	
row_19	Smad3	NA	14271	0.0010758464923128486	-0.24418606	No	
row_20	Serpine1	NA	15113	-0.016903230920433998	-0.2735077	No	
row_21	Furin	NA	16247	-0.049477897584438324	-0.3113281	No	
row_22	Tgif1	NA	16717	-0.06396134942770004	-0.32424527	No	
row_23	Cdk9	NA	17050	-0.07450113445520401	-0.3315487	No	
row_24	Hipk2	NA	17108	-0.07605598866939545	-0.3288181	No	
row_25	Smurf2	NA	17241	-0.07966893911361694	-0.32856983	No	
row_26	Id2	NA	18247	-0.10929103940725327	-0.3579984	No	
row_27	Tgfbr1	NA	19127	-0.13704249262809753	-0.3811266	No	
row_28	Slc20a1	NA	19204	-0.13986197113990784	-0.37506402	No	
row_29	Rhoa	NA	19467	-0.14944954216480255	-0.375118	No	
row_30	Fnta	NA	19549	-0.15179939568042755	-0.3684842	No	
row_31	Ppm1a	NA	20839	-0.17411936819553375	-0.40409106	No	
row_32	Thbs1	NA	20947	-0.17478489875793457	-0.39694908	No	
row_33	Smad1	NA	21206	-0.17831310629844666	-0.39504066	No	
row_34	Ube2d3	NA	21299	-0.1785755455493927	-0.38711795	No	
row_35	Smad6	NA	21807	-0.19608619809150696	-0.39308682	No	
row_36	Id3	NA	22542	-0.22397342324256897	-0.40550113	No	
row_37	Smurf1	NA	22992	-0.24539542198181152	-0.40626886	No	
row_38	Skil	NA	23873	-0.2873663306236267	-0.41996577	No	
row_39	Acvr1	NA	24394	-0.31724023818969727	-0.41877404	No	
row_40	Rab31	NA	25548	-0.42332926392555237	-0.43377173	Yes	
row_41	Hdac1	NA	25731	-0.44593721628189087	-0.4122623	Yes	
row_42	Pmepa1	NA	25823	-0.4603561460971832	-0.3865568	Yes	
row_43	Nog	NA	25836	-0.4627752900123596	-0.3578446	Yes	
row_44	Cdh1	NA	25920	-0.4747594892978668	-0.33094293	Yes	
row_45	Map3k7	NA	26007	-0.4844534993171692	-0.30353913	Yes	
row_46	Junb	NA	26305	-0.5383371710777283	-0.28036538	Yes	
row_47	Smad7	NA	26380	-0.5552964806556702	-0.24806628	Yes	
row_48	Ski	NA	26619	-0.6263494491577148	-0.21721774	Yes	
row_49	Bmpr1a	NA	26898	-0.7411968111991882	-0.18058132	Yes	
row_50	Tgfb1	NA	27218	-1.0401355028152466	-0.12659898	Yes	
row_51	Bmp2	NA	27225	-1.050852656364441	-0.060632646	Yes	
row_52	Ltbp2	NA	27352	-1.251291275024414	0.013621662	Yes	
