NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Igfbp2	NA	1	2.4043259620666504	0.051624164	No	
row_1	Ephx1	NA	290	0.8061034679412842	0.05850136	No	
row_2	Cdkn2b	NA	302	0.7995283603668213	0.075281516	No	
row_3	Car2	NA	321	0.7819241285324097	0.0914296	No	
row_4	Creg1	NA	506	0.6671961545944214	0.09909329	No	
row_5	Tap1	NA	548	0.6474789381027222	0.111518614	No	
row_6	Cdkn1c	NA	576	0.6347806453704834	0.12417876	No	
row_7	Ctsl	NA	828	0.5624463558197021	0.12716228	No	
row_8	Cnp	NA	879	0.550969660282135	0.13718762	No	
row_9	Btg1	NA	925	0.5386162400245667	0.14712884	No	
row_10	Tmbim6	NA	1111	0.5039704442024231	0.15124913	No	
row_11	Msx1	NA	1236	0.4823898673057556	0.15711764	No	
row_12	Sqstm1	NA	1335	0.47012314200401306	0.16366535	No	
row_13	Abcb1a	NA	1444	0.45377662777900696	0.16949923	No	
row_14	Btg2	NA	1457	0.45154961943626404	0.1787663	No	
row_15	Atp6v1c1	NA	1460	0.4514041543006897	0.18839285	No	
row_16	Atp6v1f	NA	1593	0.4369911849498749	0.19299582	No	
row_17	Tst	NA	1620	0.43398648500442505	0.20137787	No	
row_18	Arrb2	NA	1950	0.40041491389274597	0.19805156	No	
row_19	Dlg4	NA	2020	0.393724262714386	0.20400931	No	
row_20	Hmox1	NA	2185	0.3841279149055481	0.20631608	No	
row_21	Dgat1	NA	2598	0.3564700186252594	0.19903591	No	
row_22	Cltb	NA	2629	0.35371845960617065	0.20554824	No	
row_23	Alas1	NA	2827	0.3407648205757141	0.2057267	No	
row_24	Grina	NA	2890	0.3367187976837158	0.21071342	No	
row_25	Chka	NA	3106	0.32152053713798523	0.20982568	No	
row_26	Bsg	NA	3193	0.3155110478401184	0.21348646	No	
row_27	Cyp1a1	NA	3250	0.31264573335647583	0.2181735	No	
row_28	Maoa	NA	3729	0.29202529788017273	0.20711544	No	
row_29	Slc6a8	NA	4276	0.27325162291526794	0.19318825	No	
row_30	Acaa1a	NA	4699	0.25555336475372314	0.18337713	No	
row_31	Polg2	NA	4748	0.25378182530403137	0.18708949	No	
row_32	Kcnh2	NA	5213	0.23448166251182556	0.17530267	No	
row_33	Spr	NA	5257	0.23249158263206482	0.17873886	No	
row_34	Gpx3	NA	5426	0.22495605051517487	0.17748056	No	
row_35	Sult1a1	NA	5724	0.21523599326610565	0.17133577	No	
row_36	Grpel1	NA	6021	0.2067035734653473	0.1650439	No	
row_37	Ago2	NA	6421	0.19326451420783997	0.15472841	No	
row_38	Tars	NA	7462	0.17124013602733612	0.12069654	No	
row_39	Fgf18	NA	8508	0.15973566472530365	0.08623617	No	
row_40	Cdc34	NA	8964	0.1455642133951187	0.072865166	No	
row_41	Fosb	NA	9003	0.14420843124389648	0.07458579	No	
row_42	Eif2s3x	NA	9246	0.1358794867992401	0.06873024	No	
row_43	Tuba4a	NA	9309	0.13419091701507568	0.06936536	No	
row_44	Mgat1	NA	9372	0.13210812211036682	0.06995573	No	
row_45	Tgfbrap1	NA	10057	0.11270742863416672	0.04757503	No	
row_46	Rfc4	NA	10268	0.10729769617319107	0.042265713	No	
row_47	Bcl2l11	NA	10368	0.10505027323961258	0.04093305	No	
row_48	Psmc3	NA	10765	0.09407714754343033	0.028595164	No	
row_49	Aldoa	NA	11475	0.07383286952972412	0.0044726725	No	
row_50	Hspa13	NA	11503	0.07303043454885483	0.005062796	No	
row_51	Cyb5r1	NA	11783	0.06536814570426941	-0.003649434	No	
row_52	Irf1	NA	12835	0.03487319499254227	-0.04101022	No	
row_53	Hspa2	NA	12929	0.03235718980431557	-0.04368723	No	
row_54	Urod	NA	13126	0.027893297374248505	-0.050195016	No	
row_55	Fen1	NA	13132	0.027732299640774727	-0.049780454	No	
row_56	Apom	NA	13269	0.024315642192959785	-0.054189462	No	
row_57	Hyal2	NA	13733	0.013116085901856422	-0.07069639	No	
row_58	Nupl1	NA	13789	0.011660915799438953	-0.07244018	No	
row_59	Onecut1	NA	13934	0.00897818524390459	-0.07746883	No	
row_60	Mark2	NA	13964	0.008390823379158974	-0.0783401	No	
row_61	Nat2	NA	14002	0.007238056510686874	-0.07952622	No	
row_62	Cdk2	NA	14050	0.0062652816995978355	-0.08109587	No	
row_63	Ccne1	NA	14055	0.006169826257973909	-0.08110834	No	
row_64	Rpn1	NA	14093	0.004991267342120409	-0.082342744	No	
row_65	Stard3	NA	14159	0.0033976358827203512	-0.08462669	No	
row_66	Gch1	NA	14174	0.003099616151303053	-0.08506774	No	
row_67	Prpf3	NA	14215	0.002279362641274929	-0.0864692	No	
row_68	Nxf1	NA	14783	-0.00955863669514656	-0.10682368	No	
row_69	Mrpl23	NA	14871	-0.01142322737723589	-0.109732926	No	
row_70	Stip1	NA	14879	-0.011756066232919693	-0.109734155	No	
row_71	Fos	NA	15344	-0.02236161381006241	-0.1260787	No	
row_72	Ppt1	NA	15625	-0.03002074733376503	-0.13558668	No	
row_73	Ykt6	NA	15813	-0.03490493819117546	-0.14161746	No	
row_74	Bid	NA	16087	-0.04385186731815338	-0.15057443	No	
row_75	Stk25	NA	16161	-0.046359188854694366	-0.15222538	No	
row_76	Furin	NA	16247	-0.049477897584438324	-0.15424444	No	
row_77	E2f5	NA	16307	-0.051759105175733566	-0.15527171	No	
row_78	Tacr3	NA	16325	-0.05243898928165436	-0.1547614	No	
