NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Xdh	NA	22	1.5179076194763184	0.01929979	Yes	
row_1	Fetub	NA	24	1.4825828075408936	0.038894236	Yes	
row_2	Fas	NA	41	1.2942394018173218	0.05545028	Yes	
row_3	Abcc3	NA	46	1.2738118171691895	0.072171494	Yes	
row_4	Entpd5	NA	52	1.2422528266906738	0.08843854	Yes	
row_5	Kynu	NA	55	1.2293871641159058	0.104644135	Yes	
row_6	Hgfac	NA	118	1.0412338972091675	0.11618017	Yes	
row_7	Cyp2s1	NA	134	1.0199826955795288	0.1291411	Yes	
row_8	Rbp4	NA	188	0.9298370480537415	0.13952887	Yes	
row_9	Gclc	NA	197	0.916184663772583	0.15136956	Yes	
row_10	Pcx	NA	227	0.8755039572715759	0.16190921	Yes	
row_11	Dcxr	NA	277	0.8164421319961548	0.17094074	Yes	
row_12	Ephx1	NA	290	0.8061034679412842	0.18117863	Yes	
row_13	Car2	NA	321	0.7819241285324097	0.19044289	Yes	
row_14	Cyb5a	NA	342	0.7668136954307556	0.19987012	Yes	
row_15	Ets2	NA	362	0.7535856366157532	0.20915851	Yes	
row_16	Gsto1	NA	423	0.714960515499115	0.21644698	Yes	
row_17	F11	NA	478	0.6782787442207336	0.22346759	Yes	
row_18	Cbr1	NA	558	0.641859233379364	0.22909835	Yes	
row_19	Gabarapl1	NA	565	0.639748752117157	0.23735139	Yes	
row_20	Cfb	NA	567	0.6392928957939148	0.2457799	Yes	
row_21	Por	NA	569	0.6389021873474121	0.25420326	Yes	
row_22	Upb1	NA	581	0.633583664894104	0.2621931	Yes	
row_23	Enpep	NA	620	0.6198008060455322	0.2690203	Yes	
row_24	Gss	NA	626	0.6166893839836121	0.2770043	Yes	
row_25	Crot	NA	635	0.6148678660392761	0.28485528	Yes	
row_26	Acp1	NA	642	0.612854540348053	0.2927522	Yes	
row_27	Abcc2	NA	643	0.6127081513404846	0.30086502	Yes	
row_28	Ddt	NA	670	0.6022265553474426	0.30789515	Yes	
row_29	Ddc	NA	731	0.5862677097320557	0.3134796	Yes	
row_30	Ces1d	NA	793	0.5707036256790161	0.3188217	Yes	
row_31	Bphl	NA	865	0.5538334846496582	0.32357734	Yes	
row_32	Pgrmc1	NA	878	0.5510322451591492	0.33043787	Yes	
row_33	Igfbp4	NA	915	0.5404919981956482	0.33628753	Yes	
row_34	Acox2	NA	955	0.5317757725715637	0.34191287	Yes	
row_35	Aqp9	NA	981	0.527852475643158	0.3479945	Yes	
row_36	Tmbim6	NA	1111	0.5039704442024231	0.3499843	Yes	
row_37	Fbln1	NA	1114	0.5037409663200378	0.35658166	Yes	
row_38	Pmm1	NA	1204	0.48717358708381653	0.3598012	Yes	
row_39	Hprt	NA	1219	0.48432397842407227	0.36570585	Yes	
row_40	Acsm1	NA	1282	0.4770154654979706	0.3697711	Yes	
row_41	Aldh3a1	NA	1386	0.4630098342895508	0.37216243	Yes	
row_42	Cndp2	NA	1438	0.45504826307296753	0.3763362	Yes	
row_43	Mccc2	NA	1451	0.4526327848434448	0.3818938	Yes	
row_44	Smox	NA	1478	0.44900092482566833	0.3868951	Yes	
row_45	Aox1	NA	1523	0.4430540204048157	0.39116412	Yes	
row_46	Tmem176b	NA	1535	0.4420054256916046	0.39661735	Yes	
row_47	Lpin2	NA	1719	0.42332208156585693	0.39557883	Yes	
row_48	Ninj1	NA	1832	0.41317984461784363	0.39698365	Yes	
row_49	Ugdh	NA	2038	0.39243149757385254	0.39473742	Yes	
row_50	Gcnt2	NA	2059	0.39082255959510803	0.3991862	Yes	
row_51	Gad1	NA	2164	0.38502392172813416	0.4005086	Yes	
row_52	Hmox1	NA	2185	0.3841279149055481	0.40486872	Yes	
row_53	Ech1	NA	2209	0.38253161311149597	0.4090988	Yes	
row_54	Aldh2	NA	2214	0.382127970457077	0.41401333	Yes	
row_55	Nfs1	NA	2352	0.3735385835170746	0.41398564	Yes	
row_56	Tnfrsf1a	NA	2382	0.3712432086467743	0.4178484	Yes	
row_57	Comt	NA	2458	0.36607465147972107	0.41997275	Yes	
row_58	Cat	NA	2475	0.36394697427749634	0.42421088	Yes	
row_59	Aco2	NA	2824	0.34096774458885193	0.4160917	Yes	
row_60	Alas1	NA	2827	0.3407648205757141	0.42053115	Yes	
row_61	Casp6	NA	2854	0.3392504155635834	0.42407924	Yes	
row_62	Cda	NA	2909	0.33552199602127075	0.42656142	Yes	
row_63	Hsd17b2	NA	3028	0.3261728584766388	0.42659634	Yes	
row_64	Blvrb	NA	3085	0.32270437479019165	0.4288362	Yes	
row_65	Slc46a3	NA	3115	0.32084906101226807	0.43203172	Yes	
row_66	Adh5	NA	3119	0.32064786553382874	0.43616846	Yes	
row_67	Cyp1a1	NA	3250	0.31264573335647583	0.43558863	Yes	
row_68	Hsd11b1	NA	3252	0.31251487135887146	0.43969032	Yes	
row_69	Pts	NA	3324	0.3088269829750061	0.44120187	Yes	
row_70	Hes6	NA	3398	0.3054109215736389	0.44259557	Yes	
row_71	Retsat	NA	3523	0.2999468445777893	0.44206542	Yes	
row_72	Csad	NA	3662	0.2946314215660095	0.44095662	Yes	
row_73	Maoa	NA	3729	0.29202529788017273	0.44242725	Yes	
row_74	Spint2	NA	3835	0.28788480162620544	0.44242716	Yes	
row_75	Hnf4a	NA	3926	0.2847287654876709	0.44292983	Yes	
row_76	Acox1	NA	3982	0.2827621102333069	0.44467714	Yes	
row_77	Acox3	NA	4103	0.27905169129371643	0.44401553	Yes	
row_78	Slc22a1	NA	4132	0.2780293822288513	0.44668037	Yes	
row_79	Angptl3	NA	4336	0.2715018093585968	0.44290555	No	
row_80	Gsr	NA	4466	0.26648083329200745	0.44175074	No	
row_81	Mpp2	NA	4499	0.265014111995697	0.44409803	No	
row_82	Ap4b1	NA	4529	0.2635859251022339	0.44653532	No	
row_83	Man1a	NA	4624	0.2592625021934509	0.4465556	No	
row_84	Npc1	NA	4798	0.2513783574104309	0.44360346	No	
row_85	Gstm4	NA	4878	0.24793238937854767	0.44401827	No	
row_86	Adh7	NA	4934	0.24568171799182892	0.4452746	No	
row_87	Ptges	NA	5347	0.22888772189617157	0.43334794	No	
row_88	Nmt1	NA	5735	0.21493612229824066	0.42214414	No	
row_89	Cyp27a1	NA	6062	0.2056906670331955	0.4130325	No	
row_90	Vnn1	NA	6166	0.20214299857616425	0.41196972	No	
row_91	Gckr	NA	6435	0.19275370240211487	0.40479243	No	
row_92	Slc35d1	NA	6447	0.1923767775297165	0.4069403	No	
row_93	Acp2	NA	6497	0.19040672481060028	0.40768257	No	
row_94	Pgd	NA	6601	0.18658547103405	0.4064138	No	
row_95	Idh1	NA	7654	0.1675976663827896	0.3704409	No	
row_96	Hrg	NA	7842	0.16478919982910156	0.36583397	No	
row_97	Gstt2	NA	7944	0.16461092233657837	0.36434683	No	
row_98	Cyp2e1	NA	7964	0.16405074298381805	0.36582923	No	
row_99	Arg1	NA	8645	0.1551159769296646	0.34319624	No	
row_100	Tkfc	NA	8762	0.1517573744058609	0.34099436	No	
row_101	Cd36	NA	8783	0.1512271761894226	0.34227064	No	
row_102	Etfdh	NA	9221	0.13667085766792297	0.32821536	No	
row_103	Papss2	NA	9260	0.13552503287792206	0.32863027	No	
row_104	Rap1gap	NA	9433	0.13052137196063995	0.32411414	No	
row_105	Pink1	NA	9455	0.1296791136264801	0.32506883	No	
row_106	Slc35b1	NA	9528	0.12713533639907837	0.3241383	No	
row_107	Aldh9a1	NA	10594	0.09863674640655518	0.28678036	No	
row_108	Tgfb2	NA	10969	0.08807729184627533	0.2743688	No	
row_109	Jup	NA	11015	0.08674484491348267	0.2738837	No	
row_110	Tdo2	NA	11058	0.08560635894536972	0.27349243	No	
row_111	Atp2a2	NA	11299	0.07891681790351868	0.26582432	No	
row_112	Sar1b	NA	11439	0.07498142868280411	0.26177087	No	
row_113	Atoh8	NA	11903	0.061739418655633926	0.24577948	No	
row_114	Dhrs7	NA	11942	0.06076302006840706	0.2452045	No	
row_115	Cyp2j6	NA	12120	0.054877929389476776	0.23950528	No	
row_116	Tmem97	NA	12308	0.0492551252245903	0.23336856	No	
row_117	Fah	NA	12376	0.046830255538225174	0.23155625	No	
row_118	Hacl1	NA	13252	0.024828564375638962	0.20011881	No	
row_119	Lonp1	NA	13342	0.02234339714050293	0.19718358	No	
row_120	Ptgds	NA	13425	0.020586492493748665	0.19447921	No	
row_121	Ccl25	NA	13537	0.017493434250354767	0.19068107	No	
row_122	Pdlim5	NA	13971	0.008096770383417606	0.17506856	No	
row_123	Cyp1a2	NA	14164	0.0031539141200482845	0.1681399	No	
row_124	Gch1	NA	14174	0.003099616151303053	0.1678542	No	
row_125	Tat	NA	14289	6.869183853268623E-4	0.16372462	No	
row_126	Mthfd1	NA	14450	-0.0026300849858671427	0.15795076	No	
row_127	Mbl2	NA	14900	-0.012319263070821762	0.14181328	No	
row_128	Serpine1	NA	15113	-0.016903230920433998	0.1343406	No	
row_129	Gart	NA	15329	-0.021960116922855377	0.12682596	No	
row_130	Pemt	NA	15401	-0.023984314873814583	0.12456594	No	
row_131	Arg2	NA	15938	-0.038934126496315	0.105622396	No	
row_132	Leap2	NA	16075	-0.04334398731589317	0.10125893	No	
row_133	Ssr3	NA	16315	-0.052067503333091736	0.09327164	No	
