NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	194	0.4693793	1.9666339	0.0	0.012434866	0.021	6244	tags=44%, list=23%, signal=57%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	97	0.42510167	1.9408317	0.0038535646	0.00767103	0.024	4038	tags=36%, list=15%, signal=42%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	93	0.3801329	1.877615	0.030487806	0.009076528	0.038	3806	tags=26%, list=14%, signal=30%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	149	0.40936783	1.86664	0.0	0.007486636	0.041	5488	tags=43%, list=20%, signal=53%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	193	0.3522157	1.8203418	0.0	0.009525391	0.059	6297	tags=44%, list=23%, signal=57%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	185	0.44668037	1.7965113	0.0038314175	0.009966647	0.069	4132	tags=43%, list=15%, signal=50%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	192	0.36510646	1.655804	0.018	0.034577165	0.209	3605	tags=32%, list=13%, signal=36%	
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	Details ...	45	0.40304956	1.640087	0.0075901328	0.03381257	0.228	4758	tags=51%, list=17%, signal=62%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	174	0.2771858	1.5813869	0.021825397	0.05172753	0.323	3626	tags=25%, list=13%, signal=29%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	105	0.41007665	1.5232474	0.065891474	0.07382127	0.434	4827	tags=45%, list=17%, signal=54%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	125	0.34718707	1.3105767	0.13061224	0.23247622	0.776	4179	tags=37%, list=15%, signal=43%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	29	0.32712886	1.2157547	0.18221258	0.31774172	0.883	3112	tags=31%, list=11%, signal=35%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	157	0.25601888	1.1789577	0.26977688	0.33872908	0.921	3222	tags=22%, list=12%, signal=24%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	143	0.2973264	1.0580755	0.4627451	0.48616707	0.982	5338	tags=29%, list=19%, signal=35%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	80	0.27669704	1.0080112	0.43505156	0.5238018	0.989	3938	tags=26%, list=14%, signal=31%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	100	0.22392431	0.98179805	0.48514852	0.52319777	0.991	3600	tags=20%, list=13%, signal=23%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	92	0.23197606	0.66935694	0.7330595	0.8552724	1.0	2157	tags=16%, list=8%, signal=18%	
