NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mertk	NA	470	0.4156811535358429	0.018687727	No	
row_1	Azgp1	NA	833	0.35984349250793457	0.036488503	No	
row_2	Ngly1	NA	1592	0.28288742899894714	0.033353195	No	
row_3	Lifr	NA	1759	0.277288019657135	0.051156864	No	
row_4	Homer2	NA	2264	0.24438346922397614	0.05390558	No	
row_5	Abcc4	NA	2547	0.22758452594280243	0.06324424	No	
row_6	Sord	NA	2703	0.21837325394153595	0.07638708	No	
row_7	Arid5b	NA	3975	0.17437279224395752	0.045372542	No	
row_8	Elk4	NA	5991	0.13822361826896667	-0.015665475	No	
row_9	Arxes2	NA	6031	0.13717392086982727	-0.0052978615	No	
row_10	Abhd2	NA	6367	0.1288750171661377	-0.0063527417	No	
row_11	Xrcc5	NA	6612	0.12171986699104309	-0.004729445	No	
row_12	Itgav	NA	6879	0.11505769193172455	-0.004474215	No	
row_13	Xrcc6	NA	7083	0.11037315428256989	-0.0023417617	No	
row_14	Cdk6	NA	7191	0.10752981156110764	0.0030200204	No	
row_15	Iqgap2	NA	7222	0.10675745457410812	0.011101502	No	
row_16	Ccnd1	NA	7371	0.10373568534851074	0.01465403	No	
row_17	Gsr	NA	7742	0.09614916890859604	0.009522706	No	
row_18	Steap4	NA	8051	0.09077014774084091	0.0061727907	No	
row_19	Pgm3	NA	8632	0.0804617777466774	-0.007903796	No	
row_20	Slc26a2	NA	8908	0.07490503042936325	-0.011421993	No	
row_21	B4galt1	NA	9282	0.06850212067365646	-0.019035833	No	
row_22	Ube2i	NA	9796	0.059661801904439926	-0.032474253	No	
row_23	Pa2g4	NA	10057	0.05521794408559799	-0.03714019	No	
row_24	Cdc14b	NA	10256	0.0522301085293293	-0.039819397	No	
row_25	Tmprss2	NA	10284	0.05171731486916542	-0.0363555	No	
row_26	Rrp12	NA	10981	0.04057551547884941	-0.05805412	No	
row_27	B2m	NA	11507	0.03306837007403374	-0.07421023	No	
row_28	Aldh1a3	NA	11874	0.028120441362261772	-0.085038245	No	
row_29	Gpd1l	NA	12287	0.022816158831119537	-0.0979861	No	
row_30	Stk39	NA	13481	0.008659251034259796	-0.14040776	No	
row_31	Fkbp5	NA	13820	0.004643256310373545	-0.15223859	No	
row_32	Tmem50a	NA	14334	-0.0010308637283742428	-0.17071149	No	
row_33	Cenpn	NA	14788	-0.005979358218610287	-0.18658853	No	
row_34	Sgk1	NA	15128	-0.01021215133368969	-0.19797736	No	
row_35	Camkk2	NA	15773	-0.017677418887615204	-0.2197607	No	
row_36	Rps6ka3	NA	15782	-0.017734432592988014	-0.21852736	No	
row_37	Map7	NA	15813	-0.018136046826839447	-0.21805553	No	
row_38	Pdlim5	NA	15916	-0.01940755918622017	-0.22007963	No	
row_39	H1f0	NA	16448	-0.026396147906780243	-0.23702575	No	
row_40	Rab4a	NA	16489	-0.027079397812485695	-0.2361478	No	
row_41	Appbp2	NA	16771	-0.03077048808336258	-0.2436728	No	
row_42	Inpp4b	NA	17271	-0.037989821285009384	-0.2584656	No	
row_43	Bmpr1b	NA	17406	-0.04010400176048279	-0.25987038	No	
row_44	Pias1	NA	17630	-0.04395337775349617	-0.26416484	No	
row_45	Tsc22d1	NA	17878	-0.04761327803134918	-0.26901338	No	
row_46	Akt1	NA	17880	-0.047650761902332306	-0.26495793	No	
row_47	Ell2	NA	18087	-0.0513397715985775	-0.26800305	No	
row_48	Lman1	NA	18131	-0.05215584859251976	-0.26508042	No	
row_49	Gnai3	NA	18166	-0.05282478407025337	-0.2617747	No	
row_50	Tpd52	NA	18587	-0.059575896710157394	-0.27185556	No	
row_51	Ube2j1	NA	18597	-0.05972053110599518	-0.2670532	No	
row_52	Srp19	NA	18901	-0.06506459414958954	-0.27242944	No	
row_53	Vapa	NA	19049	-0.06753834336996078	-0.2719489	No	
row_54	Ank	NA	19442	-0.0742654874920845	-0.2797553	No	
row_55	Uap1	NA	19476	-0.07479001581668854	-0.2745273	No	
row_56	Ptk2b	NA	19647	-0.07799334079027176	-0.2739812	No	
row_57	Dbi	NA	20150	-0.08889361470937729	-0.2845116	No	
row_58	Hsd17b14	NA	20456	-0.0953965038061142	-0.2873557	No	
row_59	Adrm1	NA	20892	-0.10513577610254288	-0.2940672	Yes	
row_60	Zmiz1	NA	20897	-0.10521793365478516	-0.28517717	Yes	
row_61	Ccnd3	NA	20909	-0.105521559715271	-0.27651438	Yes	
row_62	Mak	NA	20946	-0.10644438862800598	-0.26867685	Yes	
row_63	Ndrg1	NA	21217	-0.11322946101427078	-0.26872334	Yes	
