NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cx3cl1	NA	42	0.7126217484474182	0.10846465	Yes	
row_1	Cd160	NA	334	0.45967113971710205	0.16889778	Yes	
row_2	Lypd3	NA	1393	0.291828453540802	0.1757266	Yes	
row_3	Akap7	NA	1866	0.272235631942749	0.20069523	Yes	
row_4	Il2rg	NA	2023	0.26022249460220337	0.23522231	Yes	
row_5	Il2rb	NA	2651	0.22113333642482758	0.24670625	Yes	
row_6	Scube1	NA	5452	0.1538362354040146	0.16932517	No	
row_7	Plaur	NA	5694	0.14621421694755554	0.18318713	No	
row_8	Slc34a3	NA	5889	0.1409846991300583	0.19793941	No	
row_9	Srpx	NA	6469	0.12553094327449799	0.19640222	No	
row_10	Shroom2	NA	7234	0.10651956498622894	0.1852496	No	
row_11	Efna5	NA	7949	0.09255673736333847	0.1737478	No	
row_12	Hspb1	NA	8727	0.07866105437278748	0.15782616	No	
row_13	Gas1	NA	8873	0.07570955902338028	0.16427395	No	
row_14	Gstm5	NA	9228	0.06943260878324509	0.16220488	No	
row_15	B4galt1	NA	9282	0.06850212067365646	0.17086294	No	
row_16	Mal	NA	9649	0.062068596482276917	0.16722398	No	
row_17	Lyn	NA	14753	-0.0055161877535283566	-0.016221704	No	
row_18	App	NA	14783	-0.005918495357036591	-0.016355628	No	
row_19	Atp6v0a4	NA	15553	-0.015178809873759747	-0.041785788	No	
row_20	Pkhd1	NA	16441	-0.0263137798756361	-0.06975906	No	
row_21	Crocc	NA	16604	-0.028407175093889236	-0.07122558	No	
row_22	Flot2	NA	17299	-0.038543958216905594	-0.09034106	No	
row_23	Brca1	NA	18203	-0.05340738967061043	-0.11471073	No	
row_24	Ghrl	NA	18483	-0.057984694838523865	-0.11583795	No	
row_25	Tmem8b	NA	19097	-0.06831980496644974	-0.12743266	No	
row_26	Afap1l2	NA	19624	-0.0775914415717125	-0.1344544	No	
row_27	Sulf2	NA	19633	-0.07775522768497467	-0.12274308	No	
row_28	Ncoa6	NA	19698	-0.07899215817451477	-0.11286332	No	
row_29	Atp8b1	NA	20017	-0.08570035547018051	-0.11112157	No	
row_30	Slc2a4	NA	20816	-0.1035846546292305	-0.123955086	No	
row_31	Dcbld2	NA	20923	-0.10589241236448288	-0.11144056	No	
row_32	Adipor2	NA	21881	-0.1307542473077774	-0.12582324	No	
row_33	Adam10	NA	21997	-0.1338958442211151	-0.109311886	No	
row_34	Ephb4	NA	22088	-0.13680611550807953	-0.09144849	No	
row_35	Ntng1	NA	23860	-0.17504209280014038	-0.12839402	No	
row_36	Rhcg	NA	25296	-0.2244464010000229	-0.14558004	No	
row_37	Rtn4rl1	NA	25677	-0.2506408393383026	-0.120621584	No	
row_38	Pcsk9	NA	25692	-0.251830130815506	-0.08226135	No	
row_39	Mdga1	NA	27411	-0.4472445249557495	-0.075282775	No	
row_40	Gata3	NA	27620	-0.5619727969169617	0.003936517	No	
