NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Egr3	NA	29	0.7808739542961121	0.032322187	Yes	
row_1	Bcl2l1	NA	45	0.6952747702598572	0.061493676	Yes	
row_2	Ereg	NA	53	0.6808263659477234	0.09033779	Yes	
row_3	Ier3	NA	248	0.4881857931613922	0.1041666	Yes	
row_4	Cflar	NA	263	0.48219022154808044	0.12426729	Yes	
row_5	Plcb2	NA	328	0.4626140594482422	0.14171794	Yes	
row_6	Plat	NA	412	0.43124160170555115	0.15713868	Yes	
row_7	Bcl2l11	NA	1017	0.3303739130496979	0.14935312	Yes	
row_8	Casp3	NA	1025	0.32945317029953003	0.16317981	Yes	
row_9	Rara	NA	1039	0.3274708092212677	0.17670418	Yes	
row_10	F2	NA	1086	0.32104966044425964	0.18875729	Yes	
row_11	Smad7	NA	1720	0.27918291091918945	0.17773211	Yes	
row_12	Il6	NA	1833	0.2736339867115021	0.18536507	Yes	
row_13	F2r	NA	1957	0.26585009694099426	0.1922664	Yes	
row_14	Il1a	NA	2010	0.2613781988620758	0.2015516	Yes	
row_15	Cd14	NA	2444	0.23321489989757538	0.19581525	Yes	
row_16	Fasl	NA	2716	0.21762718260288239	0.19528802	Yes	
row_17	Cd2	NA	2797	0.21491289138793945	0.20157184	Yes	
row_18	Avpr1a	NA	3033	0.20588791370391846	0.20184849	Yes	
row_19	Rnasel	NA	3254	0.19648857414722443	0.20226744	Yes	
row_20	Ppt1	NA	3301	0.1943729966878891	0.2089065	Yes	
row_21	Retsat	NA	3386	0.19018226861953735	0.21398827	Yes	
row_22	Casp4	NA	3420	0.1885415017604828	0.22084957	Yes	
row_23	Lum	NA	3754	0.17707429826259613	0.21634056	Yes	
row_24	Lef1	NA	3826	0.17694783210754395	0.22132818	Yes	
row_25	Nefh	NA	3857	0.17535138130187988	0.22773455	Yes	
row_26	Casp7	NA	4109	0.17314369976520538	0.22603147	Yes	
row_27	Dcn	NA	4460	0.16950282454490662	0.2205823	Yes	
row_28	Tnf	NA	4463	0.16927757859230042	0.22774456	Yes	
row_29	Cd44	NA	4483	0.16832369565963745	0.2342495	Yes	
row_30	Ifitm3	NA	4678	0.1655833125114441	0.23429054	Yes	
row_31	Emp1	NA	4814	0.16485442221164703	0.2364402	Yes	
row_32	Tgfbr3	NA	5992	0.138209730386734	0.19966048	No	
row_33	Aifm3	NA	6152	0.13425791263580322	0.19963205	No	
row_34	Gpx4	NA	6440	0.12639304995536804	0.19462526	No	
row_35	Mcl1	NA	6572	0.12276652455329895	0.19512117	No	
row_36	Psen2	NA	7153	0.10842759162187576	0.1787202	No	
row_37	Ccnd1	NA	7371	0.10373568534851074	0.17528377	No	
row_38	Irf1	NA	7430	0.10263558477163315	0.17756684	No	
row_39	Ifngr1	NA	7501	0.10107658803462982	0.17934805	No	
row_40	Xiap	NA	7643	0.09800031781196594	0.17842281	No	
row_41	Gsr	NA	7742	0.09614916890859604	0.17897795	No	
row_42	Casp2	NA	7959	0.09244147688150406	0.17509508	No	
row_43	Gpx3	NA	7970	0.09228837490081787	0.17867674	No	
row_44	Cd38	NA	8182	0.08809327334165573	0.17478935	No	
row_45	Diablo	NA	8552	0.08179482817649841	0.16490255	No	
row_46	Casp8	NA	8640	0.0803680568933487	0.16518216	No	
row_47	Hspb1	NA	8727	0.07866105437278748	0.16542508	No	
