NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Nr1h4	NA	219	0.5046501159667969	0.032703683	Yes	
row_1	Abcg8	NA	228	0.4950287640094757	0.07227072	Yes	
row_2	Cyp27a1	NA	340	0.45772048830986023	0.10510542	Yes	
row_3	Bcar3	NA	577	0.39341408014297485	0.1282377	Yes	
row_4	Abca9	NA	1940	0.26737114787101746	0.10046158	Yes	
row_5	Abca8b	NA	2260	0.24456124007701874	0.10860462	Yes	
row_6	Pex11a	NA	2299	0.24238142371177673	0.12674409	Yes	
row_7	Cyp46a1	NA	2359	0.23881660401821136	0.14383638	Yes	
row_8	Retsat	NA	3386	0.19018226861953735	0.1220084	Yes	
row_9	Slc29a1	NA	3569	0.18175895512104034	0.13005427	Yes	
row_10	Hacl1	NA	3660	0.17752349376678467	0.14108942	Yes	
row_11	Bmp6	NA	4083	0.17389705777168274	0.13981451	Yes	
row_12	Nr3c2	NA	4086	0.17380453646183014	0.15373577	Yes	
row_13	Agxt	NA	4326	0.17117442190647125	0.1588661	Yes	
row_14	Cyp39a1	NA	5367	0.15713787078857422	0.1338708	Yes	
row_15	Npc1	NA	5409	0.15540018677711487	0.14489849	Yes	
row_16	Pecr	NA	5599	0.14907033741474152	0.15005907	Yes	
row_17	Hsd17b11	NA	5688	0.14638274908065796	0.15865938	Yes	
row_18	Acsl5	NA	6119	0.13503305613994598	0.15396579	Yes	
row_19	Abca5	NA	6138	0.13468925654888153	0.16415855	Yes	
row_20	Abca3	NA	6511	0.12441442161798477	0.16070956	Yes	
row_21	Dio1	NA	6577	0.1225898489356041	0.1682268	Yes	
row_22	Paox	NA	6885	0.11493073403835297	0.16636717	Yes	
row_23	Pex11g	NA	6981	0.11269255727529526	0.17200156	Yes	
row_24	Phyh	NA	7247	0.106200210750103	0.17095938	Yes	
row_25	Crot	NA	7934	0.09279605001211166	0.15359816	Yes	
row_26	Nudt12	NA	7958	0.0924486294388771	0.16020897	Yes	
row_27	Cat	NA	8014	0.09154599905014038	0.16558874	Yes	
row_28	Abcg4	NA	8433	0.08375401049852371	0.15720087	Yes	
row_29	Nr1i2	NA	8449	0.08343315869569778	0.1633754	Yes	
row_30	Rbp1	NA	8528	0.08218119293451309	0.16716859	Yes	
row_31	Idh2	NA	8555	0.08173930644989014	0.17280854	Yes	
row_32	Ttr	NA	8822	0.07685964554548264	0.16936785	Yes	
row_33	Sod1	NA	8865	0.07580960541963577	0.17395121	Yes	
row_34	Pex1	NA	8867	0.07575517147779465	0.18001434	Yes	
row_35	Sult1b1	NA	9018	0.07289685308933258	0.18045367	Yes	
row_36	Slc22a18	NA	9077	0.07165048271417618	0.18412298	Yes	
row_37	Mlycd	NA	9446	0.06550586223602295	0.17607583	Yes	
row_38	Gnpat	NA	9576	0.06326509267091751	0.17649986	Yes	
row_39	Fdxr	NA	9598	0.06293722987174988	0.180807	Yes	
row_40	Nedd4	NA	9701	0.061472006142139435	0.18206403	Yes	
row_41	Apoa1	NA	9841	0.059003546833992004	0.18178296	Yes	
row_42	Gstk1	NA	9883	0.05832907184958458	0.18499509	Yes	
row_43	Pex12	NA	9996	0.05637800693511963	0.18548	Yes	
row_44	Abca6	NA	10422	0.04895944893360138	0.1740373	No	
row_45	Pxmp2	NA	10778	0.043601807206869125	0.16469716	No	
row_46	Ephx2	NA	11135	0.03821340575814247	0.15488699	No	
row_47	Lonp2	NA	11372	0.034925058484077454	0.14915594	No	
row_48	Slc23a1	NA	11389	0.03452514857053757	0.15135652	No	
row_49	Klf1	NA	11476	0.03343765065073967	0.15093558	No	
row_50	Pipox	NA	11491	0.03320316597819328	0.15310211	No	
row_51	Scp2	NA	11956	0.027217887341976166	0.13849714	No	
row_52	Pex6	NA	12079	0.025554802268743515	0.13613836	No	
row_53	Abcd3	NA	12223	0.023767612874507904	0.13287552	No	
row_54	Tfcp2l1	NA	12835	0.016304288059473038	0.11207059	No	
row_55	Abca2	NA	13117	0.012771762907505035	0.10292695	No	
row_56	Slc23a2	NA	13157	0.012325839139521122	0.102507584	No	
row_57	Abcd1	NA	13813	0.004722859710454941	0.07917743	No	
row_58	Hsd17b4	NA	13837	0.004481199663132429	0.07870565	No	
