NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Errfi1	NA	7	0.9036411643028259	0.052567005	No	
row_1	Jag1	NA	77	0.6376854777336121	0.08734673	No	
row_2	Chka	NA	145	0.5647965669631958	0.11793823	No	
row_3	Adh4	NA	542	0.3982921540737152	0.1269027	No	
row_4	Plscr1	NA	1519	0.2859950065612793	0.108334206	No	
row_5	Pparg	NA	2112	0.25402161478996277	0.101779655	No	
row_6	Alcam	NA	2701	0.21854548156261444	0.09329605	No	
row_7	Lpl	NA	2846	0.2126619964838028	0.100520596	No	
row_8	Avpr1a	NA	3033	0.20588791370391846	0.10583075	No	
row_9	Antxr2	NA	3610	0.1796330064535141	0.09550645	No	
row_10	Plaur	NA	5694	0.14621421694755554	0.02874573	No	
row_11	Lgmn	NA	5893	0.14079752564430237	0.029817345	No	
row_12	Cpeb2	NA	7197	0.10737553238868713	-0.011014027	No	
row_13	Sema3b	NA	7481	0.10149715840816498	-0.015312646	No	
row_14	Ech1	NA	7890	0.09359616786241531	-0.02459226	No	
row_15	Gusb	NA	10879	0.042314235121011734	-0.13014492	No	
row_16	Gstm7	NA	11187	0.03768930584192276	-0.13904095	No	
row_17	Clu	NA	11403	0.034270111471414566	-0.14481074	No	
row_18	Gpx8	NA	11741	0.029914792627096176	-0.1552458	No	
row_19	Abca2	NA	13117	0.012771762907505035	-0.20421003	No	
row_20	Gldc	NA	13358	0.01009498629719019	-0.21229674	No	
row_21	Cxcl16	NA	13385	0.009742716327309608	-0.21266724	No	
row_22	Cd9	NA	13672	0.006193118169903755	-0.22264507	No	
row_23	Stx5a	NA	14429	-0.002178041497245431	-0.24984966	No	
row_24	Tnfrsf12a	NA	14889	-0.007354391738772392	-0.26601413	No	
row_25	Ctnnb1	NA	15197	-0.011051813140511513	-0.2764672	No	
row_26	Lgals3	NA	16024	-0.02101449854671955	-0.30510145	No	
row_27	Gnai1	NA	16976	-0.03377004340291023	-0.3375093	No	
row_28	Atxn2	NA	17860	-0.04737973213195801	-0.3666632	No	
row_29	Tmem97	NA	17922	-0.048304688185453415	-0.366045	No	
row_30	Fbxo6	NA	18904	-0.06512843072414398	-0.39770448	No	
row_31	Pdk3	NA	19444	-0.0742906704545021	-0.41284862	No	
row_32	Pnrc1	NA	19660	-0.07822439819574356	-0.41604915	No	
row_33	S100a11	NA	19910	-0.08361266553401947	-0.42016396	No	
row_34	Fasn	NA	20731	-0.10171689093112946	-0.44386405	No	
row_35	Ebp	NA	20756	-0.10220383107662201	-0.43875766	No	
row_36	Fabp5	NA	21038	-0.10875211656093597	-0.4425599	No	
row_37	Anxa5	NA	21269	-0.11433681100606918	-0.4441919	No	
row_38	Ethe1	NA	21713	-0.12583474814891815	-0.45285246	No	
row_39	Mal2	NA	22351	-0.1453387439250946	-0.4673867	No	
row_40	Stard4	NA	23786	-0.17376083135604858	-0.50907373	No	
row_41	Actg1	NA	24923	-0.20807722210884094	-0.5379813	Yes	
row_42	Srebf2	NA	24969	-0.2101709097623825	-0.5273231	Yes	
row_43	Hmgcr	NA	25010	-0.21162691712379456	-0.51639915	Yes	
row_44	Fdft1	NA	25686	-0.2513063848018646	-0.52611315	Yes	
row_45	Pcyt2	NA	25749	-0.25606492161750793	-0.513387	Yes	
row_46	Ldlr	NA	25764	-0.25716066360473633	-0.49886146	Yes	
row_47	Idi1	NA	25874	-0.2654878497123718	-0.48728377	Yes	
row_48	Sc5d	NA	26615	-0.312880277633667	-0.49574855	Yes	
row_49	Fads2	NA	26698	-0.32098323106765747	-0.47995085	Yes	
row_50	Trp53inp1	NA	26795	-0.33269137144088745	-0.46397492	Yes	
row_51	Mvk	NA	26917	-0.3533761501312256	-0.44769377	Yes	
row_52	Dhcr7	NA	26955	-0.3569585978984833	-0.42816633	Yes	
row_53	Hsd17b7	NA	26961	-0.357612669467926	-0.40744373	Yes	
row_54	Tm7sf2	NA	26969	-0.3585074841976166	-0.38674113	Yes	
row_55	Aldoc	NA	27042	-0.36947503685951233	-0.36774746	Yes	
row_56	Trib3	NA	27089	-0.37750929594039917	-0.34734413	Yes	
row_57	Hmgcs1	NA	27174	-0.38973942399024963	-0.32759976	Yes	
row_58	Acat2	NA	27234	-0.39971569180488586	-0.30636844	Yes	
row_59	Sqle	NA	27253	-0.4028722643852234	-0.2834703	Yes	
row_60	Atf5	NA	27277	-0.41015511751174927	-0.26032725	Yes	
row_61	Atf3	NA	27376	-0.4343033730983734	-0.23848416	Yes	
row_62	Nsdhl	NA	27487	-0.4777245819568634	-0.21453682	Yes	
row_63	Cyp51	NA	27490	-0.47819337248802185	-0.18665753	Yes	
row_64	Acss2	NA	27505	-0.4806000590324402	-0.15907142	Yes	
row_65	Mvd	NA	27577	-0.5213369727134705	-0.13116485	Yes	
row_66	Lss	NA	27585	-0.5268756151199341	-0.100620724	Yes	
row_67	Pmvk	NA	27611	-0.5531145930290222	-0.06919363	Yes	
row_68	Nfil3	NA	27660	-0.6201615333557129	-0.034679003	Yes	
row_69	Fdps	NA	27667	-0.6353456974029541	0.0022416168	Yes	
