NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dusp6	NA	16	0.8263847231864929	0.04455097	Yes	
row_1	Itga2	NA	47	0.6916298270225525	0.08123554	Yes	
row_2	Mmp7	NA	90	0.6143536567687988	0.1132652	Yes	
row_3	Rapgef3	NA	128	0.5812143683433533	0.14366618	Yes	
row_4	Cfh	NA	234	0.4927171766757965	0.16677083	Yes	
row_5	Plat	NA	412	0.43124160170555115	0.18390994	Yes	
row_6	Thbd	NA	488	0.411251962184906	0.20365237	Yes	
row_7	F2rl2	NA	541	0.3988507390022278	0.2235507	Yes	
row_8	Mmp8	NA	700	0.38004830479621887	0.23858233	Yes	
row_9	Hpn	NA	756	0.3719160556793213	0.25690103	Yes	
row_10	Maff	NA	1027	0.32901081442832947	0.26508817	Yes	
row_11	F2	NA	1086	0.32104966044425964	0.2805203	Yes	
row_12	Mbl2	NA	1480	0.28766587376594543	0.28199375	Yes	
row_13	Gda	NA	1887	0.2712523937225342	0.28209993	Yes	
row_14	F3	NA	2026	0.26008713245391846	0.29130474	Yes	
row_15	F8	NA	2135	0.2525104880332947	0.3011825	Yes	
row_16	Usp11	NA	2531	0.2281319797039032	0.29933226	Yes	
row_17	Ang	NA	2598	0.22440440952777863	0.3091966	Yes	
row_18	Thbs1	NA	2635	0.22195422649383545	0.32001385	Yes	
row_19	Gp1ba	NA	2742	0.2171139419078827	0.328031	Yes	
row_20	Olr1	NA	3013	0.20656658709049225	0.3295312	Yes	
row_21	P2ry1	NA	3088	0.20360450446605682	0.33796978	Yes	
row_22	Apoc1	NA	3144	0.20084750652313232	0.3469461	Yes	
row_23	Fga	NA	3247	0.196738600730896	0.3539954	Yes	
row_24	Dpp4	NA	3248	0.19671779870986938	0.36473858	Yes	
row_25	Hnf4a	NA	3592	0.18059344589710236	0.36217588	Yes	
row_26	Fgg	NA	3966	0.1745579093694687	0.3581968	Yes	
row_27	Plek	NA	4414	0.17117442190647125	0.35135227	Yes	
row_28	C1s1	NA	4432	0.17043612897396088	0.3600443	Yes	
row_29	Pros1	NA	4495	0.1679990589618683	0.3669731	Yes	
row_30	Hrg	NA	4827	0.16478919982910156	0.363982	Yes	
row_31	Cfi	NA	5077	0.16274014115333557	0.36384946	Yes	
