NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dusp6	NA	16	0.8263847231864929	0.033260733	Yes	
row_1	Dusp5	NA	33	0.7589247822761536	0.06375891	Yes	
row_2	Ctsc	NA	216	0.5067846775054932	0.077908024	Yes	
row_3	Cfh	NA	234	0.4927171766757965	0.09746843	Yes	
row_4	Plat	NA	412	0.43124160170555115	0.10870541	Yes	
row_5	Pdp1	NA	528	0.40204405784606934	0.12099653	Yes	
row_6	Mmp8	NA	700	0.38004830479621887	0.1303548	Yes	
row_7	Casp3	NA	1025	0.32945317029953003	0.13208924	Yes	
row_8	Maff	NA	1027	0.32901081442832947	0.14552629	Yes	
row_9	F2	NA	1086	0.32104966044425964	0.15656896	Yes	
row_10	Kcnip3	NA	1116	0.31605467200279236	0.16845942	Yes	
row_11	Plscr1	NA	1519	0.2859950065612793	0.16558379	Yes	
row_12	Il6	NA	1833	0.2736339867115021	0.16543153	Yes	
row_13	Cpm	NA	1899	0.27041906118392944	0.17414682	Yes	
row_14	F3	NA	2026	0.26008713245391846	0.18022548	Yes	
row_15	Gzmb	NA	2126	0.253143846988678	0.18699957	Yes	
row_16	F8	NA	2135	0.2525104880332947	0.19704984	Yes	
row_17	Pclo	NA	2216	0.24703989923000336	0.20426342	Yes	
row_18	Car2	NA	2241	0.24563878774642944	0.2134517	Yes	
row_19	Mt3	NA	2473	0.2314988076686859	0.2145495	Yes	
row_20	Ang	NA	2598	0.22440440952777863	0.21923949	Yes	
row_21	Gp1ba	NA	2742	0.2171139419078827	0.22294147	Yes	
row_22	Olr1	NA	3013	0.20656658709049225	0.22160308	Yes	
row_23	Was	NA	3030	0.20595069229602814	0.22945638	Yes	
row_24	Apoc1	NA	3144	0.20084750652313232	0.23358086	Yes	
row_25	Dpp4	NA	3248	0.19671779870986938	0.2378991	Yes	
row_26	Cd36	NA	3346	0.19207638502120972	0.24224497	Yes	
row_27	Casp4	NA	3420	0.1885415017604828	0.24731699	Yes	
row_28	Sh2b3	NA	3470	0.18635639548301697	0.2531704	Yes	
row_29	Lipa	NA	3484	0.185703307390213	0.26030344	Yes	
row_30	Hnf4a	NA	3592	0.18059344589710236	0.2638162	Yes	
row_31	L3mbtl4	NA	3741	0.17711205780506134	0.26569864	Yes	
row_32	Irf2	NA	3863	0.17505571246147156	0.2684766	Yes	
row_33	Casp7	NA	4109	0.17314369976520538	0.2666767	Yes	
row_34	Scg3	NA	4216	0.1717839539051056	0.26986498	Yes	
row_35	Plek	NA	4414	0.17117442190647125	0.2697262	Yes	
row_36	C1s1	NA	4432	0.17043612897396088	0.27608886	Yes	
row_37	Prss36	NA	5057	0.16351275146007538	0.26014173	Yes	
row_38	Usp16	NA	5068	0.16329771280288696	0.26646608	Yes	
row_39	Dock4	NA	5221	0.16184422373771667	0.26757812	Yes	
row_40	C3	NA	5311	0.15879283845424652	0.2708513	Yes	
row_41	Jak2	NA	5366	0.1571396440267563	0.27532682	Yes	
row_42	Plaur	NA	5694	0.14621421694755554	0.26944858	Yes	
row_43	Lgmn	NA	5893	0.14079752564430237	0.26802954	Yes	
row_44	Pik3r5	NA	5920	0.1399199217557907	0.27281594	Yes	
row_45	Pik3ca	NA	6080	0.135918989777565	0.2726123	Yes	
row_46	F5	NA	6187	0.13296225666999817	0.27421084	Yes	
row_47	Cebpb	NA	6249	0.13144515454769135	0.27738014	Yes	
row_48	Dock9	NA	6836	0.11622772365808487	0.26087555	No	
row_49	Cfb	NA	6918	0.11392979323863983	0.26260182	No	
row_50	Lap3	NA	7418	0.10286823660135269	0.24870713	No	
row_51	Irf1	NA	7430	0.10263558477163315	0.252511	No	
row_52	Dock10	NA	7499	0.10114367306232452	0.2541854	No	
row_53	Kcnip2	NA	7599	0.09895753115415573	0.2546454	No	
row_54	Pla2g4a	NA	7677	0.09724073857069016	0.25583342	No	
row_55	C2	NA	7816	0.0949304848909378	0.2547133	No	
row_56	Kynu	NA	7919	0.09301473945379257	0.25482106	No	
row_57	Gngt2	NA	8059	0.09061017632484436	0.25348774	No	
row_58	Kif2a	NA	8153	0.08850722759962082	0.2537375	No	
row_59	Plg	NA	8223	0.08737396448850632	0.25481176	No	
row_60	Itih1	NA	8245	0.08698305487632751	0.25761178	No	
row_61	Cdh13	NA	8568	0.08150282502174377	0.24926496	No	
row_62	Gmfb	NA	8941	0.07426732033491135	0.23880747	No	
row_63	Cp	NA	9512	0.06435980647802353	0.22075942	No	
row_64	Akap10	NA	9530	0.06408749520778656	0.222767	No	
row_65	Ctsb	NA	9629	0.06242968514561653	0.22176743	No	
row_66	S100a13	NA	9846	0.05894821137189865	0.2163434	No	
row_67	Fdx1	NA	9860	0.05876525491476059	0.21827817	No	
row_68	Phex	NA	10504	0.04789625108242035	0.19690695	No	
row_69	Usp15	NA	10551	0.047293439507484436	0.19717447	No	
row_70	Cd46	NA	10608	0.046360570937395096	0.1970409	No	
row_71	Fyn	NA	10620	0.04612957313656807	0.19853081	No	
row_72	Lta4h	NA	10817	0.04297584295272827	0.19317843	No	
row_73	Lamp2	NA	10868	0.04249481484293938	0.19310428	No	
row_74	Usp14	NA	11027	0.03984016180038452	0.18900242	No	
row_75	Clu	NA	11403	0.034270111471414566	0.17679815	No	
row_76	Ppp2cb	NA	12005	0.02658919431269169	0.15607846	No	
row_77	Src	NA	12169	0.02454220876097679	0.15116869	No	
row_78	Adam9	NA	12304	0.022639328613877296	0.14723332	No	
row_79	Prcp	NA	12431	0.021101079881191254	0.14352526	No	
row_80	Casp9	NA	12669	0.01815829798579216	0.13566881	No	
row_81	Ctsl	NA	12797	0.016817521303892136	0.13174905	No	
row_82	Vcpip1	NA	12903	0.01565617322921753	0.12858005	No	
row_83	Raf1	NA	12921	0.015254490077495575	0.12858786	No	
row_84	Gzmk	NA	13009	0.01407565176486969	0.12600729	No	
row_85	Usp8	NA	13029	0.01381323579698801	0.1258835	No	
row_86	Stx4a	NA	13206	0.011674263514578342	0.11997504	No	
row_87	Rabif	NA	13283	0.010893819853663445	0.11766333	No	
row_88	Ctso	NA	13328	0.010384785942733288	0.11649197	No	
row_89	Cpq	NA	13591	0.007231023162603378	0.107280865	No	
row_90	Pla2g7	NA	13792	0.004930062685161829	0.10022534	No	
row_91	Prkcd	NA	13874	0.004227417521178722	0.0974592	No	
row_92	Dyrk2	NA	14260	-2.2511430142913014E-4	0.08349788	No	
row_93	Ctsh	NA	14470	-0.002552903024479747	0.07601842	No	
row_94	Lyn	NA	14753	-0.0055161877535283566	0.066011354	No	
row_95	Mmp14	NA	14779	-0.005875701550394297	0.065344796	No	
row_96	Prdm4	NA	14981	-0.008442983962595463	0.058396835	No	
row_97	S100a9	NA	15240	-0.011612040922045708	0.049510285	No	
row_98	Casp1	NA	15502	-0.014533862471580505	0.040634528	No	
row_99	Itgam	NA	15633	-0.016195569187402725	0.036580432	No	
row_100	Hpcal4	NA	15723	-0.017187276855111122	0.034054715	No	
row_101	Psen1	NA	15846	-0.018504183739423752	0.030385455	No	
row_102	Lgals3	NA	16024	-0.02101449854671955	0.024823204	No	
row_103	Ppp4c	NA	16311	-0.024394143372774124	0.015444058	No	
row_104	Timp1	NA	16360	-0.025012396275997162	0.0147265615	No	
row_105	Timp2	NA	16485	-0.026992635801434517	0.011332338	No	
row_106	Mmp13	NA	16547	-0.027736017480492592	0.010254643	No	
