NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cxcl5	NA	4	0.9671776294708252	0.03355279	No	
row_1	Itga2	NA	47	0.6916298270225525	0.05612549	No	
row_2	Id2	NA	50	0.6840998530387878	0.07988801	No	
row_3	Areg	NA	67	0.6501693725585938	0.10196008	No	
row_4	Vcam1	NA	143	0.5702429413795471	0.11910543	No	
row_5	Tagln	NA	376	0.4420911371707916	0.126086	No	
row_6	Igfbp4	NA	538	0.3993645906448364	0.13415551	No	
row_7	Ptx3	NA	860	0.35475629568099976	0.13486212	No	
row_8	Fgf2	NA	1004	0.3331657946109772	0.14127865	No	
row_9	Cap2	NA	1096	0.31915387511253357	0.14909479	No	
row_10	Sdc4	NA	1303	0.2990420162677765	0.15203522	No	
row_11	Col6a3	NA	1353	0.29511216282844543	0.1605385	No	
row_12	Lrrc15	NA	1360	0.2944096326828003	0.17057836	No	
row_13	Cxcl15	NA	1594	0.2827799618244171	0.17197198	No	
row_14	Lama1	NA	1623	0.28157487511634827	0.18076599	No	
row_15	Il6	NA	1833	0.2736339867115021	0.18271224	No	
row_16	Grem1	NA	1890	0.27100279927253723	0.19012137	No	
row_17	Spp1	NA	2111	0.2541661560535431	0.19098999	No	
row_18	Thbs1	NA	2635	0.22195422649383545	0.17973612	No	
row_19	Tgfbi	NA	3158	0.2001030445098877	0.16775721	No	
row_20	Igfbp3	NA	3377	0.19061319530010223	0.16648416	No	
row_21	Lum	NA	3754	0.17707429826259613	0.15900332	No	
row_22	Dcn	NA	4460	0.16950282454490662	0.13931458	No	
row_23	Cd44	NA	4483	0.16832369565963745	0.14438055	No	
row_24	Foxc2	NA	5018	0.16405074298381805	0.13070989	No	
row_25	Col8a2	NA	5296	0.15926441550254822	0.12620264	No	
row_26	Msx1	NA	5347	0.1577688604593277	0.12988435	No	
row_27	Plaur	NA	5694	0.14621421694755554	0.12241741	No	
row_28	Dab2	NA	5784	0.1438588947057724	0.12419861	No	
row_29	Tgfbr3	NA	5992	0.138209730386734	0.121499084	No	
row_30	Matn2	NA	6443	0.12636879086494446	0.10956507	No	
row_31	Col6a2	NA	6488	0.12506090104579926	0.112325005	No	
row_32	Itgav	NA	6879	0.11505769193172455	0.10217515	No	
row_33	Eln	NA	6961	0.11311294883489609	0.103175536	No	
row_34	Snai2	NA	7631	0.09824122488498688	0.082310885	No	
row_35	Fuca1	NA	8064	0.09039777517318726	0.069777064	No	
row_36	Itgb3	NA	8299	0.086037777364254	0.06427956	No	
row_37	Gja1	NA	8401	0.08428364247083664	0.063549414	No	
row_38	Fmod	NA	8414	0.08409444987773895	0.06604375	No	
row_39	Gem	NA	8523	0.08221779018640518	0.06498749	No	
row_40	Vegfa	NA	8817	0.07689343392848969	0.057029437	No	
row_41	Mfap5	NA	8863	0.07581903785467148	0.058037404	No	
row_42	Gas1	NA	8873	0.07570955902338028	0.060348507	No	
row_43	Anpep	NA	9091	0.0714535340666771	0.054960042	No	
