NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Shh	NA	4557	0.16695894300937653	-0.123159565	No	
row_1	Rasa1	NA	6715	0.1195356547832489	-0.17141676	No	
row_2	Pml	NA	6726	0.11913534998893738	-0.14225294	No	
row_3	Cdk6	NA	7191	0.10752981156110764	-0.13235754	No	
row_4	Cntfr	NA	8184	0.08805874735116959	-0.14635171	No	
row_5	Plg	NA	8223	0.08737396448850632	-0.12607017	No	
row_6	Tle1	NA	8380	0.08467642217874527	-0.11071771	No	
row_7	Nrp2	NA	8533	0.08213704824447632	-0.09585014	No	
row_8	Ldb1	NA	8810	0.07717998325824738	-0.08668824	No	
row_9	Vegfa	NA	8817	0.07689343392848969	-0.06784866	No	
row_10	Tle3	NA	10967	0.040857378393411636	-0.13531555	No	
row_11	L1cam	NA	11327	0.035652291029691696	-0.13944213	No	
row_12	Nf1	NA	11479	0.03338645398616791	-0.13662015	No	
row_13	Nrp1	NA	12216	0.023897388949990273	-0.15727198	No	
row_14	Scg2	NA	12371	0.021878669038414955	-0.15741023	No	
row_15	Gli1	NA	13490	0.008512965403497219	-0.19566734	No	
row_16	Ophn1	NA	13660	0.006336823105812073	-0.20019887	No	
row_17	Unc5c	NA	13956	0.0033144031185656786	-0.21002883	No	
row_18	Ache	NA	14153	0.001230611465871334	-0.21680069	No	
row_19	Nrcam	NA	18200	-0.05337677150964737	-0.34965858	No	
row_20	Crmp1	NA	18338	-0.0558064766228199	-0.34077483	No	
row_21	Slit1	NA	19730	-0.07966002821922302	-0.37125683	No	
row_22	Celsr1	NA	21300	-0.11518868058919907	-0.39936084	No	
row_23	Dpysl2	NA	22368	-0.14588205516338348	-0.40173283	Yes	
row_24	Ptch1	NA	22492	-0.15062379837036133	-0.36884534	Yes	
row_25	Hey2	NA	22595	-0.15380871295928955	-0.33441034	Yes	
row_26	Rtn1	NA	23013	-0.16061578691005707	-0.30966184	Yes	
row_27	Vldlr	NA	23346	-0.16573728621006012	-0.28057507	Yes	
row_28	Amot	NA	23511	-0.1687527745962143	-0.2446751	Yes	
row_29	Myh9	NA	23756	-0.1724487841129303	-0.21074769	Yes	
row_30	Adgrg1	NA	24505	-0.18723919987678528	-0.19135238	Yes	
row_31	Ets2	NA	26518	-0.30312198400497437	-0.18887663	Yes	
row_32	Hey1	NA	27300	-0.41604742407798767	-0.113968134	Yes	
row_33	Cdk5r1	NA	27578	-0.5222272872924805	0.0054521044	Yes	
