NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Errfi1	NA	7	0.9036411643028259	0.022080876	No	
row_1	Stc1	NA	130	0.5784639716148376	0.03194931	No	
row_2	Tiparp	NA	150	0.5606838464736938	0.045117754	No	
row_3	Pgf	NA	198	0.5205695629119873	0.05627815	No	
row_4	Gcnt2	NA	213	0.5094231367111206	0.068361126	No	
row_5	Ier3	NA	248	0.4881857931613922	0.07919307	No	
row_6	Hs3st1	NA	525	0.40273797512054443	0.07912709	No	
row_7	Maff	NA	1027	0.32901081442832947	0.06907006	No	
row_8	Sdc4	NA	1303	0.2990420162677765	0.066477366	No	
row_9	Angptl4	NA	1381	0.2927393913269043	0.07091739	No	
row_10	Aldob	NA	1608	0.28234851360321045	0.069691055	No	
row_11	Il6	NA	1833	0.2736339867115021	0.068321936	No	
row_12	Slc2a3	NA	1864	0.27238166332244873	0.07396515	No	
row_13	F3	NA	2026	0.26008713245391846	0.074548446	No	
row_14	Pygm	NA	2038	0.2591468393802643	0.08055434	No	
row_15	Csrp2	NA	2081	0.2562500536441803	0.08536315	No	
row_16	Rbpj	NA	2090	0.2558209300041199	0.09139576	No	
row_17	Map3k1	NA	2103	0.25470447540283203	0.097255535	No	
row_18	Efna1	NA	2218	0.2466277927160263	0.09921253	No	
row_19	Btg1	NA	2476	0.23127301037311554	0.0955983	No	
row_20	Rragd	NA	2613	0.22332289814949036	0.09618055	No	
row_21	Nedd4l	NA	2660	0.22061893343925476	0.099963464	No	
row_22	Dtna	NA	2851	0.21248380839824677	0.09831731	No	
row_23	Fos	NA	2893	0.21093563735485077	0.102042414	No	
row_24	Ackr3	NA	3074	0.20428931713104248	0.10055677	No	
row_25	Tgfbi	NA	3158	0.2001030445098877	0.10248929	No	
row_26	Igfbp3	NA	3377	0.19061319530010223	0.09928601	No	
row_27	Igfbp1	NA	4045	0.17415323853492737	0.0793747	No	
row_28	Stc2	NA	4075	0.17414647340774536	0.082626164	No	
row_29	Fbp1	NA	4223	0.1717839539051056	0.081535175	No	
row_30	B3galt6	NA	4415	0.17113766074180603	0.07883077	No	
row_31	Pgam2	NA	4423	0.17075802385807037	0.08279721	No	
row_32	Dcn	NA	4460	0.16950282454490662	0.085679755	No	
row_33	Chst2	NA	4674	0.16586482524871826	0.08204631	No	
row_34	Selenbp1	NA	5368	0.1570296287536621	0.06076781	No	
row_35	Ldhc	NA	5457	0.15363606810569763	0.0613703	No	
row_36	Ppargc1a	NA	5487	0.15264056622982025	0.06409021	No	
row_37	Plaur	NA	5694	0.14621421694755554	0.060225196	No	
row_38	Kif5a	NA	5745	0.14483146369457245	0.061989672	No	
row_39	Wsb1	NA	6150	0.1342654973268509	0.05064083	No	
row_40	Srpx	NA	6469	0.12553094327449799	0.04219837	No	
row_41	B4galnt2	NA	6646	0.12104298174381256	0.038800377	No	
row_42	Nagk	NA	6742	0.11883673816919327	0.0382886	No	
row_43	Stbd1	NA	6943	0.11336882412433624	0.033829592	No	
row_44	Atp7a	NA	6997	0.11238256841897964	0.034683123	No	
row_45	Hexa	NA	7195	0.10742243379354477	0.030186059	No	
row_46	Klf6	NA	7395	0.10322990268468857	0.025512755	No	
row_47	Nr3c1	NA	7709	0.09669822454452515	0.016539179	No	
row_48	Plac8	NA	8159	0.08846061676740646	0.002424441	No	
row_49	Gaa	NA	8600	0.08101461827754974	-0.011547587	No	
row_50	Phkg1	NA	8720	0.07884430140256882	-0.013919177	No	
row_51	Vegfa	NA	8817	0.07689343392848969	-0.015503959	No	
row_52	Bcl2	NA	9412	0.06610512733459473	-0.035435554	No	
row_53	Cp	NA	9512	0.06435980647802353	-0.03743904	No	
row_54	Rora	NA	9559	0.06363026797771454	-0.037536368	No	
row_55	Cxcr4	NA	9704	0.0614427775144577	-0.041245706	No	
row_56	Lxn	NA	9950	0.05705097317695618	-0.04873045	No	
row_57	Sdc2	NA	10236	0.052478861063718796	-0.05778043	No	
row_58	Gpc4	NA	10810	0.043083298951387405	-0.077518634	No	
row_59	Klhl24	NA	11424	0.03395666182041168	-0.098934636	No	
row_60	Ets1	NA	11425	0.033953309059143066	-0.098095424	No	
row_61	Ilvbl	NA	11551	0.032480183988809586	-0.10183082	No	
row_62	Bhlhe40	NA	11573	0.03211403638124466	-0.10179948	No	
row_63	Irs2	NA	11630	0.03134218603372574	-0.10305791	No	
row_64	Tgfb3	NA	12069	0.025742359459400177	-0.11832348	No	
row_65	Tpst2	NA	12335	0.022219285368919373	-0.12739526	No	
row_66	Lox	NA	13089	0.01300350297242403	-0.15441194	No	
row_67	Efna3	NA	13337	0.010311691090464592	-0.16312453	No	
row_68	Casp6	NA	13676	0.00617137411609292	-0.17524327	No	
row_69	Tgm2	NA	13941	0.003529054345563054	-0.1847407	No	
row_70	Pck1	NA	14551	-0.0033558791037648916	-0.20676784	No	
row_71	Cav1	NA	14568	-0.003478320548310876	-0.20726275	No	
row_72	Mt1	NA	15009	-0.008782023563981056	-0.22302014	No	
row_73	Klf7	NA	15211	-0.011179259978234768	-0.23004124	No	
row_74	Pkp1	NA	15346	-0.012721213512122631	-0.23459175	No	
row_75	Pgm1	NA	15774	-0.017697354778647423	-0.24965681	No	
row_76	Plin2	NA	15993	-0.020611584186553955	-0.25706196	No	
row_77	Tpbg	NA	16181	-0.02275761403143406	-0.26328862	No	
row_78	Adora2b	NA	17178	-0.03680119290947914	-0.29853934	No	
row_79	Zfp292	NA	17179	-0.03680352121591568	-0.29762968	No	
row_80	Pam	NA	17289	-0.03834742307662964	-0.30063915	No	
row_81	Anxa2	NA	17816	-0.04647109657526016	-0.31858727	No	
row_82	Eno2	NA	17892	-0.04790038615465164	-0.32012624	No	
row_83	Hoxb9	NA	17937	-0.04860275611281395	-0.3205224	No	
row_84	Vhl	NA	18029	-0.05023571848869324	-0.32258454	No	
row_85	Slc6a6	NA	18051	-0.05067022517323494	-0.32209456	No	
row_86	Ndst2	NA	18066	-0.050939928740262985	-0.32134375	No	
row_87	S100a4	NA	18103	-0.05160931497812271	-0.32137513	No	
row_88	Slc37a4	NA	18204	-0.05341057479381561	-0.32368556	No	
row_89	Ncan	NA	18537	-0.05899477377533913	-0.33428085	No	
row_90	Car12	NA	18542	-0.05902925506234169	-0.33296707	No	
