NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Mefv	NA	424	0.42744868993759155	0.0037162977	No	
row_1	Capn9	NA	555	0.39664968848228455	0.01672083	No	
row_2	Htr1b	NA	697	0.3805776834487915	0.02860836	No	
row_3	Epha5	NA	810	0.3635411560535431	0.040786702	No	
row_4	Hc	NA	1016	0.330566942691803	0.0481186	No	
row_5	Scgb1a1	NA	1168	0.30938035249710083	0.056462727	No	
row_6	Alox12b	NA	1344	0.29589301347732544	0.06333377	No	
row_7	Lypd3	NA	1393	0.291828453540802	0.074629866	No	
row_8	Slc6a3	NA	2054	0.25803324580192566	0.06221734	No	
row_9	Ifng	NA	2499	0.2294689416885376	0.056363616	No	
row_10	Pde6b	NA	2602	0.22428512573242188	0.062683545	No	
row_11	Gp1ba	NA	2742	0.2171139419078827	0.06734102	No	
row_12	Ccdc106	NA	2791	0.21519878506660461	0.07521375	No	
row_13	Prodh	NA	3209	0.19811730086803436	0.068938784	No	
row_14	Tshb	NA	3219	0.19781279563903809	0.07744944	No	
row_15	Zfp112	NA	4089	0.17378155887126923	0.053692065	No	
row_16	Grid2	NA	4178	0.17262889444828033	0.058212116	No	
row_17	Pdcd1	NA	4561	0.16695894300937653	0.051814716	No	
row_18	Insl5	NA	4584	0.16695894300937653	0.05847546	No	
row_19	Chst2	NA	4674	0.16586482524871826	0.062657066	No	
row_20	Calcb	NA	4798	0.16494664549827576	0.06556437	No	
row_21	Pcdhb1	NA	4855	0.16478919982910156	0.07089492	No	
row_22	Arpp21	NA	4866	0.16478919982910156	0.077894	No	
row_23	Scn10a	NA	5002	0.16405074298381805	0.08032602	No	
row_24	Slc16a7	NA	5096	0.16272170841693878	0.084222116	No	
row_25	Serpina10	NA	5198	0.16244226694107056	0.087815545	No	
row_26	Edar	NA	5279	0.15976819396018982	0.09205124	No	
row_27	Calm4	NA	5304	0.158994659781456	0.09828364	No	
row_28	Cyp39a1	NA	5367	0.15713787078857422	0.10305473	No	
row_29	Snn	NA	5571	0.15001316368579865	0.10239309	No	
row_30	Pdk2	NA	5923	0.1398303210735321	0.095908195	No	
row_31	Thrb	NA	5988	0.1382988691329956	0.09976513	No	
row_32	Actc1	NA	6204	0.13243141770362854	0.09788277	No	
row_33	Sox10	NA	6415	0.12721113860607147	0.09594856	No	
row_34	Kcnd1	NA	6749	0.11863703280687332	0.089169785	No	
row_35	Sprr3	NA	6751	0.11860539764165878	0.0944321	No	
row_36	P2ry4	NA	6838	0.11617554724216461	0.09650269	No	
row_37	Camk1d	NA	6922	0.1137702614068985	0.09857465	No	
row_38	Ryr1	NA	7089	0.11010555922985077	0.097472265	No	
row_39	Shox2	NA	7178	0.10776273906230927	0.09909448	No	
row_40	Clps	NA	7206	0.10721050202846527	0.102904655	No	
row_41	Ypel1	NA	7228	0.10658896714448929	0.10690469	No	
row_42	Magix	NA	7238	0.10646311938762665	0.11133438	No	
row_43	Idua	NA	7278	0.10547163337469101	0.11463161	No	
row_44	Plag1	NA	7465	0.10182622820138931	0.112433895	No	
row_45	Cdkal1	NA	7894	0.09352710098028183	0.10108745	No	
row_46	Krt4	NA	7914	0.09308821707963943	0.1045569	No	
row_47	Cntfr	NA	8184	0.08805874735116959	0.098733515	No	
row_48	Nr6a1	NA	8185	0.0880507081747055	0.1026671	No	
row_49	Cldn8	NA	8240	0.08704718947410583	0.10459714	No	
row_50	Abcg4	NA	8433	0.08375401049852371	0.101374425	No	
row_51	Mfsd6	NA	8683	0.07955403625965118	0.09589655	No	
row_52	Itih3	NA	8869	0.07575079053640366	0.092570215	No	
row_53	Thnsl2	NA	8901	0.07504593580961227	0.09479837	No	
row_54	Cpeb3	NA	8975	0.07369094341993332	0.09544255	No	
row_55	Msh5	NA	9025	0.07268217206001282	0.0969122	No	
row_56	Slc25a23	NA	9158	0.07038471847772598	0.09526859	No	
row_57	Gpr3	NA	9385	0.06658198684453964	0.09004547	No	
row_58	Synpo	NA	9466	0.06516589224338531	0.090054885	No	
row_59	Slc12a3	NA	10046	0.05540177598595619	0.07152806	No	
row_60	Fggy	NA	10273	0.05187016725540161	0.0656477	No	
row_61	Stag3	NA	10423	0.048953067511320114	0.062430017	No	
row_62	Sidt1	NA	10474	0.04829414561390877	0.06277388	No	
row_63	Tenm2	NA	10956	0.04098892584443092	0.047157895	No	
row_64	Dtnb	NA	11152	0.03805894777178764	0.041784983	No	
row_65	Cdh16	NA	11174	0.037803035229444504	0.042712074	No	
row_66	Fgf22	NA	11312	0.03595621883869171	0.03934904	No	
row_67	Ribc2	NA	11474	0.03352130949497223	0.03500668	No	
row_68	Skil	NA	11536	0.03271955996751785	0.034255765	No	
row_69	Gamt	NA	11707	0.03039514273405075	0.029447297	No	
row_70	Wnt16	NA	12085	0.02549099735915661	0.016911304	No	
row_71	Bard1	NA	12270	0.022972824051976204	0.011263432	No	
row_72	Ptgfr	NA	12367	0.021925173699855804	0.0087607475	No	
row_73	Atp6v1b1	NA	12496	0.020261023193597794	0.005022995	No	
row_74	Fgfr3	NA	12547	0.019628973677754402	0.004086271	No	
row_75	Egf	NA	12570	0.01935253106057644	0.00415283	No	
row_76	Sncb	NA	12735	0.017507582902908325	-0.0010137443	No	
row_77	Tfcp2l1	NA	12835	0.016304288059473038	-0.0038763545	No	
row_78	Lfng	NA	12949	0.014858708716928959	-0.0073113614	No	
row_79	Tgm1	NA	13150	0.012370456010103226	-0.014013248	No	
row_80	Sstr4	NA	13773	0.005108061246573925	-0.03634662	No	
row_81	Tgfb2	NA	13775	0.005097686313092709	-0.03615516	No	
