NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Stc1	NA	130	0.5784639716148376	0.014807478	No	
row_1	Ctsc	NA	216	0.5067846775054932	0.028829332	No	
row_2	Map2k3	NA	1216	0.3059881329536438	0.0028795165	No	
row_3	Fgl2	NA	1449	0.2887404263019562	0.004201873	No	
row_4	Slc2a3	NA	1864	0.27238166332244873	-0.0016375608	No	
row_5	Srd5a1	NA	2374	0.2378063201904297	-0.012094265	No	
row_6	Sord	NA	2703	0.21837325394153595	-0.016633803	No	
row_7	Coro1a	NA	3356	0.1915869414806366	-0.033844046	No	
row_8	Slc1a5	NA	4514	0.16733071208000183	-0.07021279	No	
row_9	Slc7a11	NA	5382	0.15652669966220856	-0.0964146	No	
row_10	Lgmn	NA	5893	0.14079752564430237	-0.110182576	No	
row_11	Txnrd1	NA	5970	0.13866931200027466	-0.10826121	No	
row_12	Hspe1	NA	6025	0.13739250600337982	-0.105584	No	
row_13	Gclc	NA	6074	0.1361512541770935	-0.102730796	No	
row_14	Bcat1	NA	6251	0.1313464641571045	-0.10468826	No	
row_15	Rrp9	NA	6348	0.12930315732955933	-0.10380941	No	
row_16	Sytl2	NA	6454	0.12596523761749268	-0.1033701	No	
row_17	Eef1e1	NA	6568	0.1229027584195137	-0.1033247	No	
row_18	Nufip1	NA	7373	0.10357943922281265	-0.12902606	No	
row_19	Gtf2h1	NA	7543	0.10029587894678116	-0.13177755	No	
row_20	Gsr	NA	7742	0.09614916890859604	-0.1357222	No	
row_21	Ifi30	NA	7873	0.09386692196130753	-0.13727441	No	
row_22	Mthfd2l	NA	8876	0.07560510188341141	-0.17111076	No	
row_23	Cfp	NA	9022	0.07283290475606918	-0.1739178	No	
row_24	Arpc5l	NA	9103	0.0712427869439125	-0.17441799	No	
row_25	Cct6a	NA	9196	0.06988580524921417	-0.17539977	No	
row_26	Etf1	NA	9285	0.0684702917933464	-0.17628407	No	
row_27	Hspd1	NA	9305	0.06801511347293854	-0.17467792	No	
row_28	Cdc25a	NA	9306	0.06794867664575577	-0.17238402	No	
row_29	Tbk1	NA	9491	0.06458643823862076	-0.17688578	No	
row_30	Fdxr	NA	9598	0.06293722987174988	-0.17861058	No	
row_31	Cxcr4	NA	9704	0.0614427775144577	-0.1803495	No	
row_32	Gmps	NA	10579	0.04688296467065811	-0.21050702	No	
row_33	Lta4h	NA	10817	0.04297584295272827	-0.2176631	No	
row_34	Gga2	NA	10891	0.041976820677518845	-0.21889706	No	
row_35	Atp2a2	NA	11090	0.03899636119604111	-0.22477116	No	
row_36	Itgb2	NA	11565	0.03222179412841797	-0.24089721	No	
row_37	Bhlhe40	NA	11573	0.03211403638124466	-0.24006727	No	
row_38	Qdpr	NA	11821	0.028772899881005287	-0.248066	No	
row_39	Psmg1	NA	11872	0.028132183477282524	-0.24893206	No	
row_40	Psme3	NA	11878	0.02807808853685856	-0.24816576	No	
row_41	Psmc6	NA	11979	0.026905158534646034	-0.25088906	No	
row_42	Cacybp	NA	12073	0.025647306814789772	-0.25340062	No	
row_43	Atp6v1d	NA	12154	0.024765901267528534	-0.25546983	No	
row_44	G6pdx	NA	12319	0.02244025468826294	-0.2606681	No	
row_45	Nup205	NA	12563	0.019503725692629814	-0.26883447	No	
row_46	Serpinh1	NA	12634	0.01856694370508194	-0.2707498	No	
row_47	M6pr	NA	13110	0.012856447137892246	-0.28756592	No	
row_48	Mcm4	NA	13114	0.01282286737114191	-0.28724197	No	
row_49	Ung	NA	13161	0.012301511131227016	-0.2884972	No	
row_50	Wars	NA	13512	0.008241422474384308	-0.30092964	No	
row_51	Ppa1	NA	13594	0.007187295239418745	-0.3036286	No	
row_52	Dhfr	NA	13598	0.007154213264584541	-0.303496	No	
row_53	Cd9	NA	13672	0.006193118169903755	-0.305938	No	
row_54	Egln3	NA	13715	0.005685274954885244	-0.30727136	No	
row_55	Psat1	NA	13951	0.0034125461243093014	-0.31569043	No	
row_56	Uchl5	NA	14145	0.0013562585227191448	-0.32265365	No	
row_57	Pno1	NA	14516	-0.0030341355595737696	-0.3359882	No	
row_58	Tcea1	NA	14552	-0.003387580392882228	-0.33714488	No	
row_59	Pdap1	NA	14994	-0.008580460213124752	-0.3528706	No	
row_60	Abcf2	NA	15092	-0.009715305641293526	-0.3560653	No	
row_61	Pnp	NA	15260	-0.011829818598926067	-0.3617307	No	
row_62	Actr3	NA	15338	-0.012643693946301937	-0.36410022	No	
row_63	Nfyc	NA	15383	-0.01311877928674221	-0.36525524	No	
row_64	Mcm2	NA	15435	-0.01368543691933155	-0.36664534	No	
row_65	Bub1	NA	15666	-0.01647934317588806	-0.3744417	No	
row_66	Plk1	NA	15681	-0.016682378947734833	-0.37438694	No	
row_67	Immt	NA	15699	-0.016839617863297462	-0.37443584	No	
row_68	Rrm2	NA	15721	-0.01718265749514103	-0.37461838	No	
row_69	Pgm1	NA	15774	-0.017697354778647423	-0.3759094	No	
row_70	Psmd12	NA	16443	-0.0263427272439003	-0.3992792	No	
row_71	Atp5g1	NA	16444	-0.026346322149038315	-0.3983898	No	
row_72	Rpa1	NA	16453	-0.02645147778093815	-0.39778733	No	
row_73	Acaca	NA	16491	-0.027082359418272972	-0.39821672	No	
row_74	Tuba4a	NA	16568	-0.028047945350408554	-0.40002987	No	
row_75	Actr2	NA	16659	-0.029349310323596	-0.4023075	No	
row_76	Stip1	NA	16747	-0.030562030151486397	-0.40443525	No	
row_77	Psma3	NA	16815	-0.03138154000043869	-0.40580902	No	
row_78	Igfbp5	NA	16851	-0.031963277608156204	-0.40600103	No	
row_79	Hspa9	NA	16853	-0.032023653388023376	-0.40495625	No	
row_80	Ssr1	NA	16945	-0.033262766897678375	-0.40713808	No	
row_81	Eprs	NA	16961	-0.03356959670782089	-0.40654954	No	
row_82	Shmt2	NA	16994	-0.03412323817610741	-0.40655968	No	
row_83	Psmd13	NA	17398	-0.039942529052495956	-0.41984662	No	
row_84	Psmd14	NA	17568	-0.04279526695609093	-0.4245393	No	
row_85	Cops5	NA	17689	-0.04468873143196106	-0.42738858	No	
row_86	Nfkbib	NA	17875	-0.047579795122146606	-0.43250078	No	
row_87	Tmem97	NA	17922	-0.048304688185453415	-0.4325406	No	
row_88	Prdx1	NA	18026	-0.05016337335109711	-0.43458766	No	
row_89	Slc6a6	NA	18051	-0.05067022517323494	-0.43374866	No	
row_90	Hmbs	NA	18071	-0.05100461468100548	-0.4327168	No	
row_91	Psmb5	NA	18125	-0.05201335623860359	-0.4328856	No	
row_92	Tomm40	NA	18153	-0.05253935232758522	-0.43209243	No	
row_93	Hprt	NA	18167	-0.05284978821873665	-0.43078035	No	
row_94	Slc37a4	NA	18204	-0.05341057479381561	-0.43028465	No	
row_95	Ppia	NA	18213	-0.05359036102890968	-0.42876598	No	
row_96	Sla	NA	18244	-0.05407000333070755	-0.4280301	No	
row_97	Got1	NA	18471	-0.05790531262755394	-0.4342827	No	
row_98	Add3	NA	18489	-0.05814540758728981	-0.43293712	No	
row_99	Gla	NA	18603	-0.05979233980178833	-0.4350223	No	
row_100	Cth	NA	18692	-0.06119653210043907	-0.43615216	No	
row_101	Sqstm1	NA	18733	-0.061943646520376205	-0.43551362	No	
row_102	Psmc2	NA	18734	-0.06194648891687393	-0.43342233	No	
row_103	Ccnf	NA	18766	-0.062450580298900604	-0.43243983	No	
row_104	Idh1	NA	18838	-0.0637517049908638	-0.43286607	No	
row_105	Psma4	NA	18951	-0.06598369032144547	-0.4347059	No	
