NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Tagln	NA	376	0.4420911371707916	0.0024752282	No	
row_1	Hbegf	NA	410	0.4316833019256592	0.017024493	No	
row_2	Efs	NA	509	0.40474769473075867	0.02823114	No	
row_3	Myh11	NA	682	0.3815287947654724	0.035903975	No	
row_4	Fgf2	NA	1004	0.3331657946109772	0.03640265	No	
row_5	Csrp3	NA	1151	0.3111391067504883	0.042451743	No	
row_6	Col6a3	NA	1353	0.29511216282844543	0.045919236	No	
row_7	Sgca	NA	1873	0.2718867063522339	0.03699348	No	
row_8	Ankrd2	NA	1886	0.27127566933631897	0.046453685	No	
row_9	Pygm	NA	2038	0.2591468393802643	0.050424602	No	
row_10	Hspb8	NA	2819	0.21422217786312103	0.02991886	No	
row_11	Dtna	NA	2851	0.21248380839824677	0.03654453	No	
row_12	Mef2c	NA	3027	0.20610028505325317	0.03770896	No	
row_13	Fabp3	NA	3053	0.20498621463775635	0.04427898	No	
row_14	Cd36	NA	3346	0.19207638502120972	0.04068377	No	
row_15	Igfbp3	NA	3377	0.19061319530010223	0.04654793	No	
row_16	Myh1	NA	4057	0.17415323853492737	0.028247632	No	
row_17	Stc2	NA	4075	0.17414647340774536	0.033983108	No	
row_18	Vipr1	NA	4104	0.17335158586502075	0.039290197	No	
row_19	Pgam2	NA	4423	0.17075802385807037	0.0339733	No	
row_20	Myl2	NA	5172	0.16272170841693878	0.012750724	No	
row_21	Klf5	NA	5195	0.16256843507289886	0.017882302	No	
row_22	Aplnr	NA	5200	0.16243183612823486	0.023662442	No	
row_23	Cacna1h	NA	5266	0.16006384789943695	0.027141403	No	
row_24	Myl4	NA	5778	0.14393813908100128	0.01383866	No	
row_25	Sspn	NA	5871	0.1413649171590805	0.015655177	No	
row_26	Reep1	NA	6052	0.13672660291194916	0.014107374	No	
row_27	Ldb3	NA	6109	0.1353124976158142	0.017010199	No	
row_28	Actc1	NA	6204	0.13243141770362854	0.018428214	No	
row_29	Tead4	NA	6343	0.1294046938419342	0.018138256	No	
row_30	Col6a2	NA	6488	0.12506090104579926	0.017471991	No	
row_31	Sorbs3	NA	6573	0.12273693829774857	0.018899443	No	
row_32	Mapk12	NA	7000	0.11230333894491196	0.007528885	No	
row_33	Ryr1	NA	7089	0.11010555922985077	0.008350321	No	
row_34	Psen2	NA	7153	0.10842759162187576	0.010018251	No	
row_35	Aebp1	NA	7163	0.10816789418458939	0.013637349	No	
row_36	Tsc2	NA	7458	0.10210984200239182	0.0066876216	No	
row_37	Bag1	NA	7701	0.09683283418416977	0.0014334194	No	
row_38	Agrn	NA	7916	0.09304653108119965	-0.0029422748	No	
row_39	Actn3	NA	7940	0.0926908329129219	-3.9608093E-4	No	
row_40	Gpx3	NA	7970	0.09228837490081787	0.0019175825	No	
row_41	Eif4a2	NA	8032	0.09112180024385452	0.0030268282	No	
row_42	Myom2	NA	8515	0.08231235295534134	-0.011471033	No	
row_43	Cdh13	NA	8568	0.08150282502174377	-0.010385905	No	
row_44	Bdkrb2	NA	8577	0.08135101944208145	-0.007708756	No	
row_45	Gaa	NA	8600	0.08101461827754974	-0.005552192	No	
row_46	Foxo4	NA	8657	0.08008256554603577	-0.004664107	No	
row_47	Svil	NA	8883	0.07540935277938843	-0.01008258	No	
row_48	Mef2d	NA	9124	0.07090117037296295	-0.016210131	No	
row_49	Pick1	NA	9372	0.06674333661794662	-0.022743514	No	
row_50	Tcap	NA	9545	0.06394263356924057	-0.026655948	No	
row_51	Ckb	NA	9939	0.05726821720600128	-0.03883597	No	
row_52	Mybpc3	NA	10027	0.055756647139787674	-0.039960828	No	
row_53	Pde4dip	NA	10146	0.05401836335659027	-0.04227465	No	
row_54	Dmpk	NA	10269	0.051934536546468735	-0.04480972	No	
row_55	Chrna1	NA	10277	0.05182229354977608	-0.043173447	No	
row_56	Tnnc1	NA	10974	0.040734726935625076	-0.06695797	No	
row_57	Fkbp1b	NA	11276	0.03662848472595215	-0.076550566	No	
row_58	Clu	NA	11403	0.034270111471414566	-0.07987525	No	
row_59	Nqo1	NA	11517	0.032929811626672745	-0.08277682	No	
row_60	Bhlhe40	NA	11573	0.03211403638124466	-0.08360228	No	
row_61	Sirt2	NA	11744	0.029905080795288086	-0.08868376	No	
row_62	Rb1	NA	11801	0.02912977710366249	-0.08965439	No	
row_63	Igf1	NA	11841	0.028566395863890648	-0.09002833	No	
row_64	Tgfb1	NA	11898	0.0278688482940197	-0.09104496	No	
row_65	Atp2a1	NA	12228	0.02366136945784092	-0.1021272	No	
row_66	Myl1	NA	12504	0.020217450335621834	-0.11137444	No	
row_67	Ablim1	NA	12812	0.01662350632250309	-0.12191464	No	
row_68	Flii	NA	13031	0.013741807080805302	-0.12932853	No	
row_69	Akt2	NA	13244	0.011313308030366898	-0.13661318	No	
row_70	Wwtr1	NA	13667	0.006282815709710121	-0.15170604	No	
row_71	Tpm3	NA	13826	0.004587408155202866	-0.15727538	No	
row_72	Ache	NA	14153	0.001230611465871334	-0.16906697	No	
row_73	Gnao1	NA	14165	0.0010474412702023983	-0.16942814	No	
row_74	Sphk1	NA	14193	7.393913110718131E-4	-0.17038149	No	
row_75	Sh2b1	NA	14302	-6.361297564581037E-4	-0.17427957	No	
row_76	Syngr2	NA	14614	-0.004003045614808798	-0.18542539	No	
row_77	App	NA	14783	-0.005918495357036591	-0.19130926	No	
row_78	Pfkm	NA	14791	-0.006022060289978981	-0.19134374	No	
row_79	Itgb4	NA	14917	-0.00768369110301137	-0.19560197	No	
row_80	Tnnt2	NA	14924	-0.00774581590667367	-0.19553725	No	
row_81	Cfd	NA	15118	-0.010065566748380661	-0.20217755	No	
row_82	Dmd	NA	15290	-0.012081030756235123	-0.20794554	No	
row_83	Schip1	NA	15614	-0.015996744856238365	-0.21908954	No	
row_84	Chrnb1	NA	15622	-0.016101112589240074	-0.21875635	No	
row_85	Ocel1	NA	15747	-0.01745627634227276	-0.22262177	No	
row_86	Atp6ap1	NA	16069	-0.021407948806881905	-0.23349576	No	
row_87	Lsp1	NA	16572	-0.028089525178074837	-0.2506978	No	
row_88	Mef2a	NA	16843	-0.031826745718717575	-0.25934	No	
row_89	Tnni2	NA	16886	-0.03230207785964012	-0.25968656	No	
row_90	Dapk2	NA	16914	-0.03269166499376297	-0.25947434	No	
row_91	Myl6b	NA	16944	-0.03324225917458534	-0.25931463	No	
row_92	Col3a1	NA	17061	-0.03513895347714424	-0.26224452	No	
row_93	Tpd52l1	NA	17104	-0.03577099367976189	-0.26246458	No	
row_94	Mapre3	NA	17433	-0.04060593992471695	-0.2728924	No	
row_95	Mras	NA	17496	-0.04172017425298691	-0.2736216	No	
row_96	Itgb5	NA	17523	-0.04214545711874962	-0.27302817	No	
row_97	Sorbs1	NA	17529	-0.04222529008984566	-0.27166936	No	
row_98	Hrc	NA	17901	-0.04800685867667198	-0.28338844	No	
row_99	Fhl1	NA	18016	-0.05000536888837814	-0.28570342	No	
row_100	Plxnb2	NA	18057	-0.05073506385087967	-0.285305	No	
row_101	Nav2	NA	18242	-0.054048918187618256	-0.29001403	No	
row_102	Mylk	NA	18417	-0.05711931735277176	-0.29424798	No	
row_103	Lama2	NA	18525	-0.05865243077278137	-0.2959934	No	
row_104	Ptp4a3	NA	18677	-0.06103063374757767	-0.29924956	No	
row_105	Igfbp7	NA	18801	-0.0631398931145668	-0.3014122	No	
row_106	Bin1	NA	18883	-0.06459371000528336	-0.30199683	No	
row_107	Sod3	NA	18986	-0.06644108146429062	-0.30327654	No	
row_108	Rit1	NA	19069	-0.0678398534655571	-0.3037791	No	
row_109	Agl	NA	19112	-0.06860850751399994	-0.30280125	No	
row_110	Gsn	NA	19113	-0.06863093376159668	-0.30029765	No	
row_111	Pcx	NA	19272	-0.0714135617017746	-0.30342925	No	
row_112	Erbb3	NA	19293	-0.07180389761924744	-0.30153605	No	
row_113	Adcy9	NA	19528	-0.07590466737747192	-0.30726323	No	
row_114	Fst	NA	19629	-0.07762988656759262	-0.30806217	No	
row_115	Itga7	NA	19680	-0.07855384051799774	-0.30701202	No	
row_116	Tpm2	NA	19836	-0.08209580928087234	-0.309645	No	
row_117	Cnn3	NA	19953	-0.0844440683722496	-0.3107763	No	
row_118	Sptan1	NA	20174	-0.08940728008747101	-0.3155026	No	
row_119	Col4a2	NA	20487	-0.09602584689855576	-0.3233278	No	
row_120	Chrng	NA	20751	-0.10200602561235428	-0.32915577	Yes	
row_121	Sh3bgr	NA	20842	-0.10395803302526474	-0.32863122	Yes	
row_122	Hdac5	NA	20845	-0.10396984219551086	-0.3249111	Yes	
row_123	Myo1c	NA	21030	-0.10851195454597473	-0.32763338	Yes	
row_124	Myom1	NA	21069	-0.10944482684135437	-0.32502064	Yes	
row_125	Crat	NA	21148	-0.11122388392686844	-0.32379532	Yes	
row_126	Tnni1	NA	21203	-0.11271267384290695	-0.3216443	Yes	
row_127	Slc6a8	NA	21298	-0.11517397314310074	-0.32085583	Yes	
row_128	Spdef	NA	21310	-0.11549774557352066	-0.31704196	Yes	
row_129	Ak1	NA	21374	-0.11701701581478119	-0.3150607	Yes	
row_130	Adam12	NA	21455	-0.11910849809646606	-0.31362036	Yes	
row_131	Kcnh1	NA	21577	-0.12207578122615814	-0.31356046	Yes	
row_132	Cryab	NA	21648	-0.12424620240926743	-0.31156963	Yes	
row_133	Myoz1	NA	21684	-0.12492088228464127	-0.3082834	Yes	
row_134	Ppfia4	NA	21851	-0.1300371289253235	-0.30956692	Yes	
row_135	Eno3	NA	21880	-0.13071796298027039	-0.30581507	Yes	
row_136	Gabarapl2	NA	22121	-0.13770173490047455	-0.3095058	Yes	
row_137	Myl7	NA	22220	-0.1408865600824356	-0.30792457	Yes	
row_138	Pdlim7	NA	22316	-0.14422059059143066	-0.3061128	Yes	
row_139	Ppp1r3c	NA	22343	-0.14501892030239105	-0.30176666	Yes	
row_140	Casq2	NA	22512	-0.15135198831558228	-0.30234525	Yes	
row_141	Des	NA	22614	-0.1543293297290802	-0.30038255	Yes	
row_142	Myf6	NA	22772	-0.15613681077957153	-0.3003872	Yes	
row_143	Prnp	NA	22835	-0.15771570801734924	-0.29688498	Yes	
row_144	Ptgis	NA	23006	-0.16036932170391083	-0.29720724	Yes	
row_145	Speg	NA	23138	-0.16114607453346252	-0.29608515	Yes	
row_146	Ckmt2	NA	23197	-0.16190923750400543	-0.2922847	Yes	
row_147	Tnnt1	NA	23321	-0.1649671047925949	-0.29073274	Yes	
row_148	Mybph	NA	23419	-0.166474387049675	-0.2881818	Yes	
row_149	Acta1	NA	23475	-0.16711163520812988	-0.28408268	Yes	
row_150	Itgb1	NA	23491	-0.1680123507976532	-0.27849835	Yes	
row_151	Smtn	NA	23532	-0.17009663581848145	-0.2737457	Yes	
row_152	Sgcg	NA	23564	-0.17032384872436523	-0.26865798	Yes	
row_153	Myh9	NA	23756	-0.1724487841129303	-0.26930207	Yes	
row_154	Kifc3	NA	23982	-0.17823736369609833	-0.27096945	Yes	
row_155	Cacng1	NA	24083	-0.17856644093990326	-0.2680863	Yes	
row_156	Myh2	NA	24255	-0.17954835295677185	-0.26774526	Yes	
row_157	Myh3	NA	24311	-0.1811995506286621	-0.26313218	Yes	
row_158	Gja5	NA	24484	-0.18621061742305756	-0.2625844	Yes	
row_159	Hspb2	NA	24686	-0.1964772641658783	-0.262715	Yes	
row_160	Acsl1	NA	24801	-0.20270220935344696	-0.25945976	Yes	
row_161	Kcnh2	NA	24806	-0.20312100648880005	-0.2521953	Yes	
row_162	Pkia	NA	24911	-0.20762403309345245	-0.24839741	Yes	
row_163	Mylpf	NA	24971	-0.21032269299030304	-0.2428672	Yes	
row_164	Tnnt3	NA	25124	-0.2165776640176773	-0.24048547	Yes	
row_165	Myh7	NA	25657	-0.24979211390018463	-0.25068924	Yes	
row_166	Sgcd	NA	25792	-0.2593790292739868	-0.2460926	Yes	
row_167	Col15a1	NA	25855	-0.26394787430763245	-0.23871513	Yes	
row_168	Fxyd1	NA	25966	-0.27069994807243347	-0.23283412	Yes	
row_169	Sparc	NA	26031	-0.2742502689361572	-0.22515343	Yes	
row_170	Ctf1	NA	26053	-0.2754700481891632	-0.215867	Yes	
row_171	Apod	NA	26169	-0.2798352539539337	-0.20983428	Yes	
row_172	Ncam1	NA	26338	-0.2909325361251831	-0.20532109	Yes	
row_173	Camk2b	NA	26655	-0.3167463541030884	-0.20523985	Yes	
row_174	Cdkn1a	NA	27035	-0.36766812205314636	-0.20558843	Yes	
row_175	Mb	NA	27139	-0.38412001729011536	-0.1953158	Yes	
row_176	Lpin1	NA	27242	-0.40050676465034485	-0.1844091	Yes	
row_177	Casq1	NA	27251	-0.40219539403915405	-0.1700278	Yes	
row_178	Notch1	NA	27287	-0.4121297597885132	-0.15626445	Yes	
row_179	Cox7a1	NA	27314	-0.4199099838733673	-0.14189051	Yes	
row_180	Ephb3	NA	27320	-0.42060285806655884	-0.12672883	Yes	
row_181	Col1a1	NA	27369	-0.4333729147911072	-0.11266255	Yes	
row_182	Ifrd1	NA	27450	-0.4630053639411926	-0.098677166	Yes	
row_183	Ckm	NA	27514	-0.4854390323162079	-0.083256185	Yes	
row_184	Cox6a2	NA	27520	-0.48889032006263733	-0.06560343	Yes	
row_185	Nos1	NA	27592	-0.5320900082588196	-0.048771117	Yes	
row_186	Fdps	NA	27667	-0.6353456974029541	-0.02828106	Yes	
row_187	Gadd45b	NA	27720	-0.835975170135498	3.2657245E-4	Yes	
