NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Lmo2	NA	2346	0.23944330215454102	-0.010382083	No	
row_1	G6pc2	NA	2406	0.23583096265792847	0.060674984	No	
row_2	Dpp4	NA	3248	0.19671779870986938	0.09136378	No	
row_3	Pcsk1	NA	3876	0.17464421689510345	0.122927696	No	
row_4	Insm1	NA	5541	0.15069463849067688	0.10962371	No	
row_5	Abcc8	NA	6706	0.11973246186971664	0.10476092	No	
row_6	Syt13	NA	8364	0.08491650223731995	0.071296275	No	
row_7	Akt3	NA	9901	0.058084212243556976	0.033872664	No	
row_8	Mafb	NA	10185	0.05333810672163963	0.04020919	No	
row_9	Iapp	NA	10503	0.04790729284286499	0.04363294	No	
row_10	Pdx1	NA	11260	0.03677954524755478	0.02775554	No	
row_11	Srprb	NA	12629	0.018685409799218178	-0.015830193	No	
row_12	Elp4	NA	12811	0.01664757914841175	-0.017197903	No	
row_13	Pak3	NA	13363	0.010042358189821243	-0.03397237	No	
row_14	Spcs1	NA	13418	0.009394572116434574	-0.03300628	No	
row_15	Pax6	NA	13989	0.0030232889112085104	-0.05264492	No	
row_16	Hnf1a	NA	17542	-0.04236580803990364	-0.16772369	No	
row_17	Srp14	NA	18022	-0.05010996758937836	-0.16946453	No	
row_18	Sec11a	NA	19834	-0.08208317309617996	-0.20936783	Yes	
row_19	Slc2a2	NA	20287	-0.0920882299542427	-0.19710658	Yes	
row_20	Foxo1	NA	20982	-0.10734820365905762	-0.18884575	Yes	
row_21	Chga	NA	21464	-0.11925903707742691	-0.16919932	Yes	
row_22	Stxbp1	NA	21534	-0.12074071168899536	-0.13421996	Yes	
row_23	Vdr	NA	21846	-0.12985633313655853	-0.10514782	Yes	
row_24	Gck	NA	23512	-0.16878287494182587	-0.11287447	Yes	
row_25	Foxa2	NA	23639	-0.170399472117424	-0.06454187	Yes	
row_26	Pcsk2	NA	24185	-0.17954835295677185	-0.028495839	Yes	
row_27	Pklr	NA	25017	-0.21182173490524292	0.007241262	Yes	
row_28	Dcx	NA	26366	-0.29202237725257874	0.049203962	Yes	
