NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Hao2	NA	565	0.39538371562957764	0.019922066	Yes	
row_1	Abcb1a	NA	588	0.39092567563056946	0.059039384	Yes	
row_2	Abcb4	NA	1066	0.32411766052246094	0.0748698	Yes	
row_3	Scgb1a1	NA	1168	0.30938035249710083	0.10280245	Yes	
row_4	Dhrs3	NA	1795	0.2752857804298401	0.10825502	Yes	
row_5	Pex11a	NA	2299	0.24238142371177673	0.11479926	Yes	
row_6	Crabp2	NA	2888	0.21100164949893951	0.1150636	Yes	
row_7	Cln6	NA	2956	0.20884335041046143	0.13396186	Yes	
row_8	Retsat	NA	3386	0.19018226861953735	0.13785452	Yes	
row_9	Cel	NA	5369	0.15698422491550446	0.08215676	Yes	
row_10	Hsd17b11	NA	5688	0.14638274908065796	0.085594445	Yes	
row_11	Ercc1	NA	5875	0.1413072943687439	0.09329082	Yes	
row_12	Acsl5	NA	6119	0.13503305613994598	0.09828385	Yes	
row_13	Eci2	NA	6422	0.12703770399093628	0.10032542	Yes	
row_14	Dio1	NA	6577	0.1225898489356041	0.10726878	Yes	
row_15	Abcc8	NA	6706	0.11973246186971664	0.11486131	Yes	
row_16	Slc25a17	NA	7079	0.11046432703733444	0.112677544	Yes	
row_17	Acsl4	NA	7450	0.10230334848165512	0.10973292	Yes	
row_18	Itgb1bp1	NA	7553	0.09997133910655975	0.11624874	Yes	
row_19	Msh2	NA	7849	0.09425227344036102	0.11519624	Yes	
row_20	Ech1	NA	7890	0.09359616786241531	0.12330486	Yes	
row_21	Cat	NA	8014	0.09154599905014038	0.1282005	Yes	
row_22	Ctps	NA	8167	0.0883631482720375	0.13172169	Yes	
row_23	Sema3c	NA	8248	0.08692770451307297	0.13770191	Yes	
row_24	Nr1i2	NA	8449	0.08343315869569778	0.13898271	Yes	
row_25	Idh2	NA	8555	0.08173930644989014	0.14352848	Yes	
row_26	Ttr	NA	8822	0.07685964554548264	0.14174967	Yes	
row_27	Sod1	NA	8865	0.07580960541963577	0.1479699	Yes	
row_28	Mlycd	NA	9446	0.06550586223602295	0.13366865	No	
row_29	Gnpat	NA	9576	0.06326509267091751	0.13545966	No	
row_30	Pex11b	NA	9656	0.062029749155044556	0.138934	No	
row_31	Gstk1	NA	9883	0.05832907184958458	0.13671076	No	
row_32	Dlg4	NA	10289	0.05157775059342384	0.12732045	No	
row_33	Pabpc1	NA	11127	0.03834571689367294	0.100945674	No	
row_34	Ephx2	NA	11135	0.03821340575814247	0.10459394	No	
row_35	Lonp2	NA	11372	0.034925058484077454	0.09961927	No	
row_36	Bcl10	NA	11454	0.03365378826856613	0.100124046	No	
row_37	Cdk7	NA	11566	0.032221127301454544	0.09939688	No	
row_38	Acot8	NA	11742	0.029909538105130196	0.09611763	No	
row_39	Scp2	NA	11956	0.027217887341976166	0.0911884	No	
row_40	Pex6	NA	12079	0.025554802268743515	0.08938253	No	
row_41	Abcd3	NA	12223	0.023767612874507904	0.08663423	No	
row_42	Pex2	NA	12631	0.018646465614438057	0.073809266	No	
row_43	Ehhadh	NA	12751	0.017403285950422287	0.0712797	No	
row_44	Mvp	NA	12876	0.015911651775240898	0.068416886	No	
row_45	Acaa1a	NA	12933	0.015069805085659027	0.06792895	No	
row_46	Slc23a2	NA	13157	0.012325839139521122	0.061117355	No	
row_47	Smarcc1	NA	13164	0.012268741615116596	0.06215286	No	
row_48	Top2a	NA	13583	0.007295215502381325	0.047770858	No	
row_49	Abcd1	NA	13813	0.004722859710454941	0.039965868	No	
row_50	Hsd17b4	NA	13837	0.004481199663132429	0.03959106	No	
row_51	Cnbp	NA	14222	3.2706905039958656E-4	0.025728025	No	
row_52	Nudt19	NA	14602	-0.003929423168301582	0.012413734	No	
row_53	Atxn1	NA	14658	-0.004471117164939642	0.01087986	No	
row_54	Slc35b2	NA	14705	-0.005085026379674673	0.009734364	No	
row_55	Slc25a4	NA	14745	-0.005425153765827417	0.008876916	No	
row_56	Ide	NA	14802	-0.006162973120808601	0.0074795927	No	
row_57	Sod2	NA	15748	-0.017466247081756592	-0.024935348	No	
row_58	Pex14	NA	15807	-0.0180660467594862	-0.025189746	No	
row_59	Abcc5	NA	15867	-0.018801819533109665	-0.025405211	No	
row_60	Ercc3	NA	15871	-0.018877195194363594	-0.023586417	No	
row_61	Ctbp1	NA	15884	-0.019081851467490196	-0.022072425	No	
row_62	Ywhah	NA	16384	-0.025399455800652504	-0.03753726	No	
row_63	Aldh9a1	NA	16458	-0.026540260761976242	-0.037469275	No	
row_64	Pex5	NA	16462	-0.026594579219818115	-0.034862537	No	
row_65	Isoc1	NA	16664	-0.029481809586286545	-0.03912636	No	
row_66	Pex13	NA	17790	-0.0461602583527565	-0.0751256	No	
row_67	Fis1	NA	17802	-0.04635581374168396	-0.070790745	No	
row_68	Prdx1	NA	18026	-0.05016337335109711	-0.073739134	No	
row_69	Hmgcl	NA	18138	-0.05222173035144806	-0.07242423	No	
row_70	Vps4b	NA	18480	-0.057972561568021774	-0.07884556	No	
row_71	Idh1	NA	18838	-0.0637517049908638	-0.085255854	No	
row_72	Hras	NA	19239	-0.07082285732030869	-0.09250029	No	
row_73	Hsd11b2	NA	19725	-0.07959076017141342	-0.10192557	No	
row_74	Abcb9	NA	19844	-0.08225655555725098	-0.09779744	No	
row_75	Acox1	NA	19902	-0.08346784114837646	-0.09133813	No	
row_76	Cln8	NA	19957	-0.08457008004188538	-0.08465772	No	
row_77	Cacna1b	NA	20049	-0.08645911514759064	-0.079123415	No	
row_78	Prdx5	NA	20113	-0.0879344791173935	-0.0724252	No	
row_79	Sult2b1	NA	20152	-0.08891545236110687	-0.064722106	No	
row_80	Slc25a19	NA	20206	-0.09026630967855453	-0.057423927	No	
row_81	Crat	NA	21148	-0.11122388392686844	-0.080121465	No	
row_82	Cadm1	NA	21602	-0.12260042876005173	-0.08399742	No	
row_83	Abcd2	NA	21902	-0.13136951625347137	-0.081405	No	
row_84	Crabp1	NA	21996	-0.13387316465377808	-0.071102105	No	
row_85	Siah1a	NA	22013	-0.1344064325094223	-0.05795824	No	
row_86	Elovl5	NA	22812	-0.1566857248544693	-0.07083916	No	
row_87	Dhcr24	NA	22972	-0.1590263694524765	-0.060356576	No	
row_88	Aldh1a1	NA	22995	-0.1598067730665207	-0.044836473	No	
row_89	Tspo	NA	24455	-0.1845654547214508	-0.07879155	No	
row_90	Fads1	NA	24535	-0.18947508931159973	-0.062305063	No	
row_91	Fabp6	NA	24625	-0.19371481239795685	-0.04574759	No	
row_92	Acsl1	NA	24801	-0.20270220935344696	-0.031384725	No	
row_93	Alb	NA	24857	-0.20558680593967438	-0.012384707	No	
row_94	Rdh11	NA	25490	-0.2373630255460739	-0.011021173	No	
row_95	Idi1	NA	25874	-0.2654878497123718	0.0022248689	No	
row_96	Fdps	NA	27667	-0.6353456974029541	0.002243595	No	
