NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ctsc	NA	216	0.5067846775054932	0.057546128	No	
row_1	Sgms1	NA	983	0.335762083530426	0.073134035	No	
row_2	Tspan8	NA	1874	0.2718043923377991	0.07598636	No	
row_3	Ppt1	NA	3301	0.1943729966878891	0.049457815	No	
row_4	Sh3gl2	NA	4539	0.16695894300937653	0.026232239	No	
row_5	Ica1	NA	5710	0.1456718146800995	0.002685475	No	
row_6	Sspn	NA	5871	0.1413649171590805	0.015128449	No	
row_7	Atp7a	NA	6997	0.11238256841897964	-0.011083489	No	
row_8	Arfgef1	NA	7399	0.10316858440637589	-0.012287022	No	
row_9	Sod1	NA	8865	0.07580960541963577	-0.055518247	No	
row_10	Atp1a1	NA	8969	0.07388100028038025	-0.04971645	No	
row_11	Cltc	NA	9200	0.06983708590269089	-0.049031503	No	
row_12	Atp6v1h	NA	9273	0.06860075145959854	-0.042789035	No	
row_13	Zw10	NA	9374	0.06673772633075714	-0.03779998	No	
row_14	Yipf6	NA	9394	0.0663909912109375	-0.029924793	No	
row_15	Scrn1	NA	9882	0.05833248421549797	-0.04002276	No	
row_16	Vamp3	NA	9989	0.056430984288454056	-0.0365801	No	
row_17	Stx16	NA	10048	0.05536697804927826	-0.03153787	No	
row_18	Galc	NA	10053	0.05525132641196251	-0.024556654	No	
row_19	Snx2	NA	10061	0.05519319325685501	-0.017691484	No	
row_20	Cln5	NA	10095	0.05475226789712906	-0.01182395	No	
row_21	Tom1l1	NA	10337	0.05067666620016098	-0.014008203	No	
row_22	Lamp2	NA	10868	0.04249481484293938	-0.027704692	No	
row_23	Stam	NA	10996	0.04031482711434364	-0.02710044	No	
row_24	Golga4	NA	11725	0.030080508440732956	-0.049562354	No	
row_25	Ocrl	NA	12144	0.02484290301799774	-0.061482932	No	
row_26	Vps45	NA	12327	0.02232752926647663	-0.06518865	No	
row_27	Atp6v1b1	NA	12496	0.020261023193597794	-0.06865432	No	
row_28	Ap3b1	NA	12527	0.019892653450369835	-0.0671742	No	
row_29	Ap3s1	NA	13070	0.013268182054162025	-0.08507435	No	
row_30	M6pr	NA	13110	0.012856447137892246	-0.08482736	No	
row_31	Anp32e	NA	13306	0.010659528896212578	-0.09050833	No	
row_32	Rab2a	NA	13977	0.0030911038629710674	-0.11435252	No	
row_33	Copb1	NA	14253	-1.2704542314168066E-4	-0.12428656	No	
