NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Ddx4	NA	127	0.5823729634284973	0.031472266	No	
row_1	Acrv1	NA	616	0.38697752356529236	0.03776575	No	
row_2	Slc12a2	NA	957	0.33920133113861084	0.04646072	No	
row_3	Arl4a	NA	998	0.3339746296405792	0.06569837	No	
row_4	Tcp11	NA	1019	0.330102801322937	0.08542062	No	
row_5	Ddx25	NA	1356	0.29465293884277344	0.09150114	No	
row_6	Hoxb1	NA	2175	0.249874547123909	0.07734936	No	
row_7	Phf7	NA	2298	0.2424006313085556	0.08794472	No	
row_8	Gfi1	NA	2363	0.23850607872009277	0.1003997	No	
row_9	Dnajb8	NA	3685	0.1771305948495865	0.063522786	No	
row_10	Pomc	NA	3745	0.17707429826259613	0.072353765	No	
row_11	Nefh	NA	3857	0.17535138130187988	0.079194516	No	
row_12	Mep1b	NA	3926	0.17464421689510345	0.08754898	No	
row_13	Elovl3	NA	3959	0.17464421689510345	0.09720742	No	
row_14	Scg3	NA	4216	0.1717839539051056	0.0985751	No	
row_15	Adcyap1	NA	4544	0.16695894300937653	0.0970722	No	
row_16	Tnp2	NA	4910	0.16478919982910156	0.09405849	No	
row_17	Dpep3	NA	5152	0.16272170841693878	0.09540818	No	
row_18	Ldhc	NA	5457	0.15363606810569763	0.093913145	No	
row_19	Phkg2	NA	5644	0.14769507944583893	0.09632425	No	
row_20	Ace	NA	5800	0.1434367150068283	0.09959446	No	
row_21	Ift88	NA	5954	0.13907667994499207	0.10266704	No	
row_22	Dmc1	NA	6358	0.12910225987434387	0.09606646	No	
row_23	Acrbp	NA	6983	0.11264227330684662	0.080441415	No	
row_24	Gsg1	NA	7149	0.10853886604309082	0.08118782	No	
row_25	Art3	NA	7203	0.10726195573806763	0.08591193	No	
row_26	Alox15	NA	7282	0.1054062768816948	0.08961556	No	
row_27	Parp2	NA	7378	0.10347480326890945	0.0925838	No	
row_28	Gpr182	NA	7405	0.10310062021017075	0.09802812	No	
row_29	Tssk2	NA	7596	0.09897389262914658	0.09727654	No	
row_30	Cct6b	NA	8084	0.08991339802742004	0.08520599	No	
row_31	Tuba3a	NA	8179	0.08810625970363617	0.08725851	No	
