NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Id1	NA	0	1.0458815097808838	0.12845914	Yes	
row_1	Tgif1	NA	13	0.832928478717804	0.230329	Yes	
row_2	Id2	NA	50	0.6840998530387878	0.31305203	Yes	
row_3	Bcar3	NA	577	0.39341408014297485	0.34236768	Yes	
row_4	Smad3	NA	1255	0.3029462695121765	0.35511595	Yes	
row_5	Smad7	NA	1720	0.27918291091918945	0.37264144	Yes	
row_6	Thbs1	NA	2635	0.22195422649383545	0.3668789	No	
row_7	Cdh1	NA	7386	0.1032976284623146	0.20794365	No	
row_8	Xiap	NA	7643	0.09800031781196594	0.21073085	No	
row_9	Smad1	NA	8090	0.08970694988965988	0.20563453	No	
row_10	Fkbp1a	NA	8096	0.08952802419662476	0.21645007	No	
row_11	Rab31	NA	8743	0.07834064960479736	0.20273148	No	
row_12	Junb	NA	9673	0.061744287610054016	0.17674936	No	
row_13	Slc20a1	NA	10148	0.053996823728084564	0.16625533	No	
row_14	Sptbn1	NA	10312	0.05114283412694931	0.16664751	No	
row_15	Tjp1	NA	10952	0.04102778062224388	0.14859894	No	
row_16	Ltbp2	NA	11112	0.03854262828826904	0.14758804	No	
row_17	Skil	NA	11536	0.03271955996751785	0.13632335	No	
row_18	Tgfb1	NA	11898	0.0278688482940197	0.12670298	No	
row_19	Trim33	NA	12266	0.023069214075803757	0.11627632	No	
row_20	Map3k7	NA	12591	0.01911051943898201	0.106917076	No	
row_21	Apc	NA	13113	0.012839005328714848	0.08966971	No	
row_22	Fnta	NA	13128	0.012636843137443066	0.09071598	No	
row_23	Wwtr1	NA	13667	0.006282815709710121	0.07204914	No	
row_24	Hipk2	NA	13746	0.005420821253210306	0.06989672	No	
row_25	Arid4b	NA	14274	-3.0044291634112597E-4	0.05089254	No	
row_26	Ctnnb1	NA	15197	-0.011051813140511513	0.018937105	No	
row_27	Ppp1ca	NA	15578	-0.015549487434327602	0.0071171396	No	
row_28	Cdk9	NA	16452	-0.026443911716341972	-0.021177355	No	
row_29	Furin	NA	16598	-0.02829390950500965	-0.022941198	No	
row_30	Bmpr1a	NA	17300	-0.03858153894543648	-0.043530356	No	
row_31	Smurf2	NA	17688	-0.044666506350040436	-0.052026976	No	
row_32	Ppm1a	NA	18596	-0.059711094945669174	-0.077463925	No	
row_33	Ifngr2	NA	18743	-0.062059130519628525	-0.07511673	No	
row_34	Id3	NA	18754	-0.062232282012701035	-0.06783444	No	
row_35	Bmpr2	NA	19339	-0.07257705926895142	-0.08002079	No	
row_36	Rhoa	NA	19570	-0.07655038684606552	-0.07892874	No	
row_37	Hdac1	NA	20322	-0.09273621439933777	-0.09467297	No	
row_38	Ube2d3	NA	20969	-0.10710987448692322	-0.104858	No	
row_39	Klf10	NA	21604	-0.12267446517944336	-0.11269777	No	
row_40	Ski	NA	21606	-0.12278890609741211	-0.0976525	No	
row_41	Ncor2	NA	22182	-0.13962322473526	-0.10127882	No	
row_42	Smurf1	NA	22348	-0.14526879787445068	-0.08939798	No	
row_43	Cdkn1c	NA	22400	-0.1473703384399414	-0.073140085	No	
row_44	Acvr1	NA	22402	-0.14742235839366913	-0.05506924	No	
row_45	Smad6	NA	22428	-0.1480625867843628	-0.03778691	No	
row_46	Tgfbr1	NA	23254	-0.16247346997261047	-0.047639444	No	
row_47	Nog	NA	23960	-0.17732669413089752	-0.051331922	No	
row_48	Serpine1	NA	24687	-0.19656723737716675	-0.053419955	No	
row_49	Bmp2	NA	25381	-0.22982586920261383	-0.05023071	No	
row_50	Pmepa1	NA	26654	-0.31672197580337524	-0.057288453	No	
row_51	Eng	NA	26910	-0.3522253632545471	-0.023240222	No	
row_52	Ppp1r15a	NA	27354	-0.42984747886657715	0.013549208	No	
