NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cxcl5	NA	4	0.9671776294708252	0.021316163	Yes	
row_1	Cxcl1	NA	10	0.8557420372962952	0.040123288	Yes	
row_2	Tgif1	NA	13	0.832928478717804	0.05853312	Yes	
row_3	Myc	NA	21	0.7975459098815918	0.07597627	Yes	
row_4	Dusp4	NA	25	0.7954098582267761	0.093517266	Yes	
row_5	Egr3	NA	29	0.7808739542961121	0.110735714	Yes	
row_6	Phlda1	NA	32	0.7661623358726501	0.12766403	Yes	
row_7	Dusp5	NA	33	0.7589247822761536	0.14450435	Yes	
row_8	Id2	NA	50	0.6840998530387878	0.15910336	Yes	
row_9	Csf2	NA	52	0.6815347671508789	0.17419013	Yes	
row_10	Fosl1	NA	61	0.6607921123504639	0.18856244	Yes	
row_11	Areg	NA	67	0.6501693725585938	0.20280796	Yes	
row_12	Tnfaip2	NA	70	0.6457408666610718	0.21706416	Yes	
row_13	Jag1	NA	77	0.6376854777336121	0.23099636	Yes	
row_14	Hes1	NA	79	0.6321459412574768	0.24498719	Yes	
row_15	Trib1	NA	103	0.5962580442428589	0.25738284	Yes	
row_16	Nr4a1	NA	117	0.5868960022926331	0.26993385	Yes	
row_17	Tiparp	NA	150	0.5606838464736938	0.28121334	Yes	
row_18	Slc16a6	NA	190	0.52675461769104	0.29148576	Yes	
row_19	B4galt5	NA	195	0.5228284597396851	0.30294192	Yes	
row_20	Fosb	NA	200	0.5189091563224792	0.31431115	Yes	
row_21	Nfkbie	NA	204	0.5156776905059814	0.32564494	Yes	
row_22	Ier3	NA	248	0.4881857931613922	0.3349163	Yes	
row_23	Zc3h12a	NA	258	0.4844096004962921	0.3453384	Yes	
row_24	Cflar	NA	263	0.48219022154808044	0.35589284	Yes	
row_25	Klf2	NA	309	0.47045648097991943	0.36469814	Yes	
row_26	Hbegf	NA	410	0.4316833019256592	0.370646	Yes	
row_27	Lif	NA	442	0.42406195402145386	0.37893018	Yes	
row_28	Egr2	NA	734	0.37665697932243347	0.37672165	Yes	
row_29	Ptx3	NA	860	0.35475629568099976	0.38005474	Yes	
row_30	F2rl1	NA	874	0.35130923986434937	0.38737816	Yes	
row_31	Nfe2l2	NA	916	0.3457997441291809	0.39356261	Yes	
row_32	Maff	NA	1027	0.32901081442832947	0.3968691	Yes	
row_33	Map2k3	NA	1216	0.3059881329536438	0.39683244	Yes	
row_34	Smad3	NA	1255	0.3029462695121765	0.40217492	Yes	
row_35	Sdc4	NA	1303	0.2990420162677765	0.407104	Yes	
row_36	Il6	NA	1833	0.2736339867115021	0.39396742	Yes	
row_37	Slc2a3	NA	1864	0.27238166332244873	0.39892218	Yes	
row_38	Ier2	NA	1883	0.27139878273010254	0.40429085	Yes	
row_39	Phlda2	NA	1982	0.2639191448688507	0.40658867	Yes	
row_40	Il1a	NA	2010	0.2613781988620758	0.4114082	Yes	
row_41	F3	NA	2026	0.26008713245391846	0.4166348	Yes	
row_42	Efna1	NA	2218	0.2466277927160263	0.41517204	Yes	
row_43	Cxcl2	NA	2455	0.23248201608657837	0.4117614	Yes	
row_44	Btg1	NA	2476	0.23127301037311554	0.41616705	Yes	
row_45	Per1	NA	2502	0.22925105690956116	0.4203463	Yes	
row_46	Fos	NA	2893	0.21093563735485077	0.4108657	No	
row_47	Olr1	NA	3013	0.20656658709049225	0.41112837	No	
row_48	Ackr3	NA	3074	0.20428931713104248	0.41348284	No	
row_49	Kdm6b	NA	3401	0.18913379311561584	0.40584233	No	
row_50	Ccl20	NA	3521	0.18422245979309082	0.4056092	No	
row_51	Ccnl1	NA	3555	0.18208439648151398	0.40845135	No	
row_52	Klf9	NA	3864	0.17503966391086578	0.4011517	No	
row_53	Plek	NA	4414	0.17117442190647125	0.38501537	No	
row_54	Tnf	NA	4463	0.16927757859230042	0.38702866	No	
row_55	Cd44	NA	4483	0.16832369565963745	0.3900738	No	
row_56	Ptpre	NA	4700	0.16512230038642883	0.3858947	No	
row_57	Dusp2	NA	5097	0.16272170841693878	0.37512636	No	
row_58	Dnajb4	NA	5242	0.16125492751598358	0.37347582	No	
row_59	Ccrl2	NA	5295	0.15935474634170532	0.37512368	No	
row_60	Snn	NA	5571	0.15001316368579865	0.36846694	No	
row_61	Ptgs2	NA	5579	0.1497807651758194	0.37153637	No	
row_62	Nfat5	NA	5687	0.1464676558971405	0.3709012	No	
row_63	Plaur	NA	5694	0.14621421694755554	0.37392777	No	
row_64	Atp2b1	NA	5711	0.14565759897232056	0.3765789	No	
row_65	Yrdc	NA	5993	0.13819251954555511	0.36944202	No	
row_66	Cebpb	NA	6249	0.13144515454769135	0.3630995	No	
row_67	Mcl1	NA	6572	0.12276652455329895	0.35413158	No	
row_68	Fjx1	NA	6862	0.11557389050722122	0.34620228	No	
row_69	Stat5a	NA	7352	0.10401983559131622	0.3307545	No	
row_70	Ccnd1	NA	7371	0.10373568534851074	0.33240274	No	
row_71	Klf6	NA	7395	0.10322990268468857	0.33385825	No	
row_72	Irf1	NA	7430	0.10263558477163315	0.33490112	No	
row_73	Egr1	NA	7511	0.10090849548578262	0.3342354	No	
row_74	Kynu	NA	7919	0.09301473945379257	0.32152086	No	
