NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Dkc1	NA	3485	0.18570290505886078	-0.10690773	No	
row_1	Igfbp1	NA	4045	0.17415323853492737	-0.109083265	No	
row_2	Stc2	NA	4075	0.17414647340774536	-0.0920719	No	
row_3	Sdad1	NA	4115	0.1726871132850647	-0.075573914	No	
row_4	Herpud1	NA	4677	0.1656341701745987	-0.07870539	No	
row_5	Tatdn2	NA	5729	0.1453615427017212	-0.101678886	No	
row_6	Arxes2	NA	6031	0.13717392086982727	-0.09834927	No	
row_7	Cebpb	NA	6249	0.13144515454769135	-0.092572756	No	
row_8	Rrp9	NA	6348	0.12930315732955933	-0.08271024	No	
row_9	Npm1	NA	6362	0.12897782027721405	-0.06980419	No	
row_10	Nolc1	NA	7946	0.09259326756000519	-0.11751045	No	
row_11	Eif4a2	NA	8032	0.09112180024385452	-0.1111372	No	
row_12	Nop14	NA	8488	0.08283645659685135	-0.11901835	No	
row_13	Eif4a1	NA	8726	0.07874208688735962	-0.11943189	No	
row_14	Vegfa	NA	8817	0.07689343392848969	-0.11471531	No	
row_15	Ddx10	NA	8895	0.07513987272977829	-0.10970996	No	
row_16	Nop56	NA	8967	0.0739113837480545	-0.1046148	No	
row_17	Dnaja4	NA	9311	0.06784671545028687	-0.10999585	No	
row_18	Ttc37	NA	9482	0.06484916806221008	-0.109424666	No	
row_19	Nfya	NA	9718	0.061103831976652145	-0.11159511	No	
row_20	Paip1	NA	9877	0.05843636393547058	-0.11125458	No	
row_21	Fus	NA	9914	0.057783786207437515	-0.106564954	No	
row_22	Lsm4	NA	10249	0.05236002430319786	-0.11322635	No	
row_23	Wipi1	NA	10355	0.05040724202990532	-0.11179978	No	
row_24	Parn	NA	10456	0.048486609011888504	-0.11039139	No	
row_25	Shc1	NA	11086	0.039072684943675995	-0.12911075	No	
row_26	Imp3	NA	11269	0.036659639328718185	-0.13189761	No	
row_27	Exosc10	NA	11368	0.03501247987151146	-0.13181426	No	
row_28	Exosc5	NA	12309	0.022549143061041832	-0.16350646	No	
row_29	Srprb	NA	12629	0.018685409799218178	-0.17311731	No	
row_30	Nfyb	NA	12838	0.016275549307465553	-0.17895955	No	
row_31	Cnot4	NA	12859	0.016091955825686455	-0.17801467	No	
row_32	Gemin4	NA	12917	0.015310978516936302	-0.1784903	No	
row_33	Zbtb17	NA	13379	0.009806422516703606	-0.19416283	No	
row_34	Spcs1	NA	13418	0.009394572116434574	-0.19456421	No	
row_35	Srpr	NA	13441	0.009077003225684166	-0.19441928	No	
row_36	Dcp2	NA	13665	0.006290745921432972	-0.20184012	No	
row_37	Eif2s1	NA	13814	0.004711440298706293	-0.20670953	No	
row_38	Nhp2	NA	13836	0.00449022650718689	-0.2070041	No	
row_39	Psat1	NA	13951	0.0034125461243093014	-0.21077731	No	
row_40	Cnot2	NA	13969	0.0031934971921145916	-0.21106155	No	
row_41	Exosc2	NA	14038	0.0024828899186104536	-0.21326585	No	
row_42	Exosc9	NA	14102	0.0017018025973811746	-0.21537015	No	
row_43	Fkbp14	NA	14231	1.4386195107363164E-4	-0.21998921	No	
row_44	Eif4a3	NA	14251	-1.0643186396919191E-4	-0.22066604	No	
row_45	Dcp1a	NA	14331	-0.0010064624948427081	-0.2234217	No	
row_46	Eif4e	NA	14395	-0.0016955079045146704	-0.22552663	No	
row_47	Eif4g1	NA	14442	-0.0023037265054881573	-0.22695304	No	
row_48	Edc4	NA	14757	-0.005566923879086971	-0.23774344	No	
row_49	Preb	NA	15335	-0.012601764872670174	-0.25732562	No	
row_50	Rps14	NA	15486	-0.014398215338587761	-0.26126277	No	
row_51	Cks1b	NA	15504	-0.014536072500050068	-0.26037064	No	
row_52	Lsm1	NA	15545	-0.014976860024034977	-0.26026547	No	
row_53	Ywhaz	NA	15693	-0.01672554574906826	-0.26385266	No	
row_54	Banf1	NA	15745	-0.01744111068546772	-0.26389015	No	
row_55	Slc30a5	NA	15856	-0.018629612401127815	-0.26594037	No	
row_56	Exosc4	NA	16125	-0.02212371490895748	-0.27334824	No	
row_57	Exosc1	NA	16251	-0.023615019395947456	-0.27542445	No	
row_58	Cxxc1	NA	16317	-0.02448447234928608	-0.27523828	No	
row_59	Hspa9	NA	16853	-0.032023653388023376	-0.29128563	No	
row_60	Ssr1	NA	16945	-0.033262766897678375	-0.29113033	No	
row_61	Ern1	NA	16987	-0.033953454345464706	-0.28909323	No	
row_62	Exoc2	NA	16992	-0.034061234444379807	-0.28570545	No	
row_63	Bag3	NA	17194	-0.03698194772005081	-0.28914675	No	
row_64	Atp6v0d1	NA	17231	-0.03743086755275726	-0.286568	No	
row_65	Cebpg	NA	17490	-0.04165118187665939	-0.2915886	No	
row_66	Dctn1	NA	17594	-0.043121207505464554	-0.29084527	No	
row_67	Kif5b	NA	17640	-0.04409191012382507	-0.28790152	No	
row_68	Eef2	NA	17775	-0.04589078202843666	-0.28799325	No	
row_69	Khsrp	NA	18088	-0.05136265978217125	-0.2939616	No	
row_70	Arfgap1	NA	18212	-0.053563717752695084	-0.29285932	No	
row_71	Cnot6	NA	18249	-0.05412835627794266	-0.28854883	No	
row_72	Tspyl2	NA	18332	-0.05569576099514961	-0.2857411	No	
row_73	Sec31a	NA	19039	-0.0673019140958786	-0.30432034	No	
row_74	Atf6	NA	19372	-0.07307305932044983	-0.30876112	Yes	
row_75	Pop4	NA	19512	-0.07547203451395035	-0.3059659	Yes	
row_76	Slc7a5	NA	19743	-0.08006393909454346	-0.30598894	Yes	
row_77	Hsp90b1	NA	19769	-0.08063903450965881	-0.2985307	Yes	
row_78	Slc1a4	NA	19800	-0.0814192071557045	-0.29117256	Yes	
row_79	Sec11a	NA	19834	-0.08208317309617996	-0.28385416	Yes	
row_80	Xpot	NA	19892	-0.08326049894094467	-0.27728254	Yes	
row_81	Dnajc3	NA	20056	-0.08659513294696808	-0.2742026	Yes	
row_82	Yif1a	NA	20410	-0.09448206424713135	-0.27718323	Yes	
row_83	Pdia6	NA	20508	-0.09642896801233292	-0.270694	Yes	
row_84	Calr	NA	20760	-0.10232794284820557	-0.2691682	Yes	
row_85	Gosr2	NA	20885	-0.10505158454179764	-0.26276216	Yes	
row_86	Xbp1	NA	21241	-0.11381196230649948	-0.26381046	Yes	
row_87	Edem1	NA	21561	-0.12177954614162445	-0.26272908	Yes	
row_88	Iars	NA	21649	-0.12425784766674042	-0.2529916	Yes	
row_89	Hyou1	NA	21710	-0.12581387162208557	-0.24211524	Yes	
row_90	Tars	NA	22035	-0.1351589560508728	-0.23982728	Yes	
row_91	Eif4ebp1	NA	23003	-0.16023565828800201	-0.2582171	Yes	
row_92	Aldh18a1	NA	23509	-0.16869619488716125	-0.2590036	Yes	
row_93	Tubb2a	NA	23652	-0.17087890207767487	-0.24642208	Yes	
row_94	Pdia5	NA	23790	-0.17404237389564514	-0.23333143	Yes	
row_95	Asns	NA	24286	-0.18020714819431305	-0.23256211	Yes	
row_96	Dnajb9	NA	24306	-0.18113386631011963	-0.21446402	Yes	
row_97	Mthfd2	NA	24424	-0.18303771317005157	-0.19971637	Yes	
row_98	Hspa5	NA	24913	-0.20769385993480682	-0.1958429	Yes	
row_99	Serp1	NA	24930	-0.20848362147808075	-0.17479968	Yes	
row_100	Wfs1	NA	25392	-0.23102283477783203	-0.1675292	Yes	
row_101	Eif2ak3	NA	25449	-0.23452886939048767	-0.14523287	Yes	
row_102	Nabp1	NA	25789	-0.2592502236366272	-0.13061808	Yes	
row_103	Kdelr3	NA	26309	-0.28838443756103516	-0.11949822	Yes	
row_104	Chac1	NA	26981	-0.35972416400909424	-0.10648237	Yes	
row_105	Atf4	NA	27203	-0.39312008023262024	-0.07371157	Yes	
row_106	Atf3	NA	27376	-0.4343033730983734	-0.034895573	Yes	
row_107	Ddit4	NA	27438	-0.45933881402015686	0.01053546	Yes	
