NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Cxcl1	NA	10	0.8557420372962952	0.039641257	Yes	
row_1	Nr4a1	NA	117	0.5868960022926331	0.063233584	Yes	
row_2	Chka	NA	145	0.5647965669631958	0.08865741	Yes	
row_3	Fosb	NA	200	0.5189091563224792	0.11095707	Yes	
row_4	Abcb1a	NA	588	0.39092567563056946	0.11519898	Yes	
row_5	Mapk8ip2	NA	858	0.35484039783477783	0.122032754	Yes	
row_6	Bcl2l11	NA	1017	0.3303739130496979	0.13174772	Yes	
row_7	Casp3	NA	1025	0.32945317029953003	0.14689504	Yes	
row_8	Chrna5	NA	1180	0.30853205919265747	0.155734	Yes	
row_9	Nkx2-5	NA	1468	0.28810232877731323	0.15879525	Yes	
row_10	Il6	NA	1833	0.2736339867115021	0.15838805	Yes	
row_11	Tst	NA	2204	0.2478805035352707	0.15655936	Yes	
row_12	Car2	NA	2241	0.24563878774642944	0.166737	Yes	
row_13	Clcn2	NA	2364	0.23845139145851135	0.1734602	Yes	
row_14	Btg1	NA	2476	0.23127301037311554	0.18024671	Yes	
row_15	Polg2	NA	2637	0.22183552384376526	0.18481526	Yes	
row_16	Mrpl23	NA	2820	0.21414852142333984	0.18822671	Yes	
row_17	Cck	NA	2869	0.21155965328216553	0.1963761	Yes	
row_18	Fos	NA	2893	0.21093563735485077	0.20540284	Yes	
row_19	Ppt1	NA	3301	0.1943729966878891	0.19973116	Yes	
row_20	Sult1a1	NA	3512	0.1846408098936081	0.2007479	Yes	
row_21	Stard3	NA	3631	0.17863819003105164	0.20482004	Yes	
row_22	Htr7	NA	3776	0.17707429826259613	0.20787628	Yes	
row_23	Msx1	NA	5347	0.1577688604593277	0.15832216	No	
row_24	Polr2h	NA	5449	0.1540072113275528	0.16185927	No	
row_25	Ddx21	NA	6411	0.1274743229150772	0.13297178	No	
row_26	Cnp	NA	6505	0.12464996427297592	0.13542661	No	
row_27	Rab27a	NA	6625	0.1214296817779541	0.13678811	No	
row_28	Cdkn2b	NA	6658	0.12063593417406082	0.14126721	No	
row_29	Hnrnpu	NA	6718	0.11941371113061905	0.14471012	No	
row_30	Fmo1	NA	7155	0.10832945257425308	0.13396457	No	
row_31	Creg1	NA	7158	0.10828390717506409	0.13895406	No	
row_32	Shox2	NA	7178	0.10776273906230927	0.14330274	No	
row_33	Parp2	NA	7378	0.10347480326890945	0.14092405	No	
row_34	Irf1	NA	7430	0.10263558477163315	0.14387271	No	
row_35	Maoa	NA	7580	0.09930593520402908	0.14311217	No	
row_36	Ptprd	NA	7727	0.09643885493278503	0.14232637	No	
row_37	Ephx1	NA	7777	0.0955614447593689	0.14501686	No	
row_38	Gpx3	NA	7970	0.09228837490081787	0.14236905	No	
row_39	Gls	NA	8970	0.07380414009094238	0.10959469	No	
row_40	Urod	NA	9011	0.07301115244626999	0.11155735	No	
