NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Myc	NA	21	0.7975459098815918	0.13775367	No	
row_1	Jag1	NA	77	0.6376854777336121	0.24651608	No	
row_2	Rbpj	NA	2090	0.2558209300041199	0.21828623	No	
row_3	Lef1	NA	3826	0.17694783210754395	0.18636152	No	
row_4	Psen2	NA	7153	0.10842759162187576	0.08508122	No	
row_5	Adam17	NA	7859	0.0940699502825737	0.07595908	No	
row_6	Hdac11	NA	8856	0.07604954391717911	0.05319845	No	
row_7	Wnt5b	NA	10140	0.0540759302675724	0.016257226	No	
row_8	Ppard	NA	10943	0.04113993048667908	-0.005560363	No	
row_9	Trp53	NA	11319	0.03588635474443436	-0.012870185	No	
row_10	Kat2a	NA	11493	0.033184852451086044	-0.0133543955	No	
row_11	Csnk1e	NA	12129	0.024995414540171623	-0.03194501	No	
row_12	Hdac2	NA	12148	0.024827221408486366	-0.028283227	No	
row_13	Maml1	NA	12259	0.02316846325993538	-0.028231906	No	
row_14	Numb	NA	13916	0.0038154798094183207	-0.08737208	No	
row_15	Ncstn	NA	14541	-0.0032451448496431112	-0.10934289	No	
row_16	Cul1	NA	14928	-0.007789279334247112	-0.121929646	No	
row_17	Ctnnb1	NA	15197	-0.011051813140511513	-0.12968849	No	
row_18	Skp2	NA	15282	-0.0119987977668643	-0.1306381	No	
row_19	Gnai1	NA	16976	-0.03377004340291023	-0.18591215	No	
row_20	Fzd8	NA	16983	-0.03387477621436119	-0.1802457	No	
row_21	Notch4	NA	17344	-0.03920763358473778	-0.18643701	No	
row_22	Axin1	NA	17714	-0.04510198533535004	-0.19192965	No	
row_23	Ccnd2	NA	19370	-0.07299312204122543	-0.23901944	No	
row_24	Tcf7	NA	19962	-0.08465292304754257	-0.2456602	No	
row_25	Dll1	NA	20782	-0.10285284370183945	-0.25737387	Yes	
row_26	Hdac5	NA	20845	-0.10396984219551086	-0.24155612	Yes	
row_27	Jag2	NA	21378	-0.11714132875204086	-0.24042387	Yes	
row_28	Ncor2	NA	22182	-0.13962322473526	-0.24517371	Yes	
row_29	Wnt1	NA	22354	-0.14540545642375946	-0.22609603	Yes	
row_30	Fzd1	NA	22460	-0.14941036701202393	-0.20393936	Yes	
row_31	Ptch1	NA	22492	-0.15062379837036133	-0.1788996	Yes	
row_32	Hey2	NA	22595	-0.15380871295928955	-0.15587072	Yes	
row_33	Wnt6	NA	23343	-0.16569948196411133	-0.1540695	Yes	
row_34	Dvl2	NA	24469	-0.1854962557554245	-0.16248076	Yes	
row_35	Frat1	NA	26768	-0.3298349976539612	-0.18818463	Yes	
row_36	Notch1	NA	27287	-0.4121297597885132	-0.13531534	Yes	
row_37	Hey1	NA	27300	-0.41604742407798767	-0.06349258	Yes	
row_38	Axin2	NA	27427	-0.45458465814590454	0.010906192	Yes	
