NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
8030451A03Rik	1	ENSMUSG00000073821	
Adora2b	1	ENSMUSG00000018500	
Adora2a	1	ENSMUSG00000020178	
Gm4342	1	ENSMUSG00000083911	
Rrp1	1	ENSMUSG00000061032	
Fam50a	1	ENSMUSG00000001962	
Fam50b	1	ENSMUSG00000038246	
Gm4349	1	ENSMUSG00000097532	
Elk1	1	ENSMUSG00000009406	
Cyb561d2	1	ENSMUSG00000037190	
Cyb561d1	1	ENSMUSG00000048796	
Elk3	1	ENSMUSG00000008398	
Rrp9	1	ENSMUSG00000041506	
Rrp8	1	ENSMUSG00000030888	
Elk4	1	ENSMUSG00000026436	
Abcb6	1	ENSMUSG00000026198	
Abcb7	1	ENSMUSG00000031333	
Gm31406	1	ENSMUSG00000103640	
Abcb4	1	ENSMUSG00000042476	
Abcb5	1	ENSMUSG00000072791	
Osbpl11	1	ENSMUSG00000022807	
Abcb8	1	ENSMUSG00000028973	
Osbpl10	1	ENSMUSG00000040875	
Abcb9	1	ENSMUSG00000029408	
Gm4353	1	ENSMUSG00000091900	
Chid1	1	ENSMUSG00000025512	
Abcc3	1	ENSMUSG00000020865	
Abcc4	1	ENSMUSG00000032849	
Abcc1	1	ENSMUSG00000023088	
Abcc2	1	ENSMUSG00000025194	
Gm31415	1	ENSMUSG00000102263	
Abcc8	1	ENSMUSG00000040136	
Abcc5	1	ENSMUSG00000022822	
Abcc6	1	ENSMUSG00000030834	
Gm6982	1	ENSMUSG00000080737	
Gm6981	1	ENSMUSG00000098076	
Gm6984	1	ENSMUSG00000057886	
Gm6985	1	ENSMUSG00000087255	
Gm6987	1	ENSMUSG00000081055	
Ankra2	1	ENSMUSG00000021661	
Gm18445	1	ENSMUSG00000103588	
Abr	1	ENSMUSG00000017631	
Wdhd1	1	ENSMUSG00000037572	
Chic2	1	ENSMUSG00000029229	
Chic1	1	ENSMUSG00000031327	
T	1	ENSMUSG00000062327	
Rrs1	1	ENSMUSG00000061024	
Plk5	1	ENSMUSG00000035486	
Nfe2	1	ENSMUSG00000058794	
a	1	ENSMUSG00000027596	
Gm18432	1	ENSMUSG00000102609	
Gm6990	1	ENSMUSG00000067063	
Plk3	1	ENSMUSG00000028680	
RP23-29F15.2	1	ENSMUSG00000105248	
Ace	1	ENSMUSG00000020681	
Plk4	1	ENSMUSG00000025758	
Acd	1	ENSMUSG00000038000	
Plk1	1	ENSMUSG00000030867	
Plk2	1	ENSMUSG00000021701	
Trbc2	1	ENSMUSG00000076498	
Trbc1	1	ENSMUSG00000076490	
Gm4335	1	ENSMUSG00000097989	
Bmpr1a	1	ENSMUSG00000021796	
Cyb561a3	1	ENSMUSG00000034445	
Bmpr1b	1	ENSMUSG00000052430	
Ell2	1	ENSMUSG00000001542	
Ell3	1	ENSMUSG00000027246	
Abca1	1	ENSMUSG00000015243	
Abca2	1	ENSMUSG00000026944	
Abca5	1	ENSMUSG00000018800	
Abca6	1	ENSMUSG00000044749	
Abca3	1	ENSMUSG00000024130	
Abca4	1	ENSMUSG00000028125	
Abca9	1	ENSMUSG00000041797	
Abca7	1	ENSMUSG00000035722	
Ada	1	ENSMUSG00000017697	
Glcci1	1	ENSMUSG00000029638	
Pllp	1	ENSMUSG00000031775	
Rrp12	1	ENSMUSG00000035049	
Adk	1	ENSMUSG00000039197	
Adm	1	ENSMUSG00000030790	
Rrp15	1	ENSMUSG00000001305	
6430590A07Rik	1	ENSMUSG00000097583	
Ado	1	ENSMUSG00000057134	
Rpl37rt	1	ENSMUSG00000072692	
6720483E21Rik	1	ENSMUSG00000097934	
Gm4398	1	ENSMUSG00000097952	
Nup85	1	ENSMUSG00000020739	
Aen	1	ENSMUSG00000030609	
Nup88	1	ENSMUSG00000040667	
Aes	1	ENSMUSG00000054452	
Diras1	1	ENSMUSG00000043670	
Diras2	1	ENSMUSG00000047842	
Irak1bp1	1	ENSMUSG00000032251	
Nup93	1	ENSMUSG00000032939	
Lmbr1	1	ENSMUSG00000010721	
C530008M17Rik	1	ENSMUSG00000036377	
Ep300	1	ENSMUSG00000055024	
Gemin6	1	ENSMUSG00000055760	
Gm18407	1	ENSMUSG00000104517	
Afm	1	ENSMUSG00000029369	
Gemin7	1	ENSMUSG00000044709	
Afp	1	ENSMUSG00000054932	
Nup98	1	ENSMUSG00000063550	
Gemin4	1	ENSMUSG00000049396	
Rrp36	1	ENSMUSG00000023971	
Gemin5	1	ENSMUSG00000037275	
Gemin8	1	ENSMUSG00000040621	
Tbccd1	1	ENSMUSG00000004462	
Smt3h1-ps	1	ENSMUSG00000082906	
Nfib	1	ENSMUSG00000008575	
Nfia	1	ENSMUSG00000028565	
Acvrl1	1	ENSMUSG00000000530	
Nfic	1	ENSMUSG00000055053	
Rrp1b	1	ENSMUSG00000058392	
Aga	1	ENSMUSG00000031521	
Gm4373	1	ENSMUSG00000101545	
Ankrd9	1	ENSMUSG00000037904	
Agk	1	ENSMUSG00000029916	
Tex19.2	1	ENSMUSG00000039337	
Tgif2-ps2	1	ENSMUSG00000045842	
Tex19.1	1	ENSMUSG00000039329	
Agl	1	ENSMUSG00000033400	
Elp2	1	ENSMUSG00000024271	
Ankrd2	1	ENSMUSG00000025172	
Elp4	1	ENSMUSG00000027167	
Ankrd1	1	ENSMUSG00000024803	
Elp3	1	ENSMUSG00000022031	
Ankrd7	1	ENSMUSG00000029517	
Elp6	1	ENSMUSG00000054836	
Ankrd6	1	ENSMUSG00000040183	
Elp5	1	ENSMUSG00000018565	
Agt	1	ENSMUSG00000031980	
A930024E05Rik	1	ENSMUSG00000056735	
Gemin2	1	ENSMUSG00000060121	
Cyp21a1	1	ENSMUSG00000024365	
Plp2	1	ENSMUSG00000031146	
Plp1	1	ENSMUSG00000031425	
Ripply3	1	ENSMUSG00000022941	
Ripply1	1	ENSMUSG00000072945	
Gm6921	1	ENSMUSG00000090074	
Ahr	1	ENSMUSG00000019256	
Hist1h3d	1	ENSMUSG00000099583	
Fam58b	1	ENSMUSG00000049489	
Hist1h3e	1	ENSMUSG00000069273	
Hist1h3b	1	ENSMUSG00000069267	
Hist1h3c	1	ENSMUSG00000069310	
Hist1h3h	1	ENSMUSG00000101355	
Hist1h3i	1	ENSMUSG00000101972	
B020004J07Rik	1	ENSMUSG00000035201	
Hist1h3f	1	ENSMUSG00000100210	
Hist1h3g	1	ENSMUSG00000099517	
Pls3	1	ENSMUSG00000016382	
4933433C11Rik	1	ENSMUSG00000036770	
RP23-441A23.1	1	ENSMUSG00000106763	
Pls1	1	ENSMUSG00000049493	
Hist1h3a	1	ENSMUSG00000069265	
Nfix	1	ENSMUSG00000001911	
Ak1	1	ENSMUSG00000026817	
Gm6931	1	ENSMUSG00000097959	
Cfl1	1	ENSMUSG00000056201	
Ak3	1	ENSMUSG00000024782	
Ak2	1	ENSMUSG00000028792	
Cfl2	1	ENSMUSG00000062929	
Aip	1	ENSMUSG00000024847	
Ak5	1	ENSMUSG00000039058	
Ak4	1	ENSMUSG00000028527	
Gm6934	1	ENSMUSG00000103753	
Ak7	1	ENSMUSG00000041323	
Ak6	1	ENSMUSG00000078941	
Gm6939	1	ENSMUSG00000082922	
Ak9	1	ENSMUSG00000091415	
Ak8	1	ENSMUSG00000026807	
Fam57a	1	ENSMUSG00000069808	
Fam57b	1	ENSMUSG00000058966	
RP24-173D2.9	1	ENSMUSG00000105885	
6430571L13Rik	1	ENSMUSG00000037977	
Hist1h1t	1	ENSMUSG00000036211	
Gm6900	1	ENSMUSG00000093826	
Gm6904	1	ENSMUSG00000090881	
Gm6903	1	ENSMUSG00000089630	
Hist1h1b	1	ENSMUSG00000058773	
Hist1h1c	1	ENSMUSG00000036181	
Hist1h1a	1	ENSMUSG00000049539	
Hist1h1d	1	ENSMUSG00000052565	
Hist1h1e	1	ENSMUSG00000051627	
Angel2	1	ENSMUSG00000026634	
Angel1	1	ENSMUSG00000021257	
Vsig10	1	ENSMUSG00000066894	
Gm6910	1	ENSMUSG00000055763	
Prss23os	1	ENSMUSG00000030623	
Gm6913	1	ENSMUSG00000075288	
Gm6912	1	ENSMUSG00000081624	
Gm6917	1	ENSMUSG00000074841	
Gm6919	1	ENSMUSG00000096517	
Alb	1	ENSMUSG00000029368	
9330136K24Rik	1	ENSMUSG00000097781	
2600014E21Rik	1	ENSMUSG00000100303	
Pdlim3	1	ENSMUSG00000031636	
Pdlim2	1	ENSMUSG00000022090	
Alk	1	ENSMUSG00000055471	
Pdlim1	1	ENSMUSG00000055044	
Gm6964	1	ENSMUSG00000081212	
Gm6967	1	ENSMUSG00000097937	
Pdlim7	1	ENSMUSG00000021493	
Gm6969	1	ENSMUSG00000066553	
Pcdhac2	1	ENSMUSG00000102697	
Pdlim5	1	ENSMUSG00000028273	
Pdlim4	1	ENSMUSG00000020388	
Amh	1	ENSMUSG00000035262	
Amn	1	ENSMUSG00000021278	
Rrp7a	1	ENSMUSG00000018040	
Gm6970	1	ENSMUSG00000091230	
Gm6973	1	ENSMUSG00000082422	
Gm6977	1	ENSMUSG00000084289	
Pmfbp1	1	ENSMUSG00000031727	
Amt	1	ENSMUSG00000032607	
Gm4319	1	ENSMUSG00000102123	
Fam53a	1	ENSMUSG00000037339	
Fam53b	1	ENSMUSG00000030956	
Osbp2	1	ENSMUSG00000020435	
Fam53c	1	ENSMUSG00000034300	
Ang	1	ENSMUSG00000072115	
Pltp	1	ENSMUSG00000017754	
Ank	1	ENSMUSG00000022265	
Inafm2	1	ENSMUSG00000074918	
Inafm1	1	ENSMUSG00000091811	
RP24-276A6.1	1	ENSMUSG00000105412	
9130008F23Rik	1	ENSMUSG00000054951	
Gm6944	1	ENSMUSG00000098141	
Osbpl1a	1	ENSMUSG00000044252	
Gm6946	1	ENSMUSG00000098135	
D930015E06Rik	1	ENSMUSG00000033767	
Nfs1	1	ENSMUSG00000027618	
C1d	1	ENSMUSG00000000581	
9030622O22Rik	1	ENSMUSG00000086141	
Bod1l	1	ENSMUSG00000061755	
Pip5k1bos	1	ENSMUSG00000085003	
3110002H16Rik	1	ENSMUSG00000024410	
Gm6954	1	ENSMUSG00000084300	
Hist1h4n	1	ENSMUSG00000069305	
Hist1h4k	1	ENSMUSG00000064288	
Dpagt1	1	ENSMUSG00000032123	
Itih5	1	ENSMUSG00000025780	
Itih4	1	ENSMUSG00000021922	
Hist1h4f	1	ENSMUSG00000069274	
Itih3	1	ENSMUSG00000006522	
Hist1h4c	1	ENSMUSG00000060678	
Itih2	1	ENSMUSG00000037254	
Hist1h4d	1	ENSMUSG00000061482	
Hist1h4i	1	ENSMUSG00000060639	
Hist1h4j	1	ENSMUSG00000067455	
Apc	1	ENSMUSG00000005871	
Hist1h4h	1	ENSMUSG00000060981	
Mpc1-ps	1	ENSMUSG00000091498	
Hk1os	1	ENSMUSG00000085347	
Itih1	1	ENSMUSG00000006529	
Hist1h4a	1	ENSMUSG00000060093	
