NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	70	-0.5501439	-1.8557488	0.013671875	0.034064405	0.035	2808	tags=41%, list=10%, signal=46%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	188	-0.33287686	-1.5031599	0.01629328	0.5887906	0.473	6980	tags=36%, list=25%, signal=48%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	34	-0.43788624	-1.4906471	0.071283095	0.43176964	0.503	5363	tags=32%, list=19%, signal=40%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	186	-0.42017233	-1.4855744	0.10119048	0.33656293	0.511	3139	tags=28%, list=11%, signal=31%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	194	-0.4809518	-1.3964676	0.11262136	0.49314347	0.644	3445	tags=24%, list=12%, signal=27%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	196	-0.34721118	-1.3782947	0.0990099	0.45298773	0.675	7374	tags=36%, list=27%, signal=48%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	92	-0.3030949	-1.2907604	0.15944882	0.5941809	0.818	6839	tags=36%, list=25%, signal=47%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	100	-0.28643903	-1.2544922	0.23506744	0.6100213	0.862	9856	tags=45%, list=36%, signal=70%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	174	-0.21210383	-1.197353	0.23529412	0.6915413	0.914	7512	tags=26%, list=27%, signal=36%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	181	-0.227017	-1.102546	0.29622266	0.89668614	0.965	6051	tags=25%, list=22%, signal=32%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	108	-0.31633976	-1.0881971	0.4577603	0.85621893	0.968	8359	tags=31%, list=30%, signal=45%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	39	-0.2752366	-1.0847341	0.3875502	0.7936313	0.968	6949	tags=36%, list=25%, signal=48%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	122	-0.25830355	-1.0787747	0.33669356	0.7471414	0.968	2200	tags=12%, list=8%, signal=13%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	192	-0.23531099	-1.0429851	0.4212679	0.7716273	0.982	3119	tags=14%, list=11%, signal=16%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	161	-0.24284434	-1.0350962	0.40083507	0.7372981	0.984	2143	tags=12%, list=8%, signal=13%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	138	-0.19882898	-0.9524587	0.5460123	0.8635686	0.994	3238	tags=13%, list=12%, signal=15%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	149	-0.20946662	-0.9255918	0.5942623	0.86600965	0.997	770	tags=6%, list=3%, signal=6%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	93	-0.18358004	-0.92148393	0.49407116	0.82685935	0.998	10567	tags=43%, list=38%, signal=69%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	185	-0.25076967	-0.91962945	0.5679513	0.78656805	0.999	6433	tags=31%, list=23%, signal=41%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	29	-0.23484123	-0.8810746	0.65940595	0.8114422	0.999	7897	tags=38%, list=28%, signal=53%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		179	-0.19204447	-0.71214384	0.7768763	1.0	1.0	1184	tags=8%, list=4%, signal=8%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE		92	-0.24582115	-0.7029664	0.7166324	0.98313636	1.0	1022	tags=9%, list=4%, signal=9%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		193	-0.12654138	-0.6446601	0.8900204	0.9955738	1.0	8987	tags=30%, list=32%, signal=44%	
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY		45	-0.15028061	-0.60601884	0.90909094	0.98503816	1.0	22069	tags=98%, list=80%, signal=478%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		196	-0.10524351	-0.37974334	0.9581673	1.0	1.0	10435	tags=32%, list=38%, signal=51%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		194	-0.08029175	-0.32942238	1.0	0.99510986	1.0	24647	tags=99%, list=89%, signal=889%	
