NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	185	0.42308453	1.7711682	0.0058479533	0.09491876	0.083	2469	tags=22%, list=9%, signal=24%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	179	0.3693474	1.5548099	0.032520324	0.36381984	0.368	3186	tags=23%, list=11%, signal=26%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	190	0.4203463	1.4933395	0.08982036	0.3861432	0.467	2502	tags=24%, list=9%, signal=26%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	53	0.37264144	1.4594946	0.0877193	0.37146366	0.524	1720	tags=11%, list=6%, signal=12%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	125	0.3729635	1.4034063	0.06370656	0.42725474	0.616	5311	tags=27%, list=19%, signal=33%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	174	0.33342558	1.3875854	0.068897635	0.39001757	0.644	3567	tags=22%, list=13%, signal=26%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	35	0.4378709	1.3753471	0.1321499	0.3563182	0.661	3754	tags=26%, list=14%, signal=30%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	172	0.27738014	1.3731213	0.05357143	0.31524116	0.662	6249	tags=28%, list=23%, signal=36%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	31	0.3917588	1.3603295	0.115384616	0.30100998	0.678	79	tags=10%, list=0%, signal=10%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	185	0.24622014	1.2975628	0.10700389	0.36819184	0.782	2299	tags=11%, list=8%, signal=12%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.5323397	1.2811644	0.23106796	0.36195278	0.809	11128	tags=69%, list=40%, signal=115%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	185	0.31217867	1.2360091	0.19521913	0.4075892	0.87	8716	tags=40%, list=31%, signal=58%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	163	0.2507525	1.1739187	0.12548262	0.48406455	0.932	4637	tags=20%, list=17%, signal=23%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	157	0.2364402	1.1006845	0.36926147	0.5901365	0.965	4814	tags=20%, list=17%, signal=25%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	152	0.20787628	1.0945654	0.33131313	0.56402194	0.967	3776	tags=15%, list=14%, signal=17%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	179	0.20124571	0.99720377	0.4561753	0.7094295	0.994	4668	tags=15%, list=17%, signal=18%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	41	0.24670625	0.9100521	0.62813103	0.8280987	0.999	2651	tags=15%, list=10%, signal=16%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	80	0.24721843	0.89448404	0.59591836	0.8093958	0.999	3559	tags=19%, list=13%, signal=21%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	105	0.18548	0.6846643	0.83204633	1.0	1.0	9996	tags=42%, list=36%, signal=65%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	97	0.1479699	0.6840671	0.83908045	1.0	1.0	8865	tags=29%, list=32%, signal=42%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR		143	0.14323518	0.5205261	0.89134806	1.0	1.0	8805	tags=24%, list=32%, signal=35%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		194	0.1299196	0.29933453	0.98406374	1.0	1.0	11298	tags=34%, list=41%, signal=56%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		192	0.13622394	0.2509036	0.99002	1.0	1.0	199	tags=1%, list=1%, signal=1%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		182	0.09216995	0.18827327	1.0	1.0	1.0	1255	tags=2%, list=5%, signal=2%	
