gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000051951	2.703875	-1.373393	0.76746996	0.0001753947	0.001507089
ENSMUSG00000099032	911.6375	0.9768098	0.04603606	8.054054e-102	5.2842150000000005e-99
ENSMUSG00000025916	59.62332	0.9102676	0.23729472	9.828095e-07	1.37286e-05
ENSMUSG00000048960	839.9662	-2.056341	0.12967369	1.489251e-57	4.4666890000000005e-55
ENSMUSG00000057715	4.120537	-3.983777	0.71894335	2.43322e-09	5.123917e-08
ENSMUSG00000042414	22.84569	0.7953034	0.26615078	1.475973e-05	0.0001631809
ENSMUSG00000025921	8389.399	-0.4083993	0.08853063	2.071618e-08	3.79857e-07
ENSMUSG00000090142	2.105272	0.4367606	0.56138053	0.005790116	0.03090073
ENSMUSG00000025934	7452.08	0.5103137	0.18126182	3.171441e-05	0.0003232253
ENSMUSG00000028033	25.2094	0.3859482	0.18121751	0.0004078717	0.003172755
ENSMUSG00000103072	2.831966	1.301649	0.76617847	0.0002176742	0.001825319
ENSMUSG00000042182	20.48499	-1.442318	0.29672964	1.381893e-08	2.595067e-07
ENSMUSG00000026090	10.32106	-3.832705	0.44263763	5.804712999999999e-19	3.124871e-17
ENSMUSG00000026070	9.668735	0.7268942	0.33809977	0.000136363	0.001204199
ENSMUSG00000026062	11.62475	1.02792	0.33407093	9.086823e-06	0.0001044786
ENSMUSG00000056870	117.1695	-2.185367	0.18091531	2.063293e-34	2.741698e-32
ENSMUSG00000109599	6.201668	0.5942262	0.39934493	0.0008506786	0.006066575
ENSMUSG00000038349	4.94667	-3.559694	0.69020124	2.691796e-08	4.863534e-07
ENSMUSG00000064294	21.90334	0.4828677	0.58335353	0.004482923	0.02501168
ENSMUSG00000025969	2730.85	-0.8149831	0.06085498	2.1774149999999998e-42	4.045560000000001e-40
ENSMUSG00000103032	3.186341	-0.4091604	0.4418314	0.005141659	0.0279661
ENSMUSG00000039323	17.29455	2.233379	0.23783611	8.947661000000001e-22	5.852216e-20
ENSMUSG00000026185	39.03456	0.6873593	0.24200664	2.517212e-05	0.0002643766
ENSMUSG00000055322	12571.23	-1.392214	0.19889901	3.598197e-14	1.31153e-12
ENSMUSG00000026175	3537.627	0.5303772	0.18867072	3.155081e-05	0.0003220269
ENSMUSG00000026207	1.676661	-0.4777915	0.67557961	0.005780673	0.03086603
ENSMUSG00000026211	32.69359	-2.845306	0.25562596	2.479928e-29	2.711775e-27
ENSMUSG00000032968	1.659344	-3.162314	0.79656685	2.318265e-06	2.98601e-05
ENSMUSG00000032908	1241.009	0.4409427	0.09173579	7.899027e-09	1.538405e-07
ENSMUSG00000055980	1023.546	0.4163456	0.05362922	3.36067e-17	1.589128e-15
ENSMUSG00000067158	31.59642	-3.612486	0.22357358	1.679798e-59	5.34354e-57
ENSMUSG00000079465	15.39159	-1.759364	0.21290545	5.754793e-18	2.863078e-16
