Pathway_name	Pathway_code	DE_genes	Pathway_size	Fraction_DE	Padj	DE_genes_names
biological_process	GO:0008150	1165	18562	0.0628	0	1165
cellular process	GO:0009987	1027	15436	0.0665	0	1027
biological regulation	GO:0065007	776	10489	0.074	0	776
anatomical structure development	GO:0048856	507	5385	0.0942	0	507
multicellular organismal process	GO:0032501	560	6349	0.0882	0	560
developmental process	GO:0032502	529	5823	0.0908	0	529
system development	GO:0048731	389	3643	0.1068	0	389
regulation of biological process	GO:0050789	746	10148	0.0735	0	746
multicellular organism development	GO:0007275	428	4304	0.0994	0	428
regulation of cellular process	GO:0050794	724	9815	0.0738	0	724
response to stimulus	GO:0050896	612	7760	0.0789	0	612
cell differentiation	GO:0030154	386	3986	0.0968	0	386
cellular developmental process	GO:0048869	386	3987	0.0968	0	386
anatomical structure morphogenesis	GO:0009653	278	2471	0.1125	0	278
animal organ development	GO:0048513	299	2835	0.1055	0	299
cell communication	GO:0007154	455	5506	0.0826	0	455
signaling	GO:0023052	450	5480	0.0821	0	450
cellular response to stimulus	GO:0051716	497	6374	0.078	0	497
tissue development	GO:0009888	221	1872	0.1181	0	221
cell development	GO:0048468	279	2731	0.1022	0	279
negative regulation of biological process	GO:0048519	416	5087	0.0818	0	416
positive regulation of biological process	GO:0048518	452	5758	0.0785	0	452
regulation of multicellular organismal process	GO:0051239	277	2785	0.0995	0	277
nervous system development	GO:0007399	242	2255	0.1073	0	242
negative regulation of cellular process	GO:0048523	401	4881	0.0822	0	401
positive regulation of cellular process	GO:0048522	432	5479	0.0788	0	432
signal transduction	GO:0007165	407	5040	0.0808	0	407
response to chemical	GO:0042221	319	3623	0.088	0	319
cell migration	GO:0016477	166	1388	0.1196	0	166
neurogenesis	GO:0022008	188	1702	0.1105	0	188
cell motility	GO:0048870	178	1586	0.1122	0	178
cell surface receptor signaling pathway	GO:0007166	234	2449	0.0955	0	234
generation of neurons	GO:0048699	168	1466	0.1146	0	168
regulation of developmental process	GO:0050793	227	2342	0.0969	0	227
neuron differentiation	GO:0030182	162	1393	0.1163	0	162
regulation of cell communication	GO:0010646	280	3216	0.0871	0	280
regulation of biological quality	GO:0065008	249	2717	0.0916	0	249
regulation of signaling	GO:0023051	278	3215	0.0865	0	278
