Pathway_name	Pathway_code	DE_genes	Pathway_size	Fraction_DE	Padj	DE_genes_names
molecular_function	GO:0003674	1169	18322	0.0638	0	1169
binding	GO:0005488	916	13133	0.0697	0	916
protein binding	GO:0005515	688	9350	0.0736	0	688
small molecule binding	GO:0036094	415	5759	0.0721	0	415
ion binding	GO:0043167	402	5588	0.0719	0	402
metal ion binding	GO:0046872	294	3864	0.0761	0	294
cation binding	GO:0043169	298	3961	0.0752	0	298
catalytic activity	GO:0003824	364	5259	0.0692	0	364
signaling receptor binding	GO:0005102	136	1316	0.1033	0	136
calcium ion binding	GO:0005509	77	625	0.1232	0	77
DNA-binding transcription factor activity	GO:0003700	109	1119	0.0974	0	109
DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0000981	105	1062	0.0989	0	105
cell adhesion molecule binding	GO:0050839	44	263	0.1673	0	44
sequence-specific double-stranded DNA binding	GO:1990837	114	1261	0.0904	0	114
double-stranded DNA binding	GO:0003690	118	1355	0.0871	0	118
transcription cis-regulatory region binding	GO:0000976	108	1206	0.0896	0	108
transcription regulatory region nucleic acid binding	GO:0001067	108	1210	0.0893	0	108
glycosaminoglycan binding	GO:0005539	34	191	0.178	0	34
heparin binding	GO:0008201	28	133	0.2105	0	28
sequence-specific DNA binding	GO:0043565	116	1358	0.0854	0	116
RNA polymerase II transcription regulatory region sequence-specific DNA binding	GO:0000977	100	1102	0.0907	0	100
carbohydrate derivative binding	GO:0097367	161	2125	0.0758	0	161
molecular function regulator activity	GO:0098772	143	1831	0.0781	0	143
cis-regulatory region sequence-specific DNA binding	GO:0000987	90	961	0.0937	0	90
transcription regulator activity	GO:0140110	126	1560	0.0808	0	126
organic cyclic compound binding	GO:0097159	328	5363	0.0612	0	328
sulfur compound binding	GO:1901681	37	244	0.1516	0	37
RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0000978	86	936	0.0919	0	86
oxidoreductase activity	GO:0016491	70	696	0.1006	0	70
identical protein binding	GO:0042802	159	2180	0.0729	0	159
hydrolase activity	GO:0016787	162	2238	0.0724	0	162
extracellular matrix structural constituent	GO:0005201	25	126	0.1984	0	25
protein-containing complex binding	GO:0044877	114	1428	0.0798	0	114
anion binding	GO:0043168	165	2341	0.0705	0	165
transition metal ion binding	GO:0046914	87	1005	0.0866	0	87
DNA-binding transcription activator activity, RNA polymerase II-specific	GO:0001228	48	432	0.1111	0	48
signaling receptor regulator activity	GO:0030545	48	435	0.1103	0	48
DNA-binding transcription activator activity	GO:0001216	48	439	0.1093	0	48
receptor ligand activity	GO:0048018	44	392	0.1122	0	44
enzyme binding	GO:0019899	151	2191	0.0689	0	151
lipid binding	GO:0008289	70	790	0.0886	0	70
signaling receptor activator activity	GO:0030546	44	399	0.1103	0	44
integrin binding	GO:0005178	22	128	0.1719	0	22
molecular function activator activity	GO:0140677	79	948	0.0833	0	79
protein domain specific binding	GO:0019904	66	753	0.0876	0	66
transmembrane transporter activity	GO:0022857	76	963	0.0789	4e-04	76
protein dimerization activity	GO:0046983	78	1004	0.0777	5e-04	78
heterocyclic compound binding	GO:1901363	145	2227	0.0651	6e-04	145
endopeptidase activity	GO:0004175	37	354	0.1045	6e-04	37
transporter activity	GO:0005215	80	1051	0.0761	8e-04	80
DNA binding	GO:0003677	137	2087	0.0656	8e-04	137
monooxygenase activity	GO:0004497	19	121	0.157	8e-04	19
DNA-binding transcription repressor activity, RNA polymerase II-specific	GO:0001227	34	317	0.1073	0.001	34
aldo-keto reductase (NADPH) activity	GO:0004033	10	36	0.2778	0.0013	10
DNA-binding transcription repressor activity	GO:0001217	34	322	0.1056	0.0014	34
alcohol dehydrogenase [NAD(P)+] activity	GO:0018455	12	53	0.2264	0.0014	12
nucleotide binding	GO:0000166	135	2075	0.0651	0.0015	135
nucleoside phosphate binding	GO:1901265	136	2098	0.0648	0.0016	136
molecular function inhibitor activity	GO:0140678	43	459	0.0937	0.0016	43
oxidoreductase activity, acting on the aldehyde or oxo group of donors	GO:0016903	13	64	0.2031	0.002	13
zinc ion binding	GO:0008270	59	723	0.0816	0.0023	59
retinal dehydrogenase activity	GO:0001758	7	17	0.4118	0.0024	7
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0016705	24	193	0.1244	0.0026	24
growth factor activity	GO:0008083	18	119	0.1513	0.0026	18
actin binding	GO:0003779	40	423	0.0946	0.0029	40
peptidase activity	GO:0008233	48	552	0.087	0.0035	48
extracellular matrix structural constituent conferring tensile strength	GO:0030020	10	40	0.25	0.0038	10
alcohol dehydrogenase (NADP+) activity	GO:0008106	9	33	0.2727	0.0051	9
heme binding	GO:0020037	19	138	0.1377	0.0058	19
ribonucleotide binding	GO:0032553	119	1828	0.0651	0.0058	119
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0016620	11	51	0.2157	0.0061	11
cytoskeletal protein binding	GO:0008092	71	957	0.0742	0.0071	71
purine nucleotide binding	GO:0017076	123	1915	0.0642	0.0076	123
semaphorin receptor binding	GO:0030215	7	20	0.35	0.0084	7
