Pathway_name	Pathway_code	DE_genes	Pathway_size	Fraction_DE	Padj	DE_genes_names
programmed cell death	GO:0012501	15	1900	0.0079	0	15
cell death	GO:0008219	15	1900	0.0079	0	15
regulation of programmed cell death	GO:0043067	13	1495	0.0087	0	13
positive regulation of programmed cell death	GO:0043068	9	602	0.015	0	9
response to stimulus	GO:0050896	25	7760	0.0032	1e-04	25
signaling	GO:0023052	21	5480	0.0038	1e-04	21
cell communication	GO:0007154	21	5506	0.0038	1e-04	21
apoptotic process	GO:0006915	13	1841	0.0071	1e-04	13
biological regulation	GO:0065007	28	10489	0.0027	2e-04	28
regulation of cellular process	GO:0050794	27	9815	0.0028	3e-04	27
positive regulation of apoptotic process	GO:0043065	8	586	0.0137	6e-04	8
regulation of biological process	GO:0050789	27	10148	0.0027	6e-04	27
regulation of apoptotic process	GO:0042981	11	1454	0.0076	0.001	11
signal transduction	GO:0007165	19	5040	0.0038	0.0011	19
cellular response to hypoxia	GO:0071456	5	151	0.0331	0.0016	5
cellular response to stimulus	GO:0051716	21	6374	0.0033	0.0018	21
MAPK cascade	GO:0000165	8	683	0.0117	0.0018	8
response to chemical	GO:0042221	16	3623	0.0044	0.0018	16
cellular response to decreased oxygen levels	GO:0036294	5	165	0.0303	0.0025	5
cell surface receptor signaling pathway	GO:0007166	13	2449	0.0053	0.0038	13
cellular response to oxygen levels	GO:0071453	5	181	0.0276	0.0039	5
regulation of multicellular organismal development	GO:2000026	10	1389	0.0072	0.0055	10
positive regulation of biological process	GO:0048518	19	5758	0.0033	0.0091	19
regulation of MAPK cascade	GO:0043408	7	599	0.0117	0.0096	7
developmental process	GO:0032502	19	5823	0.0033	0.0108	19
regulation of response to stimulus	GO:0048583	15	3629	0.0041	0.0109	15
regulation of aerobic respiration	GO:1903715	3	32	0.0938	0.0126	3
negative regulation of developmental process	GO:0051093	8	905	0.0088	0.0146	8
regulation of developmental process	GO:0050793	12	2342	0.0051	0.0155	12
positive regulation of cellular process	GO:0048522	18	5479	0.0033	0.021	18
regulation of neutrophil mediated killing of symbiont cell	GO:0070949	2	5	0.4	0.0233	2
cell differentiation	GO:0030154	15	3986	0.0038	0.0345	15
cellular developmental process	GO:0048869	15	3987	0.0038	0.0346	15
negative regulation of cell development	GO:0010721	5	287	0.0174	0.0366	5
regulation of neutrophil mediated cytotoxicity	GO:0070948	2	7	0.2857	0.0489	2
